account,ownedStake
flaxz.alive,"97024,7"
jlufer,"76309,34"
hafiz34,"60036,4838"
aliveprojects,"56035,787"
iamalivechalleng,"53600,2356"
iamraincrystal,"50267,2203"
lukeisalive,"32585,346"
bradleyarrow,"26387,6004"
gurseerat,"24468,6892"
masoom,"20685,773"
zombiepatrol,"20000,0"
maddogmike,"17326,7204"
kingneptune,"16669,0959"
darmst5339,"14340,6886"
imfarhad,"12974,2982"
jimmy.adames,"10999,972"
benthomaswwd,"10448,4894"
ironshield,"10231,4408"
hive-112281,"10097,7915"
primersion,"10000,0"
edgerik,"9898,9087"
harpreetjanda,"9591,656"
alive.chat,"8885,281"
thisisawesome,"8727,4891"
aliveandthriving,"8040,7709"
d00k13,"6558,913"
captain.alive,"6035,068"
hive.pizza,"5778,674"
lisamgentile1961,"5317,3986"
yeckingo1,"5288,7985"
ddn688,"5081,835"
flaxz,"5076,0"
elianaicgomes,"5028,901"
flaxz.ctp,"5000,8"
saboin.alive,"4986,1731"
mypathtofire,"4828,3187"
invest-time,"4784,328"
ana-maria,"4330,3718"
alokkumar121,"4306,794"
justclickindiva,"4240,864"
awah,"4206,566"
chapelle,"3955,9817"
raishmi,"3934,666"
davidxxl,"3851,2405"
rcaine,"3579,7922"
stickupboys,"3550,185"
ben.haase,"3421,8411"
manuvert,"3409,3216"
magicalive,"3381,3571"
holovision.cash,"3341,3144"
dibblers.dabs,"3289,4741"
heartbeatonhive,"3284,0791"
mintfinch,"3174,7064"
globetrottergcc,"3136,8205"
gank,"2956,493"
griega,"2626,408"
hoosie,"2577,9257"
toekins,"2529,6927"
liotes.alive,"2463,3589"
guurry123,"2338,412"
kaseldz,"2305,935"
b4phom3t,"2201,457"
tokenpimp,"2147,0307"
newigennity,"2091,8835"
zealous4ever,"2089,4115"
ilovewintergem,"2028,238"
merthin,"2023,252"
hirohurl,"1976,3115"
mlrequena78,"1886,651"
wrestlingdesires,"1862,041"
epic-fail,"1809,6454"
elizabetamt,"1797,9364"
laruche,"1779,2076"
myupvote2u,"1770,508"
captaincryptic,"1751,9716"
chireerocks.live,"1691,983"
pedrobrito2004,"1690,5117"
vickoly,"1688,0252"
johnsdowie,"1604,6595"
wdougwatson,"1600,228"
misterc,"1598,8452"
mervinthepogi,"1587,41"
mk992039,"1553,341"
noctury,"1508,3332"
tdctunes,"1500,0"
lolz.alive,"1491,143"
jacoalberts,"1453,1336"
alzee,"1376,8918"
koussbar,"1307,0522"
stdd,"1268,2788"
rickardoh,"1251,013"
hive.phyowinkoko,"1232,682"
cryptopsycho21,"1229,9001"
hivetrending,"1226,389"
rachaeldwatson,"1202,4218"
samsmith1971,"1168,638"
lightcaptured,"1142,5258"
johnandgrace,"1128,915"
tunnelmotions,"1118,2384"
rarej,"1114,948"
chuiiiiiiii,"1101,176"
dreamingirwin,"1090,646"
andy-plays,"1088,028"
assassyn,"1082,9012"
icon-bassey,"1066,063"
forykw,"1055,348"
russellstockley,"1025,208"
howyf2,"1020,408"
savvyplayer,"1019,0"
badpupper,"1014,696"
pixiepost,"1013,347"
hankanon,"1012,807"
tydynrain,"1012,1498"
madushanka,"1011,5"
beststart,"1010,73"
pinkhub,"1010,505"
ianmcg,"1009,4528"
criptosectadepit,"1008,051"
alex2alex,"1003,0129"
sabajfa,"1002,3"
floki-skarsgaard,"1002,1527"
vokus,"1000,1181"
voltagrou,"1000,1"
amedhya,"1000,03"
iviaxpow3r,"1000,0"
imagenius.dac,"1000,0"
smallboost,"1000,0"
celf.support,"1000,0"
adysscheryl,"979,5819"
voltz-blag,"946,3289"
melinda010100,"938,6878"
alovely088,"927,407"
chocolatescorpi,"880,006"
bardobrujo,"879,7706"
yousafharoonkhan,"875,435"
ennydee,"874,635"
luckyali,"874,635"
aunik,"874,635"
captain-sam,"874,635"
steemer-sayu907,"874,635"
oredebby,"874,635"
hykss,"852,085"
ekushya,"847,4196"
engilhramn,"833,8287"
rbhayes,"822,213"
bambukah,"776,9281"
pinkalicious,"753,4439"
old-man-chu58,"752,6648"
sabihaislam,"733,558"
jeanlucsr,"725,619"
onewolfe,"714,3069"
stevermac1966,"696,8747"
chireerocks,"676,79"
alente,"650,8544"
cryptohaytham,"648,9607"
femcy-willcy,"648,456"
sharkthelion,"616,113"
ahmadmanga,"600,0"
dailygiveaways,"591,436"
supriya.gupta1,"564,354"
jfang003,"559,062"
cooperclub,"552,125"
marshmellowman,"543,594"
yhuddee111,"534,51"
k-banti,"534,144"
tokutaro22,"525,813"
imno,"525,737"
theroad2freedom,"521,5922"
agog,"521,01"
germangenius,"514,548"
flemingfarm,"500,4"
meanbees,"500,0"
davidthompson57,"491,559"
amberkashif,"470,33"
generra-abraham,"460,978"
dkid14,"460,491"
torrey.blog,"458,253"
amphlux,"457,493"
successchar,"454,341"
cookaiss,"453,2524"
invest4free,"450,425"
bonnie30,"446,317"
saachi.list,"440,427"
valerianis,"415,1374"
master-lamps,"400,637"
beeber,"398,7756"
chaosmagic23,"398,2046"
l337m45732,"392,867"
lebah,"386,656"
mirroredspork,"386,39"
nuthman,"383,569"
psimpson67,"381,002"
ericburgoyne,"377,6155"
chmoen,"368,309"
leemah1,"360,926"
temmylade,"355,0461"
hivecoffee,"350,823"
greensempire,"345,973"
gadrian,"344,0109"
uyobong,"340,6"
