account,ownedStake
flaxz.alive,"97019,0"
jlufer,"76307,24"
hafiz34,"56207,313"
aliveprojects,"56035,787"
iamalivechalleng,"53459,4012"
iamraincrystal,"49215,8453"
lukeisalive,"32178,746"
bradleyarrow,"25115,8585"
gurseerat,"23267,1403"
masoom,"20685,773"
zombiepatrol,"20000,0"
maddogmike,"17079,8193"
kingneptune,"15763,062"
darmst5339,"13652,829"
imfarhad,"11751,828"
jimmy.adames,"10995,172"
primersion,"10000,0"
hive-112281,"9644,5419"
harpreetjanda,"9590,956"
edgerik,"9369,428"
alive.chat,"8867,181"
thisisawesome,"8609,8735"
ironshield,"7632,4684"
aliveandthriving,"7493,8219"
d00k13,"6558,913"
captain.alive,"6035,068"
benthomaswwd,"5827,2174"
hive.pizza,"5778,674"
lisamgentile1961,"5311,141"
ddn688,"5081,035"
flaxz,"5055,5"
elianaicgomes,"5028,801"
yeckingo1,"5001,2708"
flaxz.ctp,"5000,3"
invest-time,"4784,128"
saboin.alive,"4746,211"
twicejoy,"4695,7075"
ana-maria,"4322,903"
alokkumar121,"4306,494"
justclickindiva,"4237,864"
awah,"4146,8319"
daniky,"4118,5412"
mypathtofire,"4057,6264"
raishmi,"3934,666"
chapelle,"3605,7702"
stickupboys,"3550,185"
magicalive,"3236,0274"
rcaine,"3216,4954"
mintfinch,"3173,5902"
globetrottergcc,"3083,8904"
davidxxl,"3064,6131"
gank,"2956,493"
dibblers.dabs,"2934,3693"
heartbeatonhive,"2804,4696"
ben.haase,"2789,5536"
griega,"2626,308"
toekins,"2516,54"
manuvert,"2505,1363"
liotes.alive,"2404,6195"
guurry123,"2337,412"
kaseldz,"2305,935"
hoosie,"2261,5169"
b4phom3t,"2201,457"
tokenpimp,"2146,929"
newigennity,"2042,0662"
ilovewintergem,"2027,338"
merthin,"2021,252"
valentin86,"2003,525"
mlrequena78,"1886,651"
wrestlingdesires,"1860,341"
hirohurl,"1806,2831"
myupvote2u,"1770,508"
chireerocks.live,"1691,983"
captaincryptic,"1605,34"
wdougwatson,"1600,228"
vickoly,"1575,087"
mk992039,"1551,641"
johnsdowie,"1551,201"
tdctunes,"1504,0"
holovision.cash,"1484,8037"
elizabetamt,"1469,2222"
epic-fail,"1437,5908"
jacoalberts,"1412,1548"
pedrobrito2004,"1406,5188"
mervinthepogi,"1267,024"
rickardoh,"1251,013"
alzee,"1246,6427"
hive.phyowinkoko,"1232,682"
hivetrending,"1226,289"
rachaeldwatson,"1202,413"
samsmith1971,"1167,238"
johnandgrace,"1128,915"
lolz.alive,"1123,2725"
rarej,"1114,848"
lightcaptured,"1100,5872"
dreamingirwin,"1090,646"
andy-plays,"1088,028"
tunnelmotions,"1071,085"
icon-bassey,"1066,063"
forykw,"1055,348"
stdd,"1029,5026"
pinkhub,"1028,405"
russellstockley,"1023,608"
howyf2,"1020,408"
savvyplayer,"1019,0"
badpupper,"1014,696"
pixiepost,"1012,347"
madushanka,"1011,5"
ianmcg,"1002,116"
floki-skarsgaard,"1001,967"
voltagrou,"1000,1"
amedhya,"1000,03"
iviaxpow3r,"1000,0"
criptosectadepit,"1000,0"
imagenius.dac,"1000,0"
smallboost,"1000,0"
celf.support,"1000,0"
alovely088,"921,607"
tydynrain,"901,7266"
chocolatescorpi,"879,506"
yousafharoonkhan,"875,435"
luckyali,"874,635"
steemer-sayu907,"874,635"
aunik,"874,635"
ennydee,"874,635"
captain-sam,"874,635"
oredebby,"874,635"
hykss,"852,085"
rbhayes,"822,213"
assassyn,"788,6958"
bardobrujo,"767,479"
sabihaislam,"733,158"
jeanlucsr,"725,619"
onewolfe,"713,787"
chireerocks,"676,79"
femcy-willcy,"647,956"
voltz-blag,"645,691"
old-man-chu58,"644,3158"
sharkthelion,"616,113"
adysscheryl,"587,621"
alente,"586,108"
dailygiveaways,"571,048"
cryptohaytham,"566,161"
supriya.gupta1,"564,154"
cooperclub,"552,125"
marshmellowman,"543,494"
yhuddee111,"534,21"
k-banti,"534,144"
jfang003,"529,5575"
imno,"525,737"
tokutaro22,"522,213"
theroad2freedom,"521,03"
germangenius,"514,448"
flemingfarm,"500,1"
meanbees,"500,0"
ekushya,"481,082"
amberkashif,"469,63"
generra-abraham,"460,978"
torrey.blog,"458,253"
amphlux,"457,493"
successchar,"453,941"
invest4free,"450,225"
bonnie30,"446,317"
saachi.list,"440,427"
master-lamps,"398,511"
l337m45732,"392,767"
lebah,"386,456"
nuthman,"383,569"
psimpson67,"381,002"
chmoen,"368,209"
ericburgoyne,"363,402"
leemah1,"360,526"
davidthompson57,"356,6648"
hivecoffee,"350,823"
greensempire,"345,973"
stevermac1966,"344,4331"
servelle,"343,7543"
gadrian,"342,4044"
uyobong,"340,6"
ekushya.ctp,"339,658"
aslehansen,"331,4"
learningenglish,"323,852"
makerhacks,"319,841"
engilhramn,"306,6884"
elbrava,"299,972"
nathanmars,"296,891"
robert0z,"296,0759"
scottrohn,"293,314"
starstrings01,"291,945"
bigtakosensei,"291,845"
tomlee,"291,645"
bonnierroberts,"291,545"
mamasez,"291,545"
mirroredspork,"291,362"
matthew1,"286,32"
gidien,"278,048"
agog,"275,969"
juanmiguelsalas,"275,622"
gestion.alive,"272,711"
cryptospa,"266,634"
definethedollar,"250,214"
rosmadirazali,"241,648"
elricmoonslayer,"236,127"
serhotest,"236,0138"
lifeskills-tv,"234,33"
duke77,"232,7438"
felixgarciap,"231,7964"
zottone444,"231,536"
reeta0119,"230,707"
denmarkguy,"227,3463"
jishan5,"223,099"
forsakensushi,"214,995"
beststart,"212,212"
biglove,"207,476"
dirkzett,"207,4335"
cookaiss,"204,489"
bructp,"203,8737"
yintercept,"203,281"
heruvim1978,"202,818"
gondek,"201,6733"
honeysaver.fund,"201,4781"
syllem,"201,348"
mushanov,"200,2"
solymi,"199,075"
sanelica81,"196,332"
dadspardan,"192,239"
brofi,"189,247"
chuiiiiiiii,"188,187"
saboin,"183,825"
mytechtrail,"179,2663"
magicbeans,"178,194"
pixelfan,"177,4746"
nerdylens,"175,013"
martusamak,"172,4118"
dkid14,"170,111"
ctpsb,"168,561"
magic.alive,"166,843"
k5905200786,"166,7747"
monsterjamgold,"164,785"
xyzashu,"162,917"
mybiel,"161,306"
pizzabot,"160,729"
kokyi,"158,263"
blainjones,"157,609"
salexa5,"153,972"
peter-stone,"151,821"
maverickinvictus,"151,68"
fiberfrau,"151,4364"
ayhamyou,"150,934"
taskmaster4450,"149,472"
shadowspub,"149,216"
roger5120,"148,672"
jonsnow1983,"148,272"
ghcamry,"147,272"
qurator,"147,172"
obrisgold1,"147,172"
chronocrypto,"146,788"
lebey1,"146,672"
rem-steem,"146,593"
eliydrakes,"146,372"
rmsadkri,"146,372"
niallon11,"146,172"
sandymeyer,"146,072"
dmilliz,"145,972"
cryptoandcoffee,"145,972"
isabelpena,"145,972"
cruis,"145,972"
fabian98,"145,872"
jersteemit,"145,872"
marvyinnovation,"145,872"
gungunkrishu,"145,872"
david.dicotomia,"145,872"
mariannewest,"145,872"
sgbonus,"145,872"
linco,"145,872"
bimpcy,"145,872"
ackza,"145,872"
ladygospel,"145,872"
crystalwills,"145,872"
singhsweety189,"145,872"
crypto-dz,"145,872"
bvijay,"145,872"
rafaeleff15,"145,872"
paulag,"145,872"
faraicelebr8,"145,854"
blokz,"145,828"
the-sports-nerd,"145,772"
steemincome,"145,772"
smartintravels,"145,772"
voclab,"145,772"
wanasoloben,"145,772"
slackerman,"145,772"
steem-key,"145,772"
usenflourish,"145,772"
willspatrick,"145,772"
trumpman2,"145,772"
unyime1,"145,772"
uniquechallenges,"145,772"
thecrytotrader,"145,772"
suffgrace,"145,772"
zellypearl,"145,772"
toufiq777,"145,772"
sumit71428,"145,772"
tariqul.bibm,"145,772"
techbizgeek,"145,772"
theycallmedan,"145,772"
videosteemit,"145,772"
newageinv,"145,772"
sigskeie,"145,772"
deputycowboy,"145,772"
earnlogy,"145,772"
dowie,"145,772"
doana1,"145,772"
distinction001,"145,772"
dimsyto,"145,772"
dijin,"145,772"
dexpartacus,"145,772"
debbyola,"145,772"
eldecor,"145,772"
dawnndusk,"145,772"
dareey12,"145,772"
damonmcnair,"145,772"
dallas27,"145,772"
cutefantasy,"145,772"
curtawakening,"145,772"
cryptoknight12,"145,772"
eddyeshiet,"145,772"
elizacheng,"145,772"
imaluv54,"145,772"
fermionico,"145,772"
iamjohn,"145,772"
holuseyi,"145,772"
hertz.rhb,"145,772"
shemzy32,"145,772"
greatness96,"145,772"
goofy420,"145,772"
glotokens,"145,772"
femorano,"145,772"
emmanuel-pade,"145,772"
febbykeys,"145,772"
faisalamin,"145,772"
exavil,"145,772"
evegrace,"145,772"
esomchi,"145,772"
erikklok,"145,772"
enivelo,"145,772"
cryptoeater,"145,772"
cruisin,"145,772"
coyotelation,"145,772"
aricheta,"145,772"
ayoyemi1,"145,772"
ayorae,"145,772"
atrina,"145,772"
asad44,"145,772"
aryankk,"145,772"
arslan102,"145,772"
arrliinn,"145,772"
animal-shelter,"145,772"
chimchi1000,"145,772"
angelica7,"145,772"
ange.nkuru,"145,772"
andrewn,"145,772"
amr008,"145,772"
alokkumar121.ctp,"145,772"
adritaa,"145,772"
adedoyin-g,"145,772"
babeltrips,"145,772"
babylove5,"145,772"
bagofincome,"145,772"
behiverctp,"145,772"
cherrypee,"145,772"
charlesgoldie,"145,772"
caroline675,"145,772"
captainbob,"145,772"
bulldog-joy,"145,772"
bryandivisions,"145,772"
brooklindt,"145,772"
brianoflondon,"145,772"
botony,"145,772"
bolabose,"145,772"
blisssss11,"145,772"
bizventures,"145,772"
bitcoinman,"145,772"
bishopntuk,"145,772"
bennysparks,"145,772"
imadear,"145,772"
hafizullah,"145,772"
improbableliason,"145,772"
mllg,"145,772"
praise-eu,"145,772"
pixiedust4u,"145,772"
peterjaphet,"145,772"
perosky1,"145,772"
pejupops,"145,772"
peacewealth,"145,772"
paulnulty,"145,772"
ospro,"145,772"
onyeoga,"145,772"
ononnaa,"145,772"
ola96,"145,772"
oja-venture,"145,772"
niffybay,"145,772"
nicollefiallo,"145,772"
netaterra,"145,772"
irvinc,"145,772"
motun,"145,772"
prechyrukky,"145,772"
prince10,"145,772"
purepinay,"145,772"
roseberry,"145,772"
sharkstudio,"145,772"
shadowayiti,"145,772"
sbaby,"145,772"
sardar-sani,"145,772"
sahitya2702,"145,772"
sahilgupta,"145,772"
royalsam,"145,772"
rosanita,"145,772"
ralphsam2,"145,772"
romiz.amin,"145,772"
rishabh99946,"145,772"
ridoykhan22,"145,772"
richardtaylor,"145,772"
respuestastodos,"145,772"
reefe,"145,772"
razack-pulo,"145,772"
mohammadfaisal,"145,772"
naturereality,"145,772"
mjlipsey3018,"145,772"
khalil319,"145,772"
jinicharley2020,"145,772"
joebboy,"145,772"
joswag,"145,772"
joy-only-joy,"145,772"
julitimzy,"145,772"
jennawash5,"145,772"
missagora,"145,772"
kennyroy,"145,772"
kevin.cron,"145,772"
jeddiekay,"145,772"
kevinli,"145,772"
jearyjoe,"145,772"
khalctp,"145,772"
jangle,"145,772"
kings247,"145,772"
lizaboss,"145,772"
maaz23,"145,772"
mariez,"145,772"
janetlegere,"145,772"
marleyn,"145,772"
martinsworld,"145,772"
mhizerbee,"145,772"
michaelugom,"145,772"
jan.kretschmer,"145,772"
jerichternida,"145,772"
thegoliath,"140,9"
cryptonotes,"132,8793"
