account,ownedStake
flaxz.alive,"104031,1"
jlufer,"76309,94"
hafiz34,"70167,0824"
aliveprojects,"56037,687"
iamalivechalleng,"53600,3356"
iamraincrystal,"52398,2596"
lukeisalive,"33638,046"
bradleyarrow,"29270,5958"
gurseerat,"29211,0253"
masoom,"20690,4757"
zombiepatrol,"20000,0"
kingneptune,"19188,958"
maddogmike,"18018,2271"
benthomaswwd,"16290,1741"
darmst5339,"15896,9448"
imfarhad,"14623,3151"
edgerik,"13548,2467"
ironshield,"13238,5601"
jimmy.adames,"12120,4155"
hive-112281,"10893,0721"
primersion,"10000,0"
gestion.alive,"9854,0193"
harpreetjanda,"9595,556"
aliveandthriving,"9432,6537"
thisisawesome,"9118,3123"
alive.chat,"8952,281"
mypathtofire,"6706,6639"
d00k13,"6558,913"
captain.alive,"6035,068"
yeckingo1,"5993,8616"
davidxxl,"5780,658"
hive.pizza,"5778,674"
vocup,"5616,087"
saboin.alive,"5479,9201"
lisamgentile1961,"5322,7986"
chapelle,"5306,642"
manuvert,"5274,6836"
ana-maria,"5150,7925"
flaxz,"5146,9"
ddn688,"5086,335"
alokkumar121,"5069,1193"
elianaicgomes,"5029,401"
flaxz.ctp,"5000,8"
noctury,"4874,3923"
rcaine,"4705,7933"
chaosmagic23,"4633,8558"
heartbeatonhive,"4322,0902"
justclickindiva,"4247,564"
dibblers.dabs,"4221,1313"
awah,"4212,866"
davidthompson57,"4103,4069"
raishmi,"3934,666"
steem-holder,"3872,0"
magicalive,"3747,0942"
stickupboys,"3550,285"
ben.haase,"3526,7902"
holovision.cash,"3448,9242"
globetrottergcc,"3287,1828"
hankanon,"3223,4481"
gank,"3158,249"
merthin,"3127,6659"
lolz.alive,"3106,9134"
hoosie,"2998,4946"
toekins,"2850,1358"
liotes.alive,"2664,6919"
griega,"2626,408"
alzee,"2566,8917"
pedrobrito2004,"2453,3805"
guurry123,"2353,912"
misterc,"2344,2758"
hirohurl,"2308,9362"
kaseldz,"2306,035"
stdd,"2251,0119"
wrestlingdesires,"2235,5342"
b4phom3t,"2201,457"
tokenpimp,"2147,0307"
elizabetamt,"2134,2044"
captaincryptic,"2130,3687"
newigennity,"2124,932"
myupvote2u,"2077,0058"
beststart,"2073,2643"
adysscheryl,"2067,6154"
ilovewintergem,"2065,4326"
epic-fail,"1949,4604"
mlrequena78,"1886,651"
points-fr,"1799,2849"
laruche,"1794,5903"
macfit,"1760,5561"
tydynrain,"1733,2647"
jacoalberts,"1721,5"
moretea,"1704,8462"
chireerocks.live,"1691,983"
vickoly,"1688,5252"
johnsdowie,"1666,251"
alex2alex,"1652,4834"
melinda010100,"1613,233"
wdougwatson,"1600,228"
mervinthepogi,"1589,71"
mk992039,"1563,141"
tdctunes,"1502,2"
bearmol,"1497,649"
lightcaptured,"1457,0369"
bambukah,"1422,272"
daniky,"1410,3471"
samsmith1971,"1409,9506"
rbhayes,"1355,1405"
madame-cyntaia,"1290,488"
rachaeldwatson,"1261,1962"
rickardoh,"1251,013"
cryptopsycho21,"1230,8001"
mario89,"1226,6935"
hivetrending,"1226,389"
captainloken,"1218,7597"
bardobrujo,"1179,0145"
johnandgrace,"1128,915"
tunnelmotions,"1118,2384"
rarej,"1115,048"
assassyn,"1114,3"
ekushya,"1111,8406"
chuiiiiiiii,"1101,576"
dreamingirwin,"1090,646"
andy-plays,"1088,028"
allonyx.ngs,"1085,8553"
engilhramn,"1077,1622"
tengolotodo,"1069,2205"
icon-bassey,"1066,063"
old-man-chu58,"1061,8916"
forykw,"1056,548"
stevermac1966,"1036,3958"
badpupper,"1026,6323"
savvyplayer,"1026,3294"
russellstockley,"1025,708"
criptosectadepit,"1021,416"
howyf2,"1020,408"
ianmcg,"1017,0235"
pixiepost,"1014,947"
madushanka,"1011,5"
consciouscat,"1007,5"
new.things,"1006,6936"
ahmadmanga,"1001,2"
vokus,"1000,1181"
voltagrou,"1000,1"
imagenius.dac,"1000,0"
iviaxpow3r,"1000,0"
celf.support,"1000,0"
caelum1infernum,"967,8347"
voltz-blag,"951,705"
alovely088,"951,0538"
kam5iz,"938,8062"
chocolatescorpi,"880,206"
yousafharoonkhan,"875,435"
karizma,"875,2068"
aunik,"874,735"
steemer-sayu907,"874,635"
luckyali,"874,635"
oredebby,"874,635"
ennydee,"874,635"
captain-sam,"874,635"
hykss,"852,085"
sabihaislam,"733,758"
jeanlucsr,"725,619"
