account,ownedStake
splinterskins,"50000,10889015"
aggroed,"25073,36018264"
captain.future,"12950,99626322"
neoxian,"10086,69618387"
schlooster,"8592,23225492"
buddypal,"7523,83794027"
balte,"5229,84893936"
memehive,"5095,21022414"
hive-engine,"5000,00082179"
smalp,"5000,0"
ecosaint,"4868,35668701"
shannon-roberts,"4769,53782752"
hive.pizza,"4162,05493275"
mmmmkkkk311,"4093,78018689"
inertia,"4001,18630602"
dustindivitto,"4000,0"
howweroll,"3860,15863662"
crypto-is-a-scam,"3694,01033611"
aliveandsocial,"3618,32651918"
richardcrill,"3436,58737111"
abrockman,"3401,1205406"
mmrx,"3400,0"
ballsdeep69,"3264,46207178"
holovision,"3174,85505469"
jedigeiss,"3100,2506846"
hivephoto,"3082,44479594"
samualkim,"2662,39561946"
beetrader,"2566,49004326"
knowhow92,"2402,25321245"
ctpsb.stem,"2300,11341939"
freebornsociety,"2202,83791575"
bluesniper,"2158,18539006"
he-index,"2032,27728637"
coffeebuds,"2010,53540694"
foodiesunite,"2006,03224136"
koussbar,"1965,54869964"
reggaejahm,"1860,25801757"
jelly-cz,"1837,90127823"
queker-bee,"1823,69911904"
chaostrader,"1802,0"
enginemaker,"1800,0"
hivelist,"1704,02304204"
ctime,"1694,65980532"
upfundme,"1605,20925227"
blue.rabbit,"1527,82960039"
anadolu,"1509,21528473"
behiverbee,"1479,0866971"
forykw,"1429,65584317"
eonwarped,"1404,48191154"
crystalking,"1400,0"
m3ss,"1350,47414408"
beebay,"1292,92662063"
primersion,"1250,49845441"
saleg25,"1225,66881777"
hive-trader,"1200,0"
fivesecondrule,"1200,0"
rsteem,"1200,0"
alucard1260,"1200,0"
digital.tinkerer,"1181,91175576"
bilpcoin,"1176,93519525"
sinistry,"1143,35418244"
oneup-cartel,"1138,09646601"
risingstargame,"1023,56162355"
waiv.swap,"1010,0"
flauwy,"1009,44162647"
reazuliqbal,"1001,30826981"
netaterra,"918,44015793"
token-thx,"862,8536543"
condeas,"714,09281388"
bee-curator,"704,43225685"
hivehustlers,"668,80583339"
saboin,"656,7580066"
fighter4-freedom,"597,92500323"
taintedblood,"563,0857657"
mary-be,"558,42506756"
siphon.tribes,"537,69804736"
pimptoken,"519,88905508"
gamer00,"487,56916529"
epic-fail,"482,05340376"
meanbees,"457,36877598"
flodor,"437,78365585"
stoken.bee,"413,56043623"
flamo,"413,09454062"
quekery,"411,13648629"
dame18dame18,"409,00057709"
aichanbot,"406,71654017"
smooms,"406,16790181"
fort.retinox,"400,0"
mawit07,"398,07544596"
russia-btc,"388,55356215"
tribemieregal,"387,68458131"
thatgermandude,"385,89646775"
harpreetjanda,"380,75284771"
atma.love,"374,61293629"
belemo,"374,45712739"
cookaiss,"355,90502494"
archon-mining,"330,00320132"
b4phom3t,"317,64235185"
dynamicrypto,"296,16670789"
stickupcash,"293,92981666"
leosoph,"292,74616521"
niallon11,"283,6694245"
definitelyn0tme,"275,0"
ecoinstant,"268,20467271"
kolbjorn,"267,12912753"
queensativa,"260,9597874"
uyobong,"256,3965969"
mcoinz79,"251,88383129"
kizumo,"250,40410307"
carsonroscoe,"250,0"
lolzbot,"243,88338488"
phusionphil,"243,86759796"
ourpick,"227,94858162"
codingdefined,"227,80778517"
liotes.burn,"226,23327683"
cooperclub,"218,08097642"
tunnelmotions,"215,60416528"
no-advice,"209,9861906"
ligayagardener,"208,60529064"
psyberx,"207,7930299"
valentin86,"207,7292902"
sumatranate,"206,79010746"
rico-roughneck,"203,0"
ww-ww,"202,47564502"
mk-sports-token,"201,66216455"
primeradue,"201,49190639"
pgarcgo,"201,03546822"
mk-leo-token,"200,87319074"
lion200,"200,49566058"
mk-pal-token,"200,0"
botvotes,"200,0"
csport,"200,0"
gaskets,"200,0"
intactbin,"200,0"
lasvarat,"200,0"
acccount,"200,0"
temporare,"200,0"
skyseven,"200,0"
agumare,"200,0"
zeltra,"200,0"
tacotaco,"200,0"
salamandro,"200,0"
tenpik,"200,0"
kamikaze,"200,0"
captaincryptic,"198,86281666"
pizzabot,"197,73165872"
mango-juice,"196,38947974"
libertycrypto27,"188,89191802"
damus-nostra-2,"188,51539555"
shadowspub,"187,88125032"
dunksocial,"184,5310616"
ammonite,"183,32158429"
braaiboy,"182,00869439"
cursephantom,"176,80345224"
edouard,"171,85084724"
ph1102,"169,55101486"
elamental,"169,08095667"
mein-senf-dazu,"168,83537564"
blewitt,"166,12825543"
agog,"164,95859902"
r1s2g3,"164,28496608"
roleerob,"164,20506391"
bala41288,"162,89419719"
richardfyates,"162,42347681"
andy4475,"160,95131583"
edb,"158,17045391"
torran,"158,00919828"
themyscira,"156,72395362"
ynwa.andree,"155,63633575"
ackza,"150,94123582"
bastionpm,"150,09766677"
jongolson,"150,03414542"
lieta,"150,0"
blueeyes8960,"149,65811113"
apoloo1,"149,10912256"
kvinna,"143,6106073"
detlev,"140,50938639"
voltz-blag,"138,69594465"
hykss,"133,78309619"
smoomslive,"132,46660215"
dubble,"125,87169308"
burlarj,"125,10168492"
hakeke,"123,67911417"
jesterago,"122,50629276"
kryptodenno,"120,74237178"
mary-me,"120,63866848"
lollipopred,"119,56590763"
arpuch,"119,53932935"
familyhistory,"119,53262297"
shadowwolf888,"117,06705113"
chireerocks,"115,0"
soyrosa,"113,44127453"
thranax,"113,0255453"
jimmy.adames,"111,88297253"
darkflame,"111,16092932"
maakue,"106,34980372"
ctpchat,"106,1154023"
satyre,"104,30321998"
wil.metcalfe,"103,07322353"
numasi,"102,61560861"
gerber,"101,86724864"
points-fr,"101,78427897"
etblink,"100,66342748"
fwxiii,"100,43591887"
build-it,"100,16775758"
americaman,"100,0"
buynano-lp,"99,9998086"
archon-gov,"99,49228381"
chaoabunga,"95,62120557"
satren,"94,98039879"
thisisawesome,"93,80293787"
achim03,"93,3185405"
flaxz,"92,84669004"
gregory-f,"91,5731374"
vikbuddy,"90,75959289"
iamraincrystal,"88,26878739"
junkfeathers,"87,60373104"
bradleyarrow,"86,90285777"
successchar,"86,7488557"
chickenfatale,"85,67393772"
bcarolan639,"80,26171171"
schmidi,"79,85468812"
urun,"78,09786773"
yameen,"76,94375851"
salexa5,"76,56632842"
entrepidus,"74,12124931"
hiq.redaktion,"72,66782354"
amberyooper,"72,51459243"
lukeisalive,"72,36639856"
nobutsd1974,"71,82953562"
ph1102.bee,"71,18785119"
lolz.bee,"70,87313652"
cryptofiloz,"70,36414213"
chapelle,"70,05803924"
lxsxl,"69,35603758"
aron755,"67,57740679"
chronocrypto,"66,41947526"
howzat,"66,06963156"
eturnerx,"64,3588563"
iamalivechalleng,"61,08947402"
proctologic,"60,9"
hive-world,"60,61745362"
hetty-rowan,"60,60977654"
shiftrox,"59,9957018"
kingneptune,"59,98151194"
alive.chat,"59,39227174"
fredfettmeister,"59,13178677"
vasupi,"58,97976639"
discohedge,"58,0769188"
manuvert,"56,55264485"
skunk-smoka,"56,00039109"
investinthefutur,"55,55896272"
trashyomen,"55,51580297"
moeenali,"55,42021895"
bambukah,"54,5559997"
rob23,"54,41385152"
seckorama,"53,65386519"
rentmoney,"53,37279208"
backinblackdevil,"52,52508249"
offgridlife,"51,95237949"
peterale,"51,92665752"
muelli,"51,21139289"
guurry123,"50,81057191"
liotes,"50,80934507"
clicktrackprofit,"50,40409393"
lernherstory,"50,0"
bitandi,"48,88604472"
weldmaster,"48,66648106"
ctpsb,"48,26207299"
ctptalk,"47,76257682"
thepen,"47,4"
