account,ownedStake
splinterskins,"52173,42304055"
aggroed,"31130,18247197"
captain.future,"13015,06551794"
neoxian,"10226,55508008"
balte,"6000,68571546"
memehive,"5120,67041691"
ecosaint,"5072,73084501"
hive-engine,"5000,00082179"
smalp,"5000,0"
hivephoto,"4994,29330208"
aliveandsocial,"4979,32181312"
hive.pizza,"4188,06901275"
mmmmkkkk311,"4102,73683323"
jedigeiss,"4050,75982533"
inertia,"4004,27827786"
dustindivitto,"4000,0"
howweroll,"3860,40260554"
dsc-r2cornell,"3546,98509101"
richardcrill,"3465,64326809"
abrockman,"3456,12515598"
mmrx,"3400,0"
beetrader,"2812,08437334"
points-fr,"2727,84580347"
primersion,"2727,6217228"
holovision,"2519,67084744"
knowhow92,"2504,07308982"
ctpsb.stem,"2421,05447668"
bluesniper,"2254,75436743"
freebornsociety,"2201,61089776"
he-index,"2057,07055811"
forykw,"2042,7152731"
coffeebuds,"2010,87714103"
foodiesunite,"2006,62559972"
balina,"2005,19749554"
queker-bee,"1937,75699462"
reggaejahm,"1871,20053485"
jelly-cz,"1849,82014224"
anadolu,"1822,71969605"
enginemaker,"1800,0"
ctime,"1700,14776552"
upfundme,"1660,70677804"
shar-pei,"1600,99219596"
blue.rabbit,"1557,28296445"
token-thx,"1532,42140714"
crystalking,"1400,0"
beebay,"1365,77177586"
m3ss,"1361,77878433"
saboin,"1292,12990999"
digital.tinkerer,"1204,45971916"
alucard1260,"1200,0"
fivesecondrule,"1200,0"
kamikaze,"1200,0"
rsteem,"1200,0"
bilpcoin,"1180,52767748"
stickupcash,"1147,5525875"
oneup-cartel,"1138,4430336"
ervin-lemark,"1126,22533598"
apiculture,"1117,04629232"
atexoras.witness,"1112,6717198"
pizza-engine,"1111,94736184"
kanibot,"1110,11115785"
brofund-witness,"1109,7784138"
comptroller,"1098,81951844"
netaterra,"1088,9742028"
stoken.bee,"1080,61789469"
risingstargame,"1062,84486728"
ausbit.dev,"1060,53664883"
waiv.swap,"1010,0"
flauwy,"1009,71080533"
ph1102.ctp,"1005,78819966"
reazuliqbal,"1004,52961999"
woo-market-maker,"1000,0"
r2cornell,"1000,0"
bee-curator,"978,23727934"
locolombia,"898,41550746"
neoxianminer,"889,01184729"
condeas,"882,69654001"
sinistry,"862,3724491"
siphon.tribes,"848,09358409"
holovision.cash,"795,06997992"
clicktrackprofit,"777,13383192"
chrono.witness,"764,07175459"
eturnerx-honey,"761,60431139"
hivelist,"721,18128511"
actifit-he,"700,996867"
koussbar,"607,4837403"
wrestorgonline,"606,10577901"
lolzbot,"599,0273549"
mary-be,"589,22925201"
taintedblood,"565,00143184"
pimptoken,"538,61290699"
russia-btc,"525,65864415"
bdc.witness,"522,43108974"
kryptodenno,"509,26840974"
luislrt,"503,22680588"
epic-fail,"490,38624983"
gamer00,"489,80643337"
meanbees,"483,89638446"
mawit07,"480,24248139"
andy4475,"480,11088749"
aichanbot,"469,68659572"
quekery,"468,68530536"
thelogicaldude,"441,61328763"
mcoinz79,"439,09564574"
flodor,"437,78365585"
flamo,"431,33124701"
h-e,"420,97154398"
weldmaster,"417,1543505"
smooms,"411,68653308"
dame18dame18,"409,00057709"
harpreetjanda,"402,32227885"
fort.retinox,"400,0"
thatgermandude,"394,38411128"
hewitness,"390,62517585"
thranax,"384,38416571"
atma.love,"381,61827549"
cookaiss,"361,24339605"
imno,"358,3862738"
b4phom3t,"348,8304082"
archon-mining,"339,998372"
ecoinstant,"317,09502584"
dynamicrypto,"309,36190336"
leosoph,"294,80730028"
niallon11,"285,30946813"
hivehustlers,"282,440556"
definitelyn0tme,"275,0"
queensativa,"274,91939209"
ourpick,"260,9749992"
soyrosa,"256,3619302"
roleerob,"253,88492278"
kizumo,"252,39238239"
liotes.burn,"251,68411373"
carsonroscoe,"250,0"
phusionphil,"246,87603455"
codingdefined,"246,47656717"
mango-juice,"246,46609638"
libertycrypto27,"246,38821752"
psyberx,"239,31102285"
cursephantom,"237,73433697"
ww-ww,"232,12133214"
laruche,"231,32780845"
mein-senf-dazu,"225,77917012"
cooperclub,"219,03849678"
r1s2g3,"217,66208301"
tunnelmotions,"215,87530077"
elamental,"214,99852432"
captaincryptic,"214,1739104"
bala41288,"214,15559445"
shadowwolf888,"213,54644018"
shadowspub,"212,23664783"
no-advice,"211,78657464"
valentin86,"211,13923316"
ligayagardener,"208,70098819"
damus-nostra-2,"208,40157195"
sumatranate,"208,30209842"
voltz-blag,"206,89833125"
mk-sports-token,"204,28053634"
noctury,"204,1786249"
rico-roughneck,"203,0"
primeradue,"202,22307608"
pgarcgo,"201,08515606"
mk-leo-token,"200,87319074"
lion200,"200,53328926"
tenpik,"200,0"
temporare,"200,0"
intactbin,"200,0"
botvotes,"200,0"
lasvarat,"200,0"
csport,"200,0"
newparadigmtt,"200,0"
mk-pal-token,"200,0"
gaskets,"200,0"
zeltra,"200,0"
agumare,"200,0"
skyseven,"200,0"
tacotaco,"200,0"
salamandro,"200,0"
acccount,"200,0"
pizzabot,"199,38748804"
ynwa.andree,"197,88157534"
ph1102,"196,53927012"
blewitt,"195,84579326"
ammonite,"193,25058384"
jesterago,"190,94558936"
themyscira,"188,60154668"
braaiboy,"187,85809604"
dunksocial,"184,5310616"
torran,"175,75092902"
agog,"174,28960424"
bastionpm,"172,63797959"
edouard,"171,896893"
kheldar1982,"171,69372067"
craftystats,"166,39214588"
burlarj,"164,27431506"
richardfyates,"162,43671754"
shiftrox,"162,21390951"
mary-me,"161,87619382"
smoomslive,"159,22992948"
dubble,"158,08593287"
ackza,"151,05059572"
apoloo1,"150,71563199"
lieta,"150,0"
blueeyes8960,"149,72894119"
lolz.bee,"147,15267754"
arpuch,"144,93115349"
hiq.bee,"143,10084682"
faireye,"139,87377386"
hykss,"134,11941567"
numasi,"132,20908082"
criptosectadepit,"128,72059893"
thisisawesome,"127,9567191"
bambukah,"127,91103489"
flaxz,"127,66508085"
hakeke,"127,45154479"
emaxisonline,"126,66054263"
dw-he,"125,51359842"
familyhistory,"120,30440159"
liotes,"120,01245342"
lollipopred,"119,56590763"
louis.witness,"117,96213186"
lassecashwitness,"117,16124588"
darkflame,"114,34596446"
jimmy.adames,"112,78314804"
iamraincrystal,"110,62012328"
achim03,"109,30092999"
maakue,"107,22475608"
lukeisalive,"106,49231212"
bitandi,"104,67308039"
satyre,"104,30534173"
twicejoy,"103,24271198"
wil.metcalfe,"103,0808988"
archon-gov,"103,05134179"
vasupi,"102,62593462"
ladybe,"102,31278179"
gerber,"102,11877331"
prinzvalium,"102,02982598"
etblink,"100,66342748"
fwxiii,"100,43595085"
lxsxl,"100,38042378"
build-it,"100,25200921"
superhive,"100,07393483"
americaman,"100,0"
buynano-lp,"99,9998086"
miketr,"99,01623951"
stdd,"98,81395985"
schmidi,"96,80560909"
satren,"95,79252929"
lotto-de,"95,78912333"
chaoabunga,"95,62120557"
balaz,"93,68082954"
e-r-k-a-n,"93,54738343"
vikbuddy,"93,05486404"
iviaxpow3r,"92,45564808"
beststart,"92,26065578"
ph1102.bee,"92,11977304"
mario89,"90,79865959"
investinthefutur,"90,74632695"
yameen,"90,12378662"
eturnerx,"88,73305465"
junkfeathers,"88,53154667"
successchar,"88,52924436"
entrepidus,"88,46792084"
hiq.redaktion,"88,26581951"
urun,"88,19369576"
lolztoken,"86,85819371"
chickenfatale,"85,67583333"
peterale,"83,66481532"
jacuzzi,"82,64067122"
bcarolan639,"82,43202595"
nobutsd1974,"80,92135452"
alive.chat,"80,14555223"
aron755,"79,57740679"
fun.miner,"79,526281"
discohedge,"78,6608066"
manuvert,"78,10687822"
captainloken,"78,04881068"
krakonos,"76,83720016"
salexa5,"76,7106685"
chapelle,"74,9324193"
howzat,"74,41882765"
dailygiveaways,"74,12479699"
simsahas,"73,54497147"
hetty-rowan,"73,43192426"
shadowstoem,"72,81841931"
joshman,"72,6176116"
amberyooper,"72,59542515"
cryptofiloz,"72,20811966"
amirtheawesome1,"71,97050533"
cyntor,"71,70154832"
alokkumar121,"70,15281681"
guurry123,"68,24714554"
aliveandthriving,"67,48253297"
ironshield,"67,10270734"
thekronny,"66,0"
xabi,"65,41051954"
moeenali,"63,4273109"
iamalivechalleng,"63,30397728"
solymi,"61,86761142"
fredfettmeister,"61,41526816"
kingneptune,"61,20134565"
tribaldexwitness,"61,09203646"
relf87,"61,02727812"
proctologic,"60,9"
edongdong,"60,4705579"
darmst,"59,56169998"
trashyomen,"56,05034495"
rob23,"55,58980904"
holoferncro,"55,34976658"
ctpsb,"55,3497383"
edgerik,"54,92675848"
offgridlife,"54,4398402"
rentmoney,"53,93506101"
tribaldex,"53,88123552"
yintercept,"53,32045938"
backinblackdevil,"53,28852273"
sourovafrin,"52,12332179"
muelli,"51,78088251"
reiseamateur,"51,56147726"
iamjabez,"50,28702664"
mrmarkets,"50,13336882"
benthomaswwd,"50,12223601"
ana-maria,"50,07999925"
dlmmqb,"49,98687912"
dragon-ti,"49,57318381"
siphon,"49,28172402"
kirstin,"49,15834765"
dagger212,"49,05617185"
operahoser,"47,7430922"
guruvaj,"47,43023094"
thepen,"47,4"
l337m45732,"46,8526772"
hive-112281,"46,66453436"
hiq.shares,"46,5993272"
zartisht,"46,35872101"
saachi,"46,16090724"
efastromberg94,"46,15286369"
barmbo,"45,69346912"
b0s,"45,47783141"
