account,amount,symbol,memo
primersion,0.01114243,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
jimmy.adames,0.01078551,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
harpreetjanda,0.01067039,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
edgerik,0.00969769,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
thisisawesome,0.00920337,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
alive.chat,0.00906429,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
hive-112281,0.00862986,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
d00k13,0.00730778,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
aliveandthriving,0.00715556,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
captain.alive,0.00649333,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
lisamgentile1961,0.00588324,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
elianaicgomes,0.00560175,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
flaxz,0.00559227,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
invest-time,0.00557155,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
flaxz.ctp,0.00557121,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
ddn688,0.00532857,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
alokkumar121,0.0047977,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
saboin.alive,0.00457211,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
raishmi,0.00438284,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
benthomaswwd,0.00436065,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
hive.pizza,0.00393264,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
ironshield,0.00392913,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
stickupboys,0.0038823,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
daniky,0.00383595,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
justclickindiva,0.00382075,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
awah,0.00329581,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
gank,0.00329425,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
globetrottergcc,0.00320871,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
griega,0.00292289,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
guurry123,0.00259364,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
rcaine,0.00258818,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
kaseldz,0.00256937,BRO,"Daily payout based on your ALIVE stake, payout for 2 days."
