account,amount,symbol,memo
flaxz.alive,0.04400086,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03858492,BRO,Daily payout based on your ALIVE stake.
iamalivechalleng,0.02596321,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02573518,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02406198,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01592374,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01174003,BRO,Daily payout based on your ALIVE stake.
threesteps,0.01166055,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01095844,BRO,Daily payout based on your ALIVE stake.
masoom,0.01046052,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00843959,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00719197,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00633473,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00554194,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00530378,BRO,Daily payout based on your ALIVE stake.
imagenius.dac,0.00505687,BRO,Daily payout based on your ALIVE stake.
primersion,0.00505687,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00484774,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00472583,BRO,Daily payout based on your ALIVE stake.
alive.chat,0.00447365,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00443562,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00429018,BRO,Daily payout based on your ALIVE stake.
aliveandthriving,0.00354465,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00331675,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.0030211,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.0029222,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00269914,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00267297,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00254628,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00254295,BRO,Daily payout based on your ALIVE stake.
invest-time,0.00252848,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00252848,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00251474,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00242109,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00228929,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00217764,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00216871,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00213509,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00198956,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00190186,BRO,Daily payout based on your ALIVE stake.
daniky,0.00187972,BRO,Daily payout based on your ALIVE stake.
awah,0.00183745,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00179508,BRO,Daily payout based on your ALIVE stake.
mintfinch,0.00158778,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.00151992,BRO,Daily payout based on your ALIVE stake.
valentin86,0.00151884,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00151542,BRO,Daily payout based on your ALIVE stake.
gank,0.00149506,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00147244,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00140206,BRO,Daily payout based on your ALIVE stake.
griega,0.00132738,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00119129,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00118073,BRO,Daily payout based on your ALIVE stake.
kaseldz,0.00116608,BRO,Daily payout based on your ALIVE stake.
liotes.alive,0.00113232,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00111325,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00108574,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.00108567,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00101344,BRO,Daily payout based on your ALIVE stake.
ilovewintergem,0.00101254,BRO,Daily payout based on your ALIVE stake.
twicejoy,0.00101182,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00098619,BRO,Daily payout based on your ALIVE stake.
mlrequena78,0.00095355,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.0008926,BRO,Daily payout based on your ALIVE stake.
hoosie,0.0008644,BRO,Daily payout based on your ALIVE stake.
chireerocks.live,0.00085561,BRO,Daily payout based on your ALIVE stake.
wdougwatson,0.00080921,BRO,Daily payout based on your ALIVE stake.
captaincryptic,0.00079539,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00078832,BRO,Daily payout based on your ALIVE stake.
mk992039,0.00078409,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00078124,BRO,Daily payout based on your ALIVE stake.
tdctunes,0.0007603,BRO,Daily payout based on your ALIVE stake.
johnsdowie,0.00075481,BRO,Daily payout based on your ALIVE stake.
vickoly,0.00070667,BRO,Daily payout based on your ALIVE stake.
merthin,0.0006805,BRO,Daily payout based on your ALIVE stake.
elizabetamt,0.00067668,BRO,Daily payout based on your ALIVE stake.
jacoalberts,0.00064884,BRO,Daily payout based on your ALIVE stake.
rickardoh,0.00063262,BRO,Daily payout based on your ALIVE stake.
hive.phyowinkoko,0.00062335,BRO,Daily payout based on your ALIVE stake.
hivetrending,0.00062012,BRO,Daily payout based on your ALIVE stake.
samsmith1971,0.00058884,BRO,Daily payout based on your ALIVE stake.
johnandgrace,0.00057088,BRO,Daily payout based on your ALIVE stake.
rarej,0.00056376,BRO,Daily payout based on your ALIVE stake.
dreamingirwin,0.00055036,BRO,Daily payout based on your ALIVE stake.
andy-plays,0.0005502,BRO,Daily payout based on your ALIVE stake.
icon-bassey,0.00053869,BRO,Daily payout based on your ALIVE stake.
tunnelmotions,0.00053591,BRO,Daily payout based on your ALIVE stake.
forykw,0.00053368,BRO,Daily payout based on your ALIVE stake.
lightcaptured,0.00053163,BRO,Daily payout based on your ALIVE stake.
myupvote2u,0.00051968,BRO,Daily payout based on your ALIVE stake.
pinkhub,0.00051889,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00051711,BRO,Daily payout based on your ALIVE stake.
russellstockley,0.00051641,BRO,Daily payout based on your ALIVE stake.
howyf2,0.00051601,BRO,Daily payout based on your ALIVE stake.
savvyplayer,0.00051529,BRO,Daily payout based on your ALIVE stake.
badpupper,0.00051312,BRO,Daily payout based on your ALIVE stake.
pixiepost,0.00051137,BRO,Daily payout based on your ALIVE stake.
toekins,0.00051123,BRO,Daily payout based on your ALIVE stake.
madushanka,0.00051029,BRO,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00050621,BRO,Daily payout based on your ALIVE stake.
floki-skarsgaard,0.00050617,BRO,Daily payout based on your ALIVE stake.
amedhya,0.0005057,BRO,Daily payout based on your ALIVE stake.
roger.remix,0.00050569,BRO,Daily payout based on your ALIVE stake.
smallboost,0.00050569,BRO,Daily payout based on your ALIVE stake.
alovely088,0.00046276,BRO,Daily payout based on your ALIVE stake.
chocolatescorpi,0.00044465,BRO,Daily payout based on your ALIVE stake.
yousafharoonkhan,0.0004427,BRO,Daily payout based on your ALIVE stake.
ennydee,0.00044229,BRO,Daily payout based on your ALIVE stake.
oredebby,0.00044229,BRO,Daily payout based on your ALIVE stake.
steemer-sayu907,0.00044229,BRO,Daily payout based on your ALIVE stake.
luckyali,0.00044229,BRO,Daily payout based on your ALIVE stake.
captain-sam,0.00044229,BRO,Daily payout based on your ALIVE stake.
aunik,0.00044229,BRO,Daily payout based on your ALIVE stake.
hykss,0.00043089,BRO,Daily payout based on your ALIVE stake.
rbhayes,0.00041578,BRO,Daily payout based on your ALIVE stake.
iviaxpow3r,0.00038083,BRO,Daily payout based on your ALIVE stake.
sabihaislam,0.00037075,BRO,Daily payout based on your ALIVE stake.
jeanlucsr,0.00036694,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00036423,BRO,Daily payout based on your ALIVE stake.
bardobrujo,0.00035536,BRO,Daily payout based on your ALIVE stake.
epic-fail,0.0003519,BRO,Daily payout based on your ALIVE stake.
chireerocks,0.00034224,BRO,Daily payout based on your ALIVE stake.
onewolfe,0.00033128,BRO,Daily payout based on your ALIVE stake.
adysscheryl,0.00032673,BRO,Daily payout based on your ALIVE stake.
tydynrain,0.0003124,BRO,Daily payout based on your ALIVE stake.
sharkthelion,0.00031156,BRO,Daily payout based on your ALIVE stake.
mervinthepogi,0.00030979,BRO,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00030081,BRO,Daily payout based on your ALIVE stake.
alente,0.00029553,BRO,Daily payout based on your ALIVE stake.
femcy-willcy,0.00029306,BRO,Daily payout based on your ALIVE stake.
cooperclub,0.0002792,BRO,Daily payout based on your ALIVE stake.
marshmellowman,0.00027484,BRO,Daily payout based on your ALIVE stake.
k-banti,0.00027011,BRO,Daily payout based on your ALIVE stake.
yhuddee111,0.00026979,BRO,Daily payout based on your ALIVE stake.
theroad2freedom,0.00026347,BRO,Daily payout based on your ALIVE stake.
tokutaro22,0.00026342,BRO,Daily payout based on your ALIVE stake.
germangenius,0.00026015,BRO,Daily payout based on your ALIVE stake.
imno,0.0002547,BRO,Daily payout based on your ALIVE stake.
flemingfarm,0.00025289,BRO,Daily payout based on your ALIVE stake.
meanbees,0.00025284,BRO,Daily payout based on your ALIVE stake.
cryptohaytham,0.00024563,BRO,Daily payout based on your ALIVE stake.
generra-abraham,0.00023306,BRO,Daily payout based on your ALIVE stake.
torrey.blog,0.00023173,BRO,Daily payout based on your ALIVE stake.
amphlux,0.00023135,BRO,Daily payout based on your ALIVE stake.
successchar,0.00022915,BRO,Daily payout based on your ALIVE stake.
bonnie30,0.0002257,BRO,Daily payout based on your ALIVE stake.
invest4free,0.00022386,BRO,Daily payout based on your ALIVE stake.
saachi.list,0.00022272,BRO,Daily payout based on your ALIVE stake.
supriya.gupta1,0.00021405,BRO,Daily payout based on your ALIVE stake.
l337m45732,0.00019857,BRO,Daily payout based on your ALIVE stake.
jfang003,0.0001973,BRO,Daily payout based on your ALIVE stake.
lebah,0.00019543,BRO,Daily payout based on your ALIVE stake.
nuthman,0.00019397,BRO,Daily payout based on your ALIVE stake.
psimpson67,0.0001915,BRO,Daily payout based on your ALIVE stake.
chmoen,0.0001862,BRO,Daily payout based on your ALIVE stake.
master-lamps,0.00018362,BRO,Daily payout based on your ALIVE stake.
hivecoffee,0.00017741,BRO,Daily payout based on your ALIVE stake.
ericburgoyne,0.00017566,BRO,Daily payout based on your ALIVE stake.
greensempire,0.00017495,BRO,Daily payout based on your ALIVE stake.
ekushya,0.00017336,BRO,Daily payout based on your ALIVE stake.
uyobong,0.00017214,BRO,Daily payout based on your ALIVE stake.
ekushya.ctp,0.00017176,BRO,Daily payout based on your ALIVE stake.
assassyn,0.00017094,BRO,Daily payout based on your ALIVE stake.
aslehansen,0.00016758,BRO,Daily payout based on your ALIVE stake.
gadrian,0.00016418,BRO,Daily payout based on your ALIVE stake.
learningenglish,0.00016377,BRO,Daily payout based on your ALIVE stake.
makerhacks,0.00016174,BRO,Daily payout based on your ALIVE stake.
elbrava,0.00015169,BRO,Daily payout based on your ALIVE stake.
nathanmars,0.00015013,BRO,Daily payout based on your ALIVE stake.
scottrohn,0.00014832,BRO,Daily payout based on your ALIVE stake.
bigtakosensei,0.00014758,BRO,Daily payout based on your ALIVE stake.
starstrings01,0.00014748,BRO,Daily payout based on your ALIVE stake.
tomlee,0.00014748,BRO,Daily payout based on your ALIVE stake.
bonnierroberts,0.00014743,BRO,Daily payout based on your ALIVE stake.
mamasez,0.00014743,BRO,Daily payout based on your ALIVE stake.
matthew1,0.00014464,BRO,Daily payout based on your ALIVE stake.
juanmiguelsalas,0.00013938,BRO,Daily payout based on your ALIVE stake.
gidien,0.00013689,BRO,Daily payout based on your ALIVE stake.
cryptospa,0.00013458,BRO,Daily payout based on your ALIVE stake.
amberkashif,0.00013388,BRO,Daily payout based on your ALIVE stake.
servelle,0.00013103,BRO,Daily payout based on your ALIVE stake.
leemah1,0.00012755,BRO,Daily payout based on your ALIVE stake.
definethedollar,0.00012652,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00012255,BRO,Daily payout based on your ALIVE stake.
rosmadirazali,0.0001222,BRO,Daily payout based on your ALIVE stake.
elricmoonslayer,0.00011941,BRO,Daily payout based on your ALIVE stake.
lifeskills-tv,0.0001185,BRO,Daily payout based on your ALIVE stake.
reeta0119,0.00011661,BRO,Daily payout based on your ALIVE stake.
hiroshige,0.00011532,BRO,Daily payout based on your ALIVE stake.
jishan5,0.00011282,BRO,Daily payout based on your ALIVE stake.
biglove,0.00010492,BRO,Daily payout based on your ALIVE stake.
cookaiss,0.00010341,BRO,Daily payout based on your ALIVE stake.
duke77,0.00010247,BRO,Daily payout based on your ALIVE stake.
heruvim1978,0.00010241,BRO,Daily payout based on your ALIVE stake.
zottone444,0.00010193,BRO,Daily payout based on your ALIVE stake.
syllem,0.00010126,BRO,Daily payout based on your ALIVE stake.
mushanov,0.00010124,BRO,Daily payout based on your ALIVE stake.
bructp,0.00010049,BRO,Daily payout based on your ALIVE stake.
sanelica81,9.928e-05,BRO,Daily payout based on your ALIVE stake.
yintercept,9.904e-05,BRO,Daily payout based on your ALIVE stake.
solymi,9.81e-05,BRO,Daily payout based on your ALIVE stake.
dadspardan,9.706e-05,BRO,Daily payout based on your ALIVE stake.
mirroredspork,9.677e-05,BRO,Daily payout based on your ALIVE stake.
forsakensushi,9.593e-05,BRO,Daily payout based on your ALIVE stake.
ben.haase,9.588e-05,BRO,Daily payout based on your ALIVE stake.
chuiiiiiiii,9.516e-05,BRO,Daily payout based on your ALIVE stake.
saboin,9.296e-05,BRO,Daily payout based on your ALIVE stake.
magicbeans,9.011e-05,BRO,Daily payout based on your ALIVE stake.
brofi,8.966e-05,BRO,Daily payout based on your ALIVE stake.
pixelfan,8.949e-05,BRO,Daily payout based on your ALIVE stake.
mytechtrail,8.945e-05,BRO,Daily payout based on your ALIVE stake.
nerdylens,8.85e-05,BRO,Daily payout based on your ALIVE stake.
serhotest,8.832e-05,BRO,Daily payout based on your ALIVE stake.
ctpsb,8.509e-05,BRO,Daily payout based on your ALIVE stake.
magic.alive,8.437e-05,BRO,Daily payout based on your ALIVE stake.
monsterjamgold,8.322e-05,BRO,Daily payout based on your ALIVE stake.
dkid14,8.296e-05,BRO,Daily payout based on your ALIVE stake.
xyzashu,8.238e-05,BRO,Daily payout based on your ALIVE stake.
mybiel,8.157e-05,BRO,Daily payout based on your ALIVE stake.
pizzabot,8.118e-05,BRO,Daily payout based on your ALIVE stake.
kokyi,8.003e-05,BRO,Daily payout based on your ALIVE stake.
denmarkguy,8.001e-05,BRO,Daily payout based on your ALIVE stake.
blainjones,7.97e-05,BRO,Daily payout based on your ALIVE stake.
salexa5,7.781e-05,BRO,Daily payout based on your ALIVE stake.
peter-stone,7.677e-05,BRO,Daily payout based on your ALIVE stake.
maverickinvictus,7.67e-05,BRO,Daily payout based on your ALIVE stake.
ayhamyou,7.633e-05,BRO,Daily payout based on your ALIVE stake.
roger5120,7.503e-05,BRO,Daily payout based on your ALIVE stake.
taskmaster4450,7.498e-05,BRO,Daily payout based on your ALIVE stake.
jonsnow1983,7.498e-05,BRO,Daily payout based on your ALIVE stake.
shadowspub,7.469e-05,BRO,Daily payout based on your ALIVE stake.
obrisgold1,7.442e-05,BRO,Daily payout based on your ALIVE stake.
rem-steem,7.413e-05,BRO,Daily payout based on your ALIVE stake.
