account,amount,symbol,memo
flaxz.alive,0.04827596,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03796876,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02987219,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02501141,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01622426,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01318623,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01244025,BRO,Daily payout based on your ALIVE stake.
masoom,0.01029248,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00862114,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00829393,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00713651,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00645563,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00547333,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00533129,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00513863,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00502429,BRO,Daily payout based on your ALIVE stake.
primersion,0.00497563,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00492593,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.0047725,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00434292,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00326347,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00300283,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00287525,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00264584,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00263151,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00252858,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00252603,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.0025022,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00248821,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00248094,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00240369,BRO,Daily payout based on your ALIVE stake.
invest-time,0.00238051,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00215942,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.0021429,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.0021102,BRO,Daily payout based on your ALIVE stake.
awah,0.00209308,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00196835,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00195774,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00191628,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00179064,BRO,Daily payout based on your ALIVE stake.
