account,amount,symbol,memo
flaxz.alive,0.04858337,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03821048,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.03005768,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02512372,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.0162959,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01313304,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01225047,BRO,Daily payout based on your ALIVE stake.
masoom,0.01035803,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00866753,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00834675,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00716202,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00647325,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00550799,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00518033,BRO,Daily payout based on your ALIVE stake.
ironshield,0.0051187,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00501575,BRO,Daily payout based on your ALIVE stake.
primersion,0.00500732,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00480285,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00470069,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00436963,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00328426,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00302195,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00289357,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00266254,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00256187,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00254464,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00254046,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00251813,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00250406,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00248298,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00240349,BRO,Daily payout based on your ALIVE stake.
invest-time,0.00239567,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00216817,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00215655,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00212354,BRO,Daily payout based on your ALIVE stake.
awah,0.00210615,BRO,Daily payout based on your ALIVE stake.
daniky,0.00209962,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00197021,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00196395,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.0019284,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00177927,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00177769,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00168922,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00168841,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00164752,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00163379,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00159317,BRO,Daily payout based on your ALIVE stake.
mintfinch,0.00158968,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.00156856,BRO,Daily payout based on your ALIVE stake.
gank,0.00148041,BRO,Daily payout based on your ALIVE stake.
griega,0.00131513,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00128922,BRO,Daily payout based on your ALIVE stake.
toekins,0.0012644,BRO,Daily payout based on your ALIVE stake.
liotes.alive,0.00123348,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00117092,BRO,Daily payout based on your ALIVE stake.
kaseldz,0.00115466,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00110234,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.00107509,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00104424,BRO,Daily payout based on your ALIVE stake.
zealous4ever,0.00103767,BRO,Daily payout based on your ALIVE stake.
ilovewintergem,0.00101555,BRO,Daily payout based on your ALIVE stake.
merthin,0.00101296,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00098865,BRO,Daily payout based on your ALIVE stake.
mlrequena78,0.00094471,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00093228,BRO,Daily payout based on your ALIVE stake.
epic-fail,0.00090615,BRO,Daily payout based on your ALIVE stake.
elizabetamt,0.00089793,BRO,Daily payout based on your ALIVE stake.
myupvote2u,0.00088655,BRO,Daily payout based on your ALIVE stake.
captaincryptic,0.00087727,BRO,Daily payout based on your ALIVE stake.
chireerocks.live,0.00084723,BRO,Daily payout based on your ALIVE stake.
vickoly,0.0008452,BRO,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00083559,BRO,Daily payout based on your ALIVE stake.
johnsdowie,0.0008035,BRO,Daily payout based on your ALIVE stake.
wdougwatson,0.00080129,BRO,Daily payout based on your ALIVE stake.
mk992039,0.00077776,BRO,Daily payout based on your ALIVE stake.
mervinthepogi,0.00077517,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00076174,BRO,Daily payout based on your ALIVE stake.
tdctunes,0.0007535,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00073245,BRO,Daily payout based on your ALIVE stake.
jacoalberts,0.0007271,BRO,Daily payout based on your ALIVE stake.
noctury,0.00072705,BRO,Daily payout based on your ALIVE stake.
alzee,0.00068578,BRO,Daily payout based on your ALIVE stake.
koussbar,0.00065276,BRO,Daily payout based on your ALIVE stake.
stdd,0.00062979,BRO,Daily payout based on your ALIVE stake.
rickardoh,0.00062642,BRO,Daily payout based on your ALIVE stake.
hive.phyowinkoko,0.00061724,BRO,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00061585,BRO,Daily payout based on your ALIVE stake.
hivetrending,0.00061409,BRO,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00060209,BRO,Daily payout based on your ALIVE stake.
samsmith1971,0.00058517,BRO,Daily payout based on your ALIVE stake.
lightcaptured,0.00057091,BRO,Daily payout based on your ALIVE stake.
johnandgrace,0.00056528,BRO,Daily payout based on your ALIVE stake.
tunnelmotions,0.00055994,BRO,Daily payout based on your ALIVE stake.
rarej,0.00055829,BRO,Daily payout based on your ALIVE stake.
