account,amount,symbol,memo
flaxz.alive,0.04609242,BRO,Daily payout based on your ALIVE stake.
jlufer,0.04176926,BRO,Daily payout based on your ALIVE stake.
iamalivechalleng,0.02703743,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02486338,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02437279,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01691995,BRO,Daily payout based on your ALIVE stake.
threesteps,0.01265153,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01178001,BRO,Daily payout based on your ALIVE stake.
masoom,0.01134947,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01030441,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00892214,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00699989,BRO,Daily payout based on your ALIVE stake.
imagenius.dac,0.00658396,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00615778,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00579672,BRO,Daily payout based on your ALIVE stake.
primersion,0.00548663,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00542127,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00525551,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00477759,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00455917,BRO,Daily payout based on your ALIVE stake.
alive.chat,0.00453184,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00437581,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00359858,BRO,Daily payout based on your ALIVE stake.
aliveandthriving,0.0035637,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00319738,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00289822,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.0027584,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00275511,BRO,Daily payout based on your ALIVE stake.
invest-time,0.00274343,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00274337,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00262477,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00236243,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00229813,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00225495,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00225135,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00224174,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00215831,BRO,Daily payout based on your ALIVE stake.
daniky,0.00194624,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00193647,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00191922,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00188153,BRO,Daily payout based on your ALIVE stake.
awah,0.00170424,BRO,Daily payout based on your ALIVE stake.
gank,0.00162212,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.001591,BRO,Daily payout based on your ALIVE stake.
griega,0.00143959,BRO,Daily payout based on your ALIVE stake.
rcaine,0.0012864,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00127784,BRO,Daily payout based on your ALIVE stake.
kaseldz,0.00126518,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00126066,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00120786,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00120542,BRO,Daily payout based on your ALIVE stake.
liotes.alive,0.00116156,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00109899,BRO,Daily payout based on your ALIVE stake.
ilovewintergem,0.00109859,BRO,Daily payout based on your ALIVE stake.
mlrequena78,0.00103102,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00098641,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00094383,BRO,Daily payout based on your ALIVE stake.
chireerocks.live,0.00092833,BRO,Daily payout based on your ALIVE stake.
captaincryptic,0.00085733,BRO,Daily payout based on your ALIVE stake.
mk992039,0.0008499,BRO,Daily payout based on your ALIVE stake.
tdctunes,0.00082393,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00077753,BRO,Daily payout based on your ALIVE stake.
johnsdowie,0.0007704,BRO,Daily payout based on your ALIVE stake.
twicejoy,0.00076188,BRO,Daily payout based on your ALIVE stake.
rickardoh,0.00068638,BRO,Daily payout based on your ALIVE stake.
teknohippy,0.00067641,BRO,Daily payout based on your ALIVE stake.
hive.phyowinkoko,0.00067633,BRO,Daily payout based on your ALIVE stake.
hivetrending,0.00067282,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.0006602,BRO,Daily payout based on your ALIVE stake.
elizabetamt,0.0006601,BRO,Daily payout based on your ALIVE stake.
samsmith1971,0.00063729,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.00062928,BRO,Daily payout based on your ALIVE stake.
johnandgrace,0.00061939,BRO,Daily payout based on your ALIVE stake.
rarej,0.0006092,BRO,Daily payout based on your ALIVE stake.
dreamingirwin,0.00059714,BRO,Daily payout based on your ALIVE stake.
icon-bassey,0.00058365,BRO,Daily payout based on your ALIVE stake.
forykw,0.00057903,BRO,Daily payout based on your ALIVE stake.
andy-plays,0.00057894,BRO,Daily payout based on your ALIVE stake.
wdougwatson,0.00057021,BRO,Daily payout based on your ALIVE stake.
jacoalberts,0.0005699,BRO,Daily payout based on your ALIVE stake.
russellstockley,0.00056024,BRO,Daily payout based on your ALIVE stake.
howyf2,0.00055986,BRO,Daily payout based on your ALIVE stake.
savvyplayer,0.00055832,BRO,Daily payout based on your ALIVE stake.
pixiepost,0.00055429,BRO,Daily payout based on your ALIVE stake.
enginewitty,0.00055407,BRO,Daily payout based on your ALIVE stake.
madushanka,0.00055278,BRO,Daily payout based on your ALIVE stake.
valentin86,0.00054872,BRO,Daily payout based on your ALIVE stake.
roger.remix,0.00054866,BRO,Daily payout based on your ALIVE stake.
voltagrou,0.00053019,BRO,Daily payout based on your ALIVE stake.
alovely088,0.00049945,BRO,Daily payout based on your ALIVE stake.
merthin,0.00048319,BRO,Daily payout based on your ALIVE stake.
chocolatescorpi,0.00048217,BRO,Daily payout based on your ALIVE stake.
yousafharoonkhan,0.00048032,BRO,Daily payout based on your ALIVE stake.
captain-sam,0.00047988,BRO,Daily payout based on your ALIVE stake.
oredebby,0.00047988,BRO,Daily payout based on your ALIVE stake.
luckyali,0.00047988,BRO,Daily payout based on your ALIVE stake.
steemer-sayu907,0.00047988,BRO,Daily payout based on your ALIVE stake.
ennydee,0.00047988,BRO,Daily payout based on your ALIVE stake.
aunik,0.00047988,BRO,Daily payout based on your ALIVE stake.
hykss,0.00046751,BRO,Daily payout based on your ALIVE stake.
rbhayes,0.00045112,BRO,Daily payout based on your ALIVE stake.
lightcaptured,0.00042693,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00041345,BRO,Daily payout based on your ALIVE stake.
sabihaislam,0.00040198,BRO,Daily payout based on your ALIVE stake.
jeanlucsr,0.0003979,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00038542,BRO,Daily payout based on your ALIVE stake.
myupvote2u,0.00038404,BRO,Daily payout based on your ALIVE stake.
chireerocks,0.00037133,BRO,Daily payout based on your ALIVE stake.
adysscheryl,0.00035445,BRO,Daily payout based on your ALIVE stake.
sharkthelion,0.00033804,BRO,Daily payout based on your ALIVE stake.
bardobrujo,0.00033608,BRO,Daily payout based on your ALIVE stake.
mervinthepogi,0.0003357,BRO,Daily payout based on your ALIVE stake.
djsl82,0.00031213,BRO,Daily payout based on your ALIVE stake.
alente,0.00030857,BRO,Daily payout based on your ALIVE stake.
cooperclub,0.00030067,BRO,Daily payout based on your ALIVE stake.
onewolfe,0.00030016,BRO,Daily payout based on your ALIVE stake.
marshmellowman,0.00029825,BRO,Daily payout based on your ALIVE stake.
k-banti,0.00029307,BRO,Daily payout based on your ALIVE stake.
yhuddee111,0.0002914,BRO,Daily payout based on your ALIVE stake.
theroad2freedom,0.00028349,BRO,Daily payout based on your ALIVE stake.
tokutaro22,0.0002832,BRO,Daily payout based on your ALIVE stake.
germangenius,0.0002822,BRO,Daily payout based on your ALIVE stake.
imno,0.00027634,BRO,Daily payout based on your ALIVE stake.
meanbees,0.00027433,BRO,Daily payout based on your ALIVE stake.
generra-abraham,0.00025287,BRO,Daily payout based on your ALIVE stake.
torrey.blog,0.00025143,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00025102,BRO,Daily payout based on your ALIVE stake.
amphlux,0.00025101,BRO,Daily payout based on your ALIVE stake.
successchar,0.00024835,BRO,Daily payout based on your ALIVE stake.
bonnie30,0.00024488,BRO,Daily payout based on your ALIVE stake.
saachi.list,0.00024165,BRO,Daily payout based on your ALIVE stake.
invest4free,0.00023713,BRO,Daily payout based on your ALIVE stake.
femcy-willcy,0.00023679,BRO,Daily payout based on your ALIVE stake.
l337m45732,0.00021517,BRO,Daily payout based on your ALIVE stake.
lebah,0.00021203,BRO,Daily payout based on your ALIVE stake.
psimpson67,0.00020778,BRO,Daily payout based on your ALIVE stake.
chmoen,0.00020202,BRO,Daily payout based on your ALIVE stake.
master-lamps,0.00019614,BRO,Daily payout based on your ALIVE stake.
hivecoffee,0.00019248,BRO,Daily payout based on your ALIVE stake.
greensempire,0.00018971,BRO,Daily payout based on your ALIVE stake.
uyobong,0.00018676,BRO,Daily payout based on your ALIVE stake.
ekushya.ctp,0.00018636,BRO,Daily payout based on your ALIVE stake.
