account,amount,symbol,memo
flaxz.alive,0.04886741,BRO,Daily payout based on your ALIVE stake.
jlufer,0.0414254,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02907633,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02626856,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.0172456,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01305964,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01215991,BRO,Daily payout based on your ALIVE stake.
masoom,0.01122983,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00914947,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00824044,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00709962,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00637703,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00596756,BRO,Daily payout based on your ALIVE stake.
imagenius.dac,0.00542877,BRO,Daily payout based on your ALIVE stake.
primersion,0.00542877,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00520557,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00507879,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00492555,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00463981,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00356068,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00339629,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00324329,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00313711,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00288723,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.0028701,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00275724,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00273811,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00273002,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00271444,BRO,Daily payout based on your ALIVE stake.
invest-time,0.00259665,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00252795,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00244524,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00233844,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00233779,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00229955,BRO,Daily payout based on your ALIVE stake.
daniky,0.00215078,BRO,Daily payout based on your ALIVE stake.
