account,amount,symbol,memo
flaxz.alive,0.5658288,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.44048072,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.34655301,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.29016192,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.18830124,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.15297816,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14432102,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.11940442,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.10001497,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.09621897,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.08292313,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07489381,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.06349799,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.06300577,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.05980357,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05828745,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.05772297,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.0571504,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.05536762,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.05038574,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.03785999,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.0348362,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.03335622,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03069476,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03052851,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02933444,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02930826,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.02902831,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.0288661,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02878167,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.02829417,LOLZ,Daily payout based on your ALIVE stake.
invest-time,0.02761656,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.02505177,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02486009,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.02449175,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.02448068,LOLZ,Daily payout based on your ALIVE stake.
awah,0.0242827,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.02271206,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.02223108,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02082834,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.02049272,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.01991569,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01979472,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.01958302,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01929367,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01898897,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.01896938,LOLZ,Daily payout based on your ALIVE stake.
mintfinch,0.01832535,LOLZ,Daily payout based on your ALIVE stake.
globetrottergcc,0.01813929,LOLZ,Daily payout based on your ALIVE stake.
gank,0.01706575,LOLZ,Daily payout based on your ALIVE stake.
griega,0.01516041,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.01491313,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01461017,LOLZ,Daily payout based on your ALIVE stake.
liotes.alive,0.01436206,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.01349974,LOLZ,Daily payout based on your ALIVE stake.
kaseldz,0.01331054,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.01270746,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.0123933,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01210324,LOLZ,Daily payout based on your ALIVE stake.
zealous4ever,0.01206186,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.01170875,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01168054,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01149432,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.01129795,LOLZ,Daily payout based on your ALIVE stake.
mlrequena78,0.01089031,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01074825,LOLZ,Daily payout based on your ALIVE stake.
elizabetamt,0.01064941,LOLZ,Daily payout based on your ALIVE stake.
epic-fail,0.01044581,LOLZ,Daily payout based on your ALIVE stake.
laruche,0.01027011,LOLZ,Daily payout based on your ALIVE stake.
myupvote2u,0.0102199,LOLZ,Daily payout based on your ALIVE stake.
captaincryptic,0.0101129,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00982674,LOLZ,Daily payout based on your ALIVE stake.
chireerocks.live,0.00976663,LOLZ,Daily payout based on your ALIVE stake.
vickoly,0.00974436,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.00970065,LOLZ,Daily payout based on your ALIVE stake.
johnsdowie,0.00926257,LOLZ,Daily payout based on your ALIVE stake.
wdougwatson,0.00923699,LOLZ,Daily payout based on your ALIVE stake.
mervinthepogi,0.00916358,LOLZ,Daily payout based on your ALIVE stake.
mk992039,0.00896635,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.00884916,LOLZ,Daily payout based on your ALIVE stake.
tdctunes,0.00865844,LOLZ,Daily payout based on your ALIVE stake.
jacoalberts,0.0083885,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.00794898,LOLZ,Daily payout based on your ALIVE stake.
koussbar,0.0075978,LOLZ,Daily payout based on your ALIVE stake.
stdd,0.00744537,LOLZ,Daily payout based on your ALIVE stake.
rickardoh,0.00722122,LOLZ,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00709935,LOLZ,Daily payout based on your ALIVE stake.
hivetrending,0.00707908,LOLZ,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00694074,LOLZ,Daily payout based on your ALIVE stake.
samsmith1971,0.00674573,LOLZ,Daily payout based on your ALIVE stake.
lightcaptured,0.00662697,LOLZ,Daily payout based on your ALIVE stake.
johnandgrace,0.00651643,LOLZ,Daily payout based on your ALIVE stake.
tunnelmotions,0.0064548,LOLZ,Daily payout based on your ALIVE stake.
rarej,0.00643581,LOLZ,Daily payout based on your ALIVE stake.
chuiiiiiiii,0.00635631,LOLZ,Daily payout based on your ALIVE stake.
assassyn,0.00631489,LOLZ,Daily payout based on your ALIVE stake.
dreamingirwin,0.00629553,LOLZ,Daily payout based on your ALIVE stake.
andy-plays,0.00628042,LOLZ,Daily payout based on your ALIVE stake.
icon-bassey,0.00615363,LOLZ,Daily payout based on your ALIVE stake.
forykw,0.00609178,LOLZ,Daily payout based on your ALIVE stake.
savvyplayer,0.00592428,LOLZ,Daily payout based on your ALIVE stake.
russellstockley,0.00591954,LOLZ,Daily payout based on your ALIVE stake.
tydynrain,0.00591874,LOLZ,Daily payout based on your ALIVE stake.
howyf2,0.0058901,LOLZ,Daily payout based on your ALIVE stake.
badpupper,0.00585713,LOLZ,Daily payout based on your ALIVE stake.
pixiepost,0.00585107,LOLZ,Daily payout based on your ALIVE stake.
hankanon,0.00584622,LOLZ,Daily payout based on your ALIVE stake.
beststart,0.00584231,LOLZ,Daily payout based on your ALIVE stake.
madushanka,0.00583868,LOLZ,Daily payout based on your ALIVE stake.
pinkhub,0.00583409,LOLZ,Daily payout based on your ALIVE stake.
ianmcg,0.00582686,LOLZ,Daily payout based on your ALIVE stake.
criptosectadepit,0.00581935,LOLZ,Daily payout based on your ALIVE stake.
sabajfa,0.0057925,LOLZ,Daily payout based on your ALIVE stake.
alex2alex,0.005792,LOLZ,Daily payout based on your ALIVE stake.
floki-skarsgaard,0.00578472,LOLZ,Daily payout based on your ALIVE stake.
vokus,0.00577298,LOLZ,Daily payout based on your ALIVE stake.
voltagrou,0.00577287,LOLZ,Daily payout based on your ALIVE stake.
amedhya,0.00577247,LOLZ,Daily payout based on your ALIVE stake.
smallboost,0.0057723,LOLZ,Daily payout based on your ALIVE stake.
imagenius.dac,0.0057723,LOLZ,Daily payout based on your ALIVE stake.
iviaxpow3r,0.0057723,LOLZ,Daily payout based on your ALIVE stake.
celf.support,0.0057723,LOLZ,Daily payout based on your ALIVE stake.
adysscheryl,0.00565675,LOLZ,Daily payout based on your ALIVE stake.
voltz-blag,0.00546249,LOLZ,Daily payout based on your ALIVE stake.
melinda010100,0.00541838,LOLZ,Daily payout based on your ALIVE stake.
alovely088,0.00535673,LOLZ,Daily payout based on your ALIVE stake.
chocolatescorpi,0.00507966,LOLZ,Daily payout based on your ALIVE stake.
bardobrujo,0.00507945,LOLZ,Daily payout based on your ALIVE stake.
yousafharoonkhan,0.00505327,LOLZ,Daily payout based on your ALIVE stake.
luckyali,0.00504865,LOLZ,Daily payout based on your ALIVE stake.
oredebby,0.00504865,LOLZ,Daily payout based on your ALIVE stake.
aunik,0.00504865,LOLZ,Daily payout based on your ALIVE stake.
steemer-sayu907,0.00504865,LOLZ,Daily payout based on your ALIVE stake.
captain-sam,0.00504865,LOLZ,Daily payout based on your ALIVE stake.
ennydee,0.00504865,LOLZ,Daily payout based on your ALIVE stake.
ekushya,0.00503438,LOLZ,Daily payout based on your ALIVE stake.
hykss,0.00491849,LOLZ,Daily payout based on your ALIVE stake.
engilhramn,0.00481484,LOLZ,Daily payout based on your ALIVE stake.
rbhayes,0.00474606,LOLZ,Daily payout based on your ALIVE stake.
bambukah,0.00448779,LOLZ,Daily payout based on your ALIVE stake.
pinkalicious,0.00442903,LOLZ,Daily payout based on your ALIVE stake.
old-man-chu58,0.00434634,LOLZ,Daily payout based on your ALIVE stake.
sabihaislam,0.00423431,LOLZ,Daily payout based on your ALIVE stake.
jeanlucsr,0.00418849,LOLZ,Daily payout based on your ALIVE stake.
onewolfe,0.00412319,LOLZ,Daily payout based on your ALIVE stake.
stevermac1966,0.00402314,LOLZ,Daily payout based on your ALIVE stake.
chireerocks,0.00390663,LOLZ,Daily payout based on your ALIVE stake.
femcy-willcy,0.00376163,LOLZ,Daily payout based on your ALIVE stake.
alente,0.00375692,LOLZ,Daily payout based on your ALIVE stake.
cryptohaytham,0.00374599,LOLZ,Daily payout based on your ALIVE stake.
sharkthelion,0.00355639,LOLZ,Daily payout based on your ALIVE stake.
ahmadmanga,0.00346338,LOLZ,Daily payout based on your ALIVE stake.
tengolotodo,0.00345508,LOLZ,Daily payout based on your ALIVE stake.
dailygiveaways,0.00343272,LOLZ,Daily payout based on your ALIVE stake.
supriya.gupta1,0.00325762,LOLZ,Daily payout based on your ALIVE stake.
dkid14,0.00323846,LOLZ,Daily payout based on your ALIVE stake.
jfang003,0.00322765,LOLZ,Daily payout based on your ALIVE stake.
cooperclub,0.00318703,LOLZ,Daily payout based on your ALIVE stake.
marshmellowman,0.00313779,LOLZ,Daily payout based on your ALIVE stake.
yhuddee111,0.0030865,LOLZ,Daily payout based on your ALIVE stake.
k-banti,0.00308324,LOLZ,Daily payout based on your ALIVE stake.
tokutaro22,0.00303515,LOLZ,Daily payout based on your ALIVE stake.
imno,0.00303471,LOLZ,Daily payout based on your ALIVE stake.
theroad2freedom,0.00301082,LOLZ,Daily payout based on your ALIVE stake.
agog,0.00300742,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.00300271,LOLZ,Daily payout based on your ALIVE stake.
