account,amount,symbol,memo
flaxz.alive,0.5739167,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.45138418,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.33905438,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.296194,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.19196953,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.15334327,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14182825,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.12236106,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.10155689,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.0986015,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.08352822,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07578079,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.06506261,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.05999142,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.05915228,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05872936,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.05771473,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.05673624,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.05551103,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.05142573,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.03879746,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.0356988,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.03418217,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03145303,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03026086,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.03005962,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02997956,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.0297471,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02958087,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02919063,LOLZ,Daily payout based on your ALIVE stake.
invest-time,0.02830039,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.02808513,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.02557337,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02547508,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.02508154,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02487623,LOLZ,Daily payout based on your ALIVE stake.
daniky,0.02480317,LOLZ,Daily payout based on your ALIVE stake.
