account,amount,symbol,memo
flaxz.alive,0.5999199,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.47185152,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.34755964,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.3043212,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.19863958,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.15483758,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14134936,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.12791202,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.10506308,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.09747207,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.08386758,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07266274,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.06798699,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.06183575,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05934738,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.05930577,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.05792852,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.05307755,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.04393989,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.04055753,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.03731829,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.03573286,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.03526178,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03283998,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.0314171,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.03124808,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.03109597,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.03091911,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03029632,LOLZ,Daily payout based on your ALIVE stake.
invest-time,0.02958239,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02934855,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.02673038,LOLZ,Daily payout based on your ALIVE stake.
