account,amount,symbol,memo
trentonlundy1,0.00040394,PGM,Daily payout based on your ALIVE stake.
points-fr,0.00040359,PGM,Daily payout based on your ALIVE stake.
tengolotodo,0.00040288,PGM,Daily payout based on your ALIVE stake.
alinalazareva,0.00039195,PGM,Daily payout based on your ALIVE stake.
pagane,0.00038282,PGM,Daily payout based on your ALIVE stake.
thehive,0.00037918,PGM,Daily payout based on your ALIVE stake.
ayesha-malik,0.00037738,PGM,Daily payout based on your ALIVE stake.
marvinix,0.00037234,PGM,Daily payout based on your ALIVE stake.
farmboy-boss,0.00034632,PGM,Daily payout based on your ALIVE stake.
markhodge,0.0003434,PGM,Daily payout based on your ALIVE stake.
dragokazo,0.00033847,PGM,Daily payout based on your ALIVE stake.
urkanon,0.00033694,PGM,Daily payout based on your ALIVE stake.
akumagai,0.00033519,PGM,Daily payout based on your ALIVE stake.
vaynard86,0.00033409,PGM,Daily payout based on your ALIVE stake.
potta,0.00033089,PGM,Daily payout based on your ALIVE stake.
hive-199275,0.00032968,PGM,Daily payout based on your ALIVE stake.
plint,0.00032647,PGM,Daily payout based on your ALIVE stake.
xplosive,0.00032576,PGM,Daily payout based on your ALIVE stake.
sandraa1,0.00032358,PGM,Daily payout based on your ALIVE stake.
barski,0.00031806,PGM,Daily payout based on your ALIVE stake.
nastyforce,0.00031257,PGM,Daily payout based on your ALIVE stake.
braaiboy,0.00031238,PGM,Daily payout based on your ALIVE stake.
hariton,0.00031199,PGM,Daily payout based on your ALIVE stake.
lolz.devs,0.00030927,PGM,Daily payout based on your ALIVE stake.
sinistry,0.0003077,PGM,Daily payout based on your ALIVE stake.
hiveboost,0.00030741,PGM,Daily payout based on your ALIVE stake.
chatsunny,0.00030371,PGM,Daily payout based on your ALIVE stake.
kcgm,0.00029933,PGM,Daily payout based on your ALIVE stake.
jesustiano,0.00029876,PGM,Daily payout based on your ALIVE stake.
bilpcoinbpc,0.00029586,PGM,Daily payout based on your ALIVE stake.
mariya36,0.00029347,PGM,Daily payout based on your ALIVE stake.
erhan92,0.00028999,PGM,Daily payout based on your ALIVE stake.
dstampede,0.00028564,PGM,Daily payout based on your ALIVE stake.
birdbeaksd,0.00028323,PGM,Daily payout based on your ALIVE stake.
bananofarmer,0.00028179,PGM,Daily payout based on your ALIVE stake.
neoxian,0.00028045,PGM,Daily payout based on your ALIVE stake.
atomcollector,0.00027695,PGM,Daily payout based on your ALIVE stake.
jurusakhir,0.00026737,PGM,Daily payout based on your ALIVE stake.
petertag,0.00026509,PGM,Daily payout based on your ALIVE stake.
captainspaulding,0.00026369,PGM,Daily payout based on your ALIVE stake.
tanjakolader,0.00025888,PGM,Daily payout based on your ALIVE stake.
luba555,0.00025752,PGM,Daily payout based on your ALIVE stake.
lv99-rd-chocobo,0.0002538,PGM,Daily payout based on your ALIVE stake.
pregosauce,0.00025183,PGM,Daily payout based on your ALIVE stake.
projectmamabg,0.00025061,PGM,Daily payout based on your ALIVE stake.
mspbro,0.00024048,PGM,Daily payout based on your ALIVE stake.
achim03,0.00024021,PGM,Daily payout based on your ALIVE stake.
adityajainxds,0.00023459,PGM,Daily payout based on your ALIVE stake.
thisismylife,0.00023385,PGM,Daily payout based on your ALIVE stake.
cuddlekitten,0.00021943,PGM,Daily payout based on your ALIVE stake.
kevinnag58,0.00021728,PGM,Daily payout based on your ALIVE stake.
untzuntzuntz,0.00021641,PGM,Daily payout based on your ALIVE stake.
hivebuzz,0.00021475,PGM,Daily payout based on your ALIVE stake.
shinyobjects,0.00021315,PGM,Daily payout based on your ALIVE stake.
brutalmonkey,0.00020673,PGM,Daily payout based on your ALIVE stake.
cliffagreen,0.0002016,PGM,Daily payout based on your ALIVE stake.
dubble,0.00019926,PGM,Daily payout based on your ALIVE stake.
hucksbucks,0.00019636,PGM,Daily payout based on your ALIVE stake.
lolzbot,0.00019396,PGM,Daily payout based on your ALIVE stake.
bilpcoin,0.00017944,PGM,Daily payout based on your ALIVE stake.
lolz.oneup,0.00017393,PGM,Daily payout based on your ALIVE stake.
gratitudemine,0.00016855,PGM,Daily payout based on your ALIVE stake.
trashyomen,0.00016654,PGM,Daily payout based on your ALIVE stake.
beeminer,0.00015711,PGM,Daily payout based on your ALIVE stake.
darkflame,0.00015478,PGM,Daily payout based on your ALIVE stake.
whywhy,0.000152,PGM,Daily payout based on your ALIVE stake.
assasinos3,0.00015117,PGM,Daily payout based on your ALIVE stake.
krakonos,0.00014559,PGM,Daily payout based on your ALIVE stake.
hive-103505,0.0001432,PGM,Daily payout based on your ALIVE stake.
ifarmgirl,0.00014253,PGM,Daily payout based on your ALIVE stake.
dmhafiz,0.00014181,PGM,Daily payout based on your ALIVE stake.
newairdrop,0.00014118,PGM,Daily payout based on your ALIVE stake.
mauriciolimax,0.0001365,PGM,Daily payout based on your ALIVE stake.
mawit07,0.00013624,PGM,Daily payout based on your ALIVE stake.
playbyhive,0.00013569,PGM,Daily payout based on your ALIVE stake.
antisocialist,0.00013492,PGM,Daily payout based on your ALIVE stake.
quinnertronics,0.00013054,PGM,Daily payout based on your ALIVE stake.
otuyanancy,0.00013024,PGM,Daily payout based on your ALIVE stake.
amakauz,0.00012966,PGM,Daily payout based on your ALIVE stake.
generikat,0.00012792,PGM,Daily payout based on your ALIVE stake.
farhansadik2,0.00012734,PGM,Daily payout based on your ALIVE stake.
priyanarc,0.00012503,PGM,Daily payout based on your ALIVE stake.
kizunasport,0.00012081,PGM,Daily payout based on your ALIVE stake.
sergey44,0.0001175,PGM,Daily payout based on your ALIVE stake.
jsynnthagr8,0.00011608,PGM,Daily payout based on your ALIVE stake.
fredfettmeister,0.00011577,PGM,Daily payout based on your ALIVE stake.
fragozar01,0.00011403,PGM,Daily payout based on your ALIVE stake.
elikast,0.00011245,PGM,Daily payout based on your ALIVE stake.
ninjamike,0.0001122,PGM,Daily payout based on your ALIVE stake.
amaari,0.00011124,PGM,Daily payout based on your ALIVE stake.
eunice9200,0.00011055,PGM,Daily payout based on your ALIVE stake.
zirochka,0.00010932,PGM,Daily payout based on your ALIVE stake.
supriya.gupta,0.00010882,PGM,Daily payout based on your ALIVE stake.
williamtboy,0.00010824,PGM,Daily payout based on your ALIVE stake.
kehrwoche,0.00010679,PGM,Daily payout based on your ALIVE stake.
mehmetfix,0.00010419,PGM,Daily payout based on your ALIVE stake.
r1s2g3,0.00010361,PGM,Daily payout based on your ALIVE stake.
dajokawild,0.00010349,PGM,Daily payout based on your ALIVE stake.
andyplays,9.97e-05,PGM,Daily payout based on your ALIVE stake.
rzc24-nftbbg,9.918e-05,PGM,Daily payout based on your ALIVE stake.
penyaircyber,9.9e-05,PGM,Daily payout based on your ALIVE stake.
soulsdetour,9.898e-05,PGM,Daily payout based on your ALIVE stake.
stewie.wieno,9.869e-05,PGM,Daily payout based on your ALIVE stake.
amaillo,9.867e-05,PGM,Daily payout based on your ALIVE stake.
darmstrong,9.766e-05,PGM,Daily payout based on your ALIVE stake.
