account,amount,symbol,memo
flaxz.alive,0.52224574,PGM,Daily payout based on your ALIVE stake.
jlufer,0.4623342,PGM,Daily payout based on your ALIVE stake.
iamalivechalleng,0.30738914,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.29691208,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.28408215,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.18988613,PGM,Daily payout based on your ALIVE stake.
threesteps,0.14001088,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.1377627,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.12881613,PGM,Daily payout based on your ALIVE stake.
masoom,0.1256019,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.10044463,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.08402959,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.07363682,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.06651913,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06366246,PGM,Daily payout based on your ALIVE stake.
primersion,0.06071898,PGM,Daily payout based on your ALIVE stake.
imagenius.dac,0.06071898,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05819887,PGM,Daily payout based on your ALIVE stake.
edgerik,0.05669441,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05165145,PGM,Daily payout based on your ALIVE stake.
alive.chat,0.05153108,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.05109419,PGM,Daily payout based on your ALIVE stake.
aliveandthriving,0.04159948,PGM,Daily payout based on your ALIVE stake.
d00k13,0.03982505,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.03538444,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.03508752,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03209077,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.03053315,PGM,Daily payout based on your ALIVE stake.
flaxz,0.03052586,PGM,Daily payout based on your ALIVE stake.
invest-time,0.03036131,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.0303601,PGM,Daily payout based on your ALIVE stake.
ironshield,0.02978902,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02906639,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.02835525,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02614555,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02594001,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02578719,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02437949,PGM,Daily payout based on your ALIVE stake.
raishmi,0.02388785,PGM,Daily payout based on your ALIVE stake.
daniky,0.02255986,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.02155272,PGM,Daily payout based on your ALIVE stake.
awah,0.02061115,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01801564,PGM,Daily payout based on your ALIVE stake.
gank,0.01795152,PGM,Daily payout based on your ALIVE stake.
magicalive,0.01715165,PGM,Daily payout based on your ALIVE stake.
chapelle,0.01671556,PGM,Daily payout based on your ALIVE stake.
griega,0.01593696,PGM,Daily payout based on your ALIVE stake.
rcaine,0.01584668,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.01466154,PGM,Daily payout based on your ALIVE stake.
guurry123,0.01416581,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.0140014,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.01336702,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.01331397,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01326254,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.01303593,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01216865,PGM,Daily payout based on your ALIVE stake.
ilovewintergem,0.01215777,PGM,Daily payout based on your ALIVE stake.
valentin86,0.01214643,PGM,Daily payout based on your ALIVE stake.
mlrequena78,0.01143794,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.01036658,PGM,Daily payout based on your ALIVE stake.
chireerocks.live,0.01027355,PGM,Daily payout based on your ALIVE stake.
twicejoy,0.01015254,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.00948784,PGM,Daily payout based on your ALIVE stake.
mk992039,0.0094129,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.00918862,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00915645,PGM,Daily payout based on your ALIVE stake.
tdctunes,0.00912545,PGM,Daily payout based on your ALIVE stake.
johnsdowie,0.00885073,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00880426,PGM,Daily payout based on your ALIVE stake.
elizabetamt,0.00782662,PGM,Daily payout based on your ALIVE stake.
rickardoh,0.00759602,PGM,Daily payout based on your ALIVE stake.
hive.phyowinkoko,0.00748472,PGM,Daily payout based on your ALIVE stake.
hivetrending,0.0074459,PGM,Daily payout based on your ALIVE stake.
jacoalberts,0.00741211,PGM,Daily payout based on your ALIVE stake.
manuvert,0.00732628,PGM,Daily payout based on your ALIVE stake.
vickoly,0.00730027,PGM,Daily payout based on your ALIVE stake.
merthin,0.00715168,PGM,Daily payout based on your ALIVE stake.
samsmith1971,0.00705881,PGM,Daily payout based on your ALIVE stake.
johnandgrace,0.00685466,PGM,Daily payout based on your ALIVE stake.
rarej,0.00676864,PGM,Daily payout based on your ALIVE stake.
pinkhub,0.00665014,PGM,Daily payout based on your ALIVE stake.
dreamingirwin,0.00660833,PGM,Daily payout based on your ALIVE stake.
andy-plays,0.00652257,PGM,Daily payout based on your ALIVE stake.
icon-bassey,0.00646452,PGM,Daily payout based on your ALIVE stake.
forykw,0.00640797,PGM,Daily payout based on your ALIVE stake.
tunnelmotions,0.00635781,PGM,Daily payout based on your ALIVE stake.
wdougwatson,0.0063103,PGM,Daily payout based on your ALIVE stake.
myupvote2u,0.0062399,PGM,Daily payout based on your ALIVE stake.
lightcaptured,0.00622869,PGM,Daily payout based on your ALIVE stake.
russellstockley,0.00620067,PGM,Daily payout based on your ALIVE stake.
howyf2,0.00619581,PGM,Daily payout based on your ALIVE stake.
savvyplayer,0.00618726,PGM,Daily payout based on your ALIVE stake.
badpupper,0.00616113,PGM,Daily payout based on your ALIVE stake.
pixiepost,0.00613897,PGM,Daily payout based on your ALIVE stake.
enginewitty,0.00613845,PGM,Daily payout based on your ALIVE stake.
madushanka,0.00612594,PGM,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00607824,PGM,Daily payout based on your ALIVE stake.
roger.remix,0.0060719,PGM,Daily payout based on your ALIVE stake.
alovely088,0.00554611,PGM,Daily payout based on your ALIVE stake.
chocolatescorpi,0.00533906,PGM,Daily payout based on your ALIVE stake.
yousafharoonkhan,0.00531555,PGM,Daily payout based on your ALIVE stake.
oredebby,0.00531069,PGM,Daily payout based on your ALIVE stake.
steemer-sayu907,0.00531069,PGM,Daily payout based on your ALIVE stake.
captain-sam,0.00531069,PGM,Daily payout based on your ALIVE stake.
ennydee,0.00531069,PGM,Daily payout based on your ALIVE stake.
luckyali,0.00531069,PGM,Daily payout based on your ALIVE stake.
aunik,0.00531069,PGM,Daily payout based on your ALIVE stake.
hykss,0.00517377,PGM,Daily payout based on your ALIVE stake.
rbhayes,0.00499239,PGM,Daily payout based on your ALIVE stake.
iviaxpow3r,0.00457275,PGM,Daily payout based on your ALIVE stake.
sabihaislam,0.00445166,PGM,Daily payout based on your ALIVE stake.
jeanlucsr,0.00440588,PGM,Daily payout based on your ALIVE stake.
bardobrujo,0.00417501,PGM,Daily payout based on your ALIVE stake.
chireerocks,0.0041094,PGM,Daily payout based on your ALIVE stake.
adysscheryl,0.00392257,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.00378024,PGM,Daily payout based on your ALIVE stake.
sharkthelion,0.00374098,PGM,Daily payout based on your ALIVE stake.
mervinthepogi,0.00371972,PGM,Daily payout based on your ALIVE stake.
onewolfe,0.00371055,PGM,Daily payout based on your ALIVE stake.
alente,0.00354543,PGM,Daily payout based on your ALIVE stake.
cooperclub,0.0033274,PGM,Daily payout based on your ALIVE stake.
femcy-willcy,0.00331802,PGM,Daily payout based on your ALIVE stake.
marshmellowman,0.00330065,PGM,Daily payout based on your ALIVE stake.
k-banti,0.00324327,PGM,Daily payout based on your ALIVE stake.
yhuddee111,0.00323456,PGM,Daily payout based on your ALIVE stake.
theroad2freedom,0.00316293,PGM,Daily payout based on your ALIVE stake.
tokutaro22,0.00315929,PGM,Daily payout based on your ALIVE stake.
tydynrain,0.00313073,PGM,Daily payout based on your ALIVE stake.
germangenius,0.00312368,PGM,Daily payout based on your ALIVE stake.
imno,0.00305818,PGM,Daily payout based on your ALIVE stake.
meanbees,0.00303595,PGM,Daily payout based on your ALIVE stake.
cryptohaytham,0.00294929,PGM,Daily payout based on your ALIVE stake.
floki-skarsgaard,0.00283351,PGM,Daily payout based on your ALIVE stake.
generra-abraham,0.0027984,PGM,Daily payout based on your ALIVE stake.
torrey.blog,0.00278247,PGM,Daily payout based on your ALIVE stake.
amphlux,0.00277785,PGM,Daily payout based on your ALIVE stake.
successchar,0.00275021,PGM,Daily payout based on your ALIVE stake.
bonnie30,0.00270999,PGM,Daily payout based on your ALIVE stake.
invest4free,0.00268797,PGM,Daily payout based on your ALIVE stake.
saachi.list,0.00267423,PGM,Daily payout based on your ALIVE stake.
epic-fail,0.00265336,PGM,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00263355,PGM,Daily payout based on your ALIVE stake.
l337m45732,0.00238302,PGM,Daily payout based on your ALIVE stake.
lebah,0.00234652,PGM,Daily payout based on your ALIVE stake.
nuthman,0.00232899,PGM,Daily payout based on your ALIVE stake.
psimpson67,0.00229942,PGM,Daily payout based on your ALIVE stake.
supriya.gupta1,0.00229326,PGM,Daily payout based on your ALIVE stake.
chmoen,0.00223573,PGM,Daily payout based on your ALIVE stake.
master-lamps,0.00219873,PGM,Daily payout based on your ALIVE stake.
hivecoffee,0.00213016,PGM,Daily payout based on your ALIVE stake.
ericburgoyne,0.00210237,PGM,Daily payout based on your ALIVE stake.
greensempire,0.00210011,PGM,Daily payout based on your ALIVE stake.
uyobong,0.00206687,PGM,Daily payout based on your ALIVE stake.
ekushya.ctp,0.00206237,PGM,Daily payout based on your ALIVE stake.
aslehansen,0.00201223,PGM,Daily payout based on your ALIVE stake.
learningenglish,0.0019664,PGM,Daily payout based on your ALIVE stake.
makerhacks,0.00194204,PGM,Daily payout based on your ALIVE stake.
ekushya,0.00182658,PGM,Daily payout based on your ALIVE stake.
elbrava,0.0018214,PGM,Daily payout based on your ALIVE stake.
gadrian,0.00180793,PGM,Daily payout based on your ALIVE stake.
nathanmars,0.00180269,PGM,Daily payout based on your ALIVE stake.
scottrohn,0.00178097,PGM,Daily payout based on your ALIVE stake.
assassyn,0.00177457,PGM,Daily payout based on your ALIVE stake.
bigtakosensei,0.00177205,PGM,Daily payout based on your ALIVE stake.
tomlee,0.00177084,PGM,Daily payout based on your ALIVE stake.
starstrings01,0.00177084,PGM,Daily payout based on your ALIVE stake.
bonnierroberts,0.00177023,PGM,Daily payout based on your ALIVE stake.
mamasez,0.00177023,PGM,Daily payout based on your ALIVE stake.
jfang003,0.00176707,PGM,Daily payout based on your ALIVE stake.
juanmiguelsalas,0.00167355,PGM,Daily payout based on your ALIVE stake.
cryptospa,0.00161412,PGM,Daily payout based on your ALIVE stake.
amberkashif,0.00160207,PGM,Daily payout based on your ALIVE stake.
definethedollar,0.00151918,PGM,Daily payout based on your ALIVE stake.
rosmadirazali,0.0014545,PGM,Daily payout based on your ALIVE stake.
elricmoonslayer,0.00143374,PGM,Daily payout based on your ALIVE stake.
reeta0119,0.00140022,PGM,Daily payout based on your ALIVE stake.
hiroshige,0.00138468,PGM,Daily payout based on your ALIVE stake.
servelle,0.00135766,PGM,Daily payout based on your ALIVE stake.
jishan5,0.00135463,PGM,Daily payout based on your ALIVE stake.
gidien,0.00130379,PGM,Daily payout based on your ALIVE stake.
biglove,0.00125872,PGM,Daily payout based on your ALIVE stake.
cookaiss,0.00124164,PGM,Daily payout based on your ALIVE stake.
matthew1,0.00123685,PGM,Daily payout based on your ALIVE stake.
heruvim1978,0.00122909,PGM,Daily payout based on your ALIVE stake.
zottone444,0.00122085,PGM,Daily payout based on your ALIVE stake.
syllem,0.00121589,PGM,Daily payout based on your ALIVE stake.
mushanov,0.00121559,PGM,Daily payout based on your ALIVE stake.
leemah1,0.00119656,PGM,Daily payout based on your ALIVE stake.
sanelica81,0.00119211,PGM,Daily payout based on your ALIVE stake.
solymi,0.00117731,PGM,Daily payout based on your ALIVE stake.
bructp,0.00117209,PGM,Daily payout based on your ALIVE stake.
dadspardan,0.00116543,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.0011598,PGM,Daily payout based on your ALIVE stake.
lifeskills-tv,0.00115803,PGM,Daily payout based on your ALIVE stake.
