account,amount,symbol,memo
flaxz.alive,0.53717546,PGM,Daily payout based on your ALIVE stake.
jlufer,0.49263414,PGM,Daily payout based on your ALIVE stake.
iamalivechalleng,0.31628595,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.29028194,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.28098587,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.19859397,PGM,Daily payout based on your ALIVE stake.
threesteps,0.1492217,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.13648659,PGM,Daily payout based on your ALIVE stake.
masoom,0.13386157,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.12151355,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.10467564,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.08128597,PGM,Daily payout based on your ALIVE stake.
imagenius.dac,0.07765616,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.07106171,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.06836572,PGM,Daily payout based on your ALIVE stake.
primersion,0.06471346,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06264051,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.06197321,PGM,Daily payout based on your ALIVE stake.
edgerik,0.05632263,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.05345367,PGM,Daily payout based on your ALIVE stake.
alive.chat,0.0526446,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05012088,PGM,Daily payout based on your ALIVE stake.
d00k13,0.04244241,PGM,Daily payout based on your ALIVE stake.
aliveandthriving,0.04155965,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.03771226,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03417215,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.03253405,PGM,Daily payout based on your ALIVE stake.
flaxz,0.03247904,PGM,Daily payout based on your ALIVE stake.
invest-time,0.03235867,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.03235673,PGM,Daily payout based on your ALIVE stake.
ddn688,0.0309475,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02786428,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02666817,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02655407,PGM,Daily payout based on your ALIVE stake.
raishmi,0.02545482,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.02532658,PGM,Daily payout based on your ALIVE stake.
ironshield,0.02302126,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02284014,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.02254776,PGM,Daily payout based on your ALIVE stake.
daniky,0.02227861,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02219029,PGM,Daily payout based on your ALIVE stake.
awah,0.01948346,PGM,Daily payout based on your ALIVE stake.
gank,0.01913249,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01864258,PGM,Daily payout based on your ALIVE stake.
griega,0.01697569,PGM,Daily payout based on your ALIVE stake.
