account,amount,symbol,memo
flaxz.alive,0.56219047,PGM,Daily payout based on your ALIVE stake.
jlufer,0.44215941,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.34786839,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.29126291,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.18872823,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.15289542,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14177899,PGM,Daily payout based on your ALIVE stake.
masoom,0.11985963,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.10039626,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.09658579,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.08309429,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07517701,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06373717,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.06054113,PGM,Daily payout based on your ALIVE stake.
ironshield,0.05928175,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05850966,PGM,Daily payout based on your ALIVE stake.
primersion,0.05794303,PGM,Daily payout based on your ALIVE stake.
edgerik,0.05735553,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05557696,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.05056971,PGM,Daily payout based on your ALIVE stake.
d00k13,0.03800433,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.03496901,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.03348339,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03081004,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.0306449,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02944569,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02940782,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02913897,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02897615,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.0288914,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.02797384,PGM,Daily payout based on your ALIVE stake.
invest-time,0.02772184,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02509148,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02495487,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02457285,PGM,Daily payout based on your ALIVE stake.
awah,0.02437354,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02292216,PGM,Daily payout based on your ALIVE stake.
raishmi,0.02279865,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.02231525,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02071076,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.02057085,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01982718,PGM,Daily payout based on your ALIVE stake.
manuvert,0.01969107,PGM,Daily payout based on your ALIVE stake.
magicalive,0.01959261,PGM,Daily payout based on your ALIVE stake.
holovision.cash,0.01933456,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01906021,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.01902547,PGM,Daily payout based on your ALIVE stake.
mintfinch,0.01839521,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01816606,PGM,Daily payout based on your ALIVE stake.
gank,0.01713082,PGM,Daily payout based on your ALIVE stake.
griega,0.0152182,PGM,Daily payout based on your ALIVE stake.
hoosie,0.01493728,PGM,Daily payout based on your ALIVE stake.
toekins,0.0146578,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.01427345,PGM,Daily payout based on your ALIVE stake.
guurry123,0.01354947,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.01336129,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.01275591,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.01244055,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01212101,PGM,Daily payout based on your ALIVE stake.
zealous4ever,0.0121061,PGM,Daily payout based on your ALIVE stake.
ilovewintergem,0.01175222,PGM,Daily payout based on your ALIVE stake.
merthin,0.01172333,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.01144761,PGM,Daily payout based on your ALIVE stake.
mlrequena78,0.01093183,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01078923,PGM,Daily payout based on your ALIVE stake.
epic-fail,0.01048563,PGM,Daily payout based on your ALIVE stake.
elizabetamt,0.01041779,PGM,Daily payout based on your ALIVE stake.
laruche,0.01030927,PGM,Daily payout based on your ALIVE stake.
myupvote2u,0.01025886,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.01015145,PGM,Daily payout based on your ALIVE stake.
chireerocks.live,0.00980386,PGM,Daily payout based on your ALIVE stake.
vickoly,0.00978093,PGM,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00967166,PGM,Daily payout based on your ALIVE stake.
johnsdowie,0.00929788,PGM,Daily payout based on your ALIVE stake.
wdougwatson,0.00927221,PGM,Daily payout based on your ALIVE stake.
misterc,0.00926419,PGM,Daily payout based on your ALIVE stake.
mervinthepogi,0.00919793,PGM,Daily payout based on your ALIVE stake.
mk992039,0.00900053,PGM,Daily payout based on your ALIVE stake.
noctury,0.00873974,PGM,Daily payout based on your ALIVE stake.
tdctunes,0.00869145,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.00864013,PGM,Daily payout based on your ALIVE stake.
jacoalberts,0.00841932,PGM,Daily payout based on your ALIVE stake.
alzee,0.00797813,PGM,Daily payout based on your ALIVE stake.
koussbar,0.00756342,PGM,Daily payout based on your ALIVE stake.
stdd,0.00734821,PGM,Daily payout based on your ALIVE stake.
rickardoh,0.00724875,PGM,Daily payout based on your ALIVE stake.
hive.phyowinkoko,0.00714253,PGM,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00712641,PGM,Daily payout based on your ALIVE stake.
hivetrending,0.00710607,PGM,Daily payout based on your ALIVE stake.
rachaeldwatson,0.0069672,PGM,Daily payout based on your ALIVE stake.
samsmith1971,0.00677144,PGM,Daily payout based on your ALIVE stake.
lightcaptured,0.00662014,PGM,Daily payout based on your ALIVE stake.
johnandgrace,0.00654128,PGM,Daily payout based on your ALIVE stake.
tunnelmotions,0.00647941,PGM,Daily payout based on your ALIVE stake.
rarej,0.00646035,PGM,Daily payout based on your ALIVE stake.
chuiiiiiiii,0.00638055,PGM,Daily payout based on your ALIVE stake.
dreamingirwin,0.00631953,PGM,Daily payout based on your ALIVE stake.
andy-plays,0.00630436,PGM,Daily payout based on your ALIVE stake.
assassyn,0.00627146,PGM,Daily payout based on your ALIVE stake.
icon-bassey,0.00617709,PGM,Daily payout based on your ALIVE stake.
forykw,0.00611501,PGM,Daily payout based on your ALIVE stake.
russellstockley,0.00594037,PGM,Daily payout based on your ALIVE stake.
howyf2,0.00591255,PGM,Daily payout based on your ALIVE stake.
savvyplayer,0.00590439,PGM,Daily payout based on your ALIVE stake.
badpupper,0.00587946,PGM,Daily payout based on your ALIVE stake.
pixiepost,0.00587164,PGM,Daily payout based on your ALIVE stake.
hankanon,0.00586851,PGM,Daily payout based on your ALIVE stake.
tydynrain,0.0058647,PGM,Daily payout based on your ALIVE stake.
madushanka,0.00586094,PGM,Daily payout based on your ALIVE stake.
beststart,0.00585648,PGM,Daily payout based on your ALIVE stake.
pinkhub,0.00585517,PGM,Daily payout based on your ALIVE stake.
ianmcg,0.00584907,PGM,Daily payout based on your ALIVE stake.
criptosectadepit,0.00584095,PGM,Daily payout based on your ALIVE stake.
alex2alex,0.00581176,PGM,Daily payout based on your ALIVE stake.
floki-skarsgaard,0.00580678,PGM,Daily payout based on your ALIVE stake.
sabajfa,0.00580647,PGM,Daily payout based on your ALIVE stake.
vokus,0.00579499,PGM,Daily payout based on your ALIVE stake.
voltagrou,0.00579488,PGM,Daily payout based on your ALIVE stake.
amedhya,0.00579448,PGM,Daily payout based on your ALIVE stake.
celf.support,0.0057943,PGM,Daily payout based on your ALIVE stake.
imagenius.dac,0.0057943,PGM,Daily payout based on your ALIVE stake.
iviaxpow3r,0.0057943,PGM,Daily payout based on your ALIVE stake.
smallboost,0.0057943,PGM,Daily payout based on your ALIVE stake.
adysscheryl,0.00567484,PGM,Daily payout based on your ALIVE stake.
voltz-blag,0.00548332,PGM,Daily payout based on your ALIVE stake.
melinda010100,0.00543788,PGM,Daily payout based on your ALIVE stake.
alovely088,0.00537368,PGM,Daily payout based on your ALIVE stake.
chocolatescorpi,0.00509902,PGM,Daily payout based on your ALIVE stake.
bardobrujo,0.00509708,PGM,Daily payout based on your ALIVE stake.
yousafharoonkhan,0.00507254,PGM,Daily payout based on your ALIVE stake.
steemer-sayu907,0.0050679,PGM,Daily payout based on your ALIVE stake.
captain-sam,0.0050679,PGM,Daily payout based on your ALIVE stake.
ennydee,0.0050679,PGM,Daily payout based on your ALIVE stake.
oredebby,0.0050679,PGM,Daily payout based on your ALIVE stake.
luckyali,0.0050679,PGM,Daily payout based on your ALIVE stake.
aunik,0.0050679,PGM,Daily payout based on your ALIVE stake.
hykss,0.00493724,PGM,Daily payout based on your ALIVE stake.
ekushya,0.00491021,PGM,Daily payout based on your ALIVE stake.
engilhramn,0.00483146,PGM,Daily payout based on your ALIVE stake.
rbhayes,0.00476415,PGM,Daily payout based on your ALIVE stake.
bambukah,0.00450176,PGM,Daily payout based on your ALIVE stake.
pinkalicious,0.00436568,PGM,Daily payout based on your ALIVE stake.
old-man-chu58,0.00436001,PGM,Daily payout based on your ALIVE stake.
sabihaislam,0.00425046,PGM,Daily payout based on your ALIVE stake.
jeanlucsr,0.00420446,PGM,Daily payout based on your ALIVE stake.
onewolfe,0.00413891,PGM,Daily payout based on your ALIVE stake.
stevermac1966,0.0040379,PGM,Daily payout based on your ALIVE stake.
chireerocks,0.00392153,PGM,Daily payout based on your ALIVE stake.
alente,0.00377125,PGM,Daily payout based on your ALIVE stake.
femcy-willcy,0.00375735,PGM,Daily payout based on your ALIVE stake.
sharkthelion,0.00356995,PGM,Daily payout based on your ALIVE stake.
ahmadmanga,0.00347658,PGM,Daily payout based on your ALIVE stake.
dailygiveaways,0.00342522,PGM,Daily payout based on your ALIVE stake.
cryptohaytham,0.00328225,PGM,Daily payout based on your ALIVE stake.
supriya.gupta1,0.00327004,PGM,Daily payout based on your ALIVE stake.
jfang003,0.00323937,PGM,Daily payout based on your ALIVE stake.
cooperclub,0.00319918,PGM,Daily payout based on your ALIVE stake.
marshmellowman,0.00314975,PGM,Daily payout based on your ALIVE stake.
yhuddee111,0.00309711,PGM,Daily payout based on your ALIVE stake.
k-banti,0.00309499,PGM,Daily payout based on your ALIVE stake.
tokutaro22,0.00304672,PGM,Daily payout based on your ALIVE stake.
imno,0.00304628,PGM,Daily payout based on your ALIVE stake.
theroad2freedom,0.00302226,PGM,Daily payout based on your ALIVE stake.
agog,0.00301889,PGM,Daily payout based on your ALIVE stake.
germangenius,0.00298145,PGM,Daily payout based on your ALIVE stake.
flemingfarm,0.00289947,PGM,Daily payout based on your ALIVE stake.
meanbees,0.00289715,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.00284824,PGM,Daily payout based on your ALIVE stake.
amberkashif,0.00272523,PGM,Daily payout based on your ALIVE stake.
generra-abraham,0.00267105,PGM,Daily payout based on your ALIVE stake.
dkid14,0.00266822,PGM,Daily payout based on your ALIVE stake.
torrey.blog,0.00265526,PGM,Daily payout based on your ALIVE stake.
amphlux,0.00265085,PGM,Daily payout based on your ALIVE stake.
successchar,0.00263259,PGM,Daily payout based on your ALIVE stake.
cookaiss,0.00262628,PGM,Daily payout based on your ALIVE stake.
invest4free,0.0026099,PGM,Daily payout based on your ALIVE stake.
bonnie30,0.0025861,PGM,Daily payout based on your ALIVE stake.
saachi.list,0.00255197,PGM,Daily payout based on your ALIVE stake.
valerianis,0.00240543,PGM,Daily payout based on your ALIVE stake.
master-lamps,0.00232141,PGM,Daily payout based on your ALIVE stake.
beeber,0.00230889,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.00230616,PGM,Daily payout based on your ALIVE stake.
l337m45732,0.00227639,PGM,Daily payout based on your ALIVE stake.
lebah,0.00223982,PGM,Daily payout based on your ALIVE stake.
mirroredspork,0.00223886,PGM,Daily payout based on your ALIVE stake.
nuthman,0.00222251,PGM,Daily payout based on your ALIVE stake.
psimpson67,0.00220764,PGM,Daily payout based on your ALIVE stake.
ericburgoyne,0.00218802,PGM,Daily payout based on your ALIVE stake.
chmoen,0.00213409,PGM,Daily payout based on your ALIVE stake.
leemah1,0.00209131,PGM,Daily payout based on your ALIVE stake.
temmylade,0.00205667,PGM,Daily payout based on your ALIVE stake.
hivecoffee,0.00203277,PGM,Daily payout based on your ALIVE stake.
greensempire,0.00200467,PGM,Daily payout based on your ALIVE stake.
gadrian,0.0019933,PGM,Daily payout based on your ALIVE stake.
uyobong,0.00197354,PGM,Daily payout based on your ALIVE stake.
ekushya.ctp,0.00196808,PGM,Daily payout based on your ALIVE stake.
jmis101,0.00193626,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.00193353,PGM,Daily payout based on your ALIVE stake.
aslehansen,0.00192139,PGM,Daily payout based on your ALIVE stake.
learningenglish,0.0018765,PGM,Daily payout based on your ALIVE stake.
makerhacks,0.00185326,PGM,Daily payout based on your ALIVE stake.
gondek,0.00183926,PGM,Daily payout based on your ALIVE stake.
elbrava,0.00173813,PGM,Daily payout based on your ALIVE stake.
nathanmars,0.00172144,PGM,Daily payout based on your ALIVE stake.
robert0z,0.00172076,PGM,Daily payout based on your ALIVE stake.
scottrohn,0.00169955,PGM,Daily payout based on your ALIVE stake.
starstrings01,0.00169162,PGM,Daily payout based on your ALIVE stake.
bigtakosensei,0.00169104,PGM,Daily payout based on your ALIVE stake.
tomlee,0.00168988,PGM,Daily payout based on your ALIVE stake.
bonnierroberts,0.0016893,PGM,Daily payout based on your ALIVE stake.
mamasez,0.0016893,PGM,Daily payout based on your ALIVE stake.
matthew1,0.00165902,PGM,Daily payout based on your ALIVE stake.
gidien,0.00161167,PGM,Daily payout based on your ALIVE stake.
juanmiguelsalas,0.00159704,PGM,Daily payout based on your ALIVE stake.
cryptospa,0.0015467,PGM,Daily payout based on your ALIVE stake.
felixgarciap,0.00150488,PGM,Daily payout based on your ALIVE stake.
honeysaver.fund,0.0014739,PGM,Daily payout based on your ALIVE stake.
definethedollar,0.00145054,PGM,Daily payout based on your ALIVE stake.
duke77,0.00144858,PGM,Daily payout based on your ALIVE stake.
rosmadirazali,0.00140018,PGM,Daily payout based on your ALIVE stake.
denmarkguy,0.00139504,PGM,Daily payout based on your ALIVE stake.
zottone444,0.00137224,PGM,Daily payout based on your ALIVE stake.
adeife2,0.00135786,PGM,Daily payout based on your ALIVE stake.
lifeskills-tv,0.00135778,PGM,Daily payout based on your ALIVE stake.
reeta0119,0.00133679,PGM,Daily payout based on your ALIVE stake.
fiberfrau,0.00131139,PGM,Daily payout based on your ALIVE stake.
jishan5,0.0012927,PGM,Daily payout based on your ALIVE stake.
forsakensushi,0.00127921,PGM,Daily payout based on your ALIVE stake.
dirkzett,0.00120309,PGM,Daily payout based on your ALIVE stake.
biglove,0.00120218,PGM,Daily payout based on your ALIVE stake.
bructp,0.00118131,PGM,Daily payout based on your ALIVE stake.
yintercept,0.00118101,PGM,Daily payout based on your ALIVE stake.
heruvim1978,0.00117549,PGM,Daily payout based on your ALIVE stake.
syllem,0.00116667,PGM,Daily payout based on your ALIVE stake.
mushanov,0.0011606,PGM,Daily payout based on your ALIVE stake.
