account,amount,symbol,memo
flaxz.alive,0.57019926,PGM,Daily payout based on your ALIVE stake.
jlufer,0.44845949,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.33685753,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.29455129,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.19081443,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.15343898,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14090929,PGM,Daily payout based on your ALIVE stake.
masoom,0.12156824,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.10148068,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.09796262,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.0830244,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.0753217,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06464104,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.06063951,PGM,Daily payout based on your ALIVE stake.
primersion,0.05876901,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05834883,PGM,Daily payout based on your ALIVE stake.
ironshield,0.0576587,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05636862,PGM,Daily payout based on your ALIVE stake.
edgerik,0.05515429,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.05109429,PGM,Daily payout based on your ALIVE stake.
d00k13,0.03854608,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.0354675,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.03396069,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03124924,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03006479,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02986485,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02979177,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02955435,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02938921,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02900149,PGM,Daily payout based on your ALIVE stake.
invest-time,0.02811702,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.02802664,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02540767,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02531001,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02492079,PGM,Daily payout based on your ALIVE stake.
awah,0.0247155,PGM,Daily payout based on your ALIVE stake.
daniky,0.02464246,PGM,Daily payout based on your ALIVE stake.
raishmi,0.02312364,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02272658,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.02262286,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.02086409,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02050518,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01979873,PGM,Daily payout based on your ALIVE stake.
magicalive,0.01969544,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01875839,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.01866962,PGM,Daily payout based on your ALIVE stake.
mintfinch,0.01865743,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01835025,PGM,Daily payout based on your ALIVE stake.
manuvert,0.01826875,PGM,Daily payout based on your ALIVE stake.
gank,0.01737502,PGM,Daily payout based on your ALIVE stake.
griega,0.01543514,PGM,Daily payout based on your ALIVE stake.
hoosie,0.01506857,PGM,Daily payout based on your ALIVE stake.
toekins,0.01483973,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.01434365,PGM,Daily payout based on your ALIVE stake.
guurry123,0.01374085,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.01355175,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.01293774,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.01261789,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01220119,PGM,Daily payout based on your ALIVE stake.
zealous4ever,0.01217583,PGM,Daily payout based on your ALIVE stake.
ilovewintergem,0.01191799,PGM,Daily payout based on your ALIVE stake.
merthin,0.01188693,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.01139143,PGM,Daily payout based on your ALIVE stake.
mlrequena78,0.01108766,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01094009,PGM,Daily payout based on your ALIVE stake.
epic-fail,0.01063511,PGM,Daily payout based on your ALIVE stake.
myupvote2u,0.0104051,PGM,Daily payout based on your ALIVE stake.
elizabetamt,0.01026357,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.01023452,PGM,Daily payout based on your ALIVE stake.
chireerocks.live,0.00994362,PGM,Daily payout based on your ALIVE stake.
