account,amount,symbol,memo
flaxz.alive,0.53691355,PGM,Daily payout based on your ALIVE stake.
jlufer,0.48654821,PGM,Daily payout based on your ALIVE stake.
iamalivechalleng,0.31419196,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.2890395,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.28390259,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.19677976,PGM,Daily payout based on your ALIVE stake.
threesteps,0.14737301,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.13665929,PGM,Daily payout based on your ALIVE stake.
masoom,0.13220509,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.12003221,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.10375649,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.08153916,PGM,Daily payout based on your ALIVE stake.
imagenius.dac,0.07669408,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.071272,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.06752067,PGM,Daily payout based on your ALIVE stake.
primersion,0.06391174,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06187086,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.06121694,PGM,Daily payout based on your ALIVE stake.
edgerik,0.05564275,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.05295422,PGM,Daily payout based on your ALIVE stake.
alive.chat,0.05199943,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05040466,PGM,Daily payout based on your ALIVE stake.
d00k13,0.04191851,PGM,Daily payout based on your ALIVE stake.
aliveandthriving,0.04151032,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.03724504,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03375646,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.03213099,PGM,Daily payout based on your ALIVE stake.
flaxz,0.03208817,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.03195651,PGM,Daily payout based on your ALIVE stake.
invest-time,0.03195651,PGM,Daily payout based on your ALIVE stake.
ddn688,0.03057496,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02751908,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02657972,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.02625044,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02622509,PGM,Daily payout based on your ALIVE stake.
ironshield,0.02584216,PGM,Daily payout based on your ALIVE stake.
raishmi,0.02514074,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02255718,PGM,Daily payout based on your ALIVE stake.
daniky,0.02247429,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.02230263,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02191538,PGM,Daily payout based on your ALIVE stake.
awah,0.01963733,PGM,Daily payout based on your ALIVE stake.
gank,0.01889546,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01848676,PGM,Daily payout based on your ALIVE stake.
griega,0.01676857,PGM,Daily payout based on your ALIVE stake.
rcaine,0.01496309,PGM,Daily payout based on your ALIVE stake.
guurry123,0.0148832,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.01473763,PGM,Daily payout based on your ALIVE stake.
magicalive,0.01435964,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.01406989,PGM,Daily payout based on your ALIVE stake.
chapelle,0.01380767,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.01341708,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01280178,PGM,Daily payout based on your ALIVE stake.
ilovewintergem,0.01279705,PGM,Daily payout based on your ALIVE stake.
mlrequena78,0.01200359,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01121368,PGM,Daily payout based on your ALIVE stake.
chireerocks.live,0.01081376,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.01011679,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.00998674,PGM,Daily payout based on your ALIVE stake.
mk992039,0.00990019,PGM,Daily payout based on your ALIVE stake.
tdctunes,0.00959763,PGM,Daily payout based on your ALIVE stake.
johnsdowie,0.00897411,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.00894716,PGM,Daily payout based on your ALIVE stake.
rickardoh,0.00799544,PGM,Daily payout based on your ALIVE stake.
hive.phyowinkoko,0.00787828,PGM,Daily payout based on your ALIVE stake.
teknohippy,0.00787605,PGM,Daily payout based on your ALIVE stake.
hivetrending,0.00783743,PGM,Daily payout based on your ALIVE stake.
twicejoy,0.00778359,PGM,Daily payout based on your ALIVE stake.
elizabetamt,0.00768924,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.0076892,PGM,Daily payout based on your ALIVE stake.
samsmith1971,0.00742103,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.0073302,PGM,Daily payout based on your ALIVE stake.
johnandgrace,0.00721509,PGM,Daily payout based on your ALIVE stake.
rarej,0.00709636,PGM,Daily payout based on your ALIVE stake.
dreamingirwin,0.00695581,PGM,Daily payout based on your ALIVE stake.
icon-bassey,0.00679869,PGM,Daily payout based on your ALIVE stake.
forykw,0.00674491,PGM,Daily payout based on your ALIVE stake.
wdougwatson,0.00664211,PGM,Daily payout based on your ALIVE stake.
