account,amount,symbol,memo
flaxz.alive,0.57386279,PGM,Daily payout based on your ALIVE stake.
jlufer,0.47588391,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.35052923,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.30621458,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.19955758,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.15454487,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14255731,PGM,Daily payout based on your ALIVE stake.
masoom,0.12900514,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.10596093,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.09830506,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.08403052,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07327997,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06856738,PGM,Daily payout based on your ALIVE stake.
primersion,0.06236419,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05981259,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05883706,PGM,Daily payout based on your ALIVE stake.
edgerik,0.0584111,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.05353052,PGM,Daily payout based on your ALIVE stake.
ironshield,0.04430854,PGM,Daily payout based on your ALIVE stake.
d00k13,0.04090413,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.03763721,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.03603823,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.03488135,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.03312001,PGM,Daily payout based on your ALIVE stake.
ddn688,0.03168434,PGM,Daily payout based on your ALIVE stake.
flaxz,0.03150888,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.03136171,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.03118334,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03055211,PGM,Daily payout based on your ALIVE stake.
invest-time,0.02983458,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02959936,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02695819,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02685648,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02642348,PGM,Daily payout based on your ALIVE stake.
twicejoy,0.02580224,PGM,Daily payout based on your ALIVE stake.
awah,0.02558255,PGM,Daily payout based on your ALIVE stake.
raishmi,0.02453823,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.02444675,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.02214044,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02198513,PGM,Daily payout based on your ALIVE stake.
magicalive,0.02000884,PGM,Daily payout based on your ALIVE stake.
rcaine,0.01977307,PGM,Daily payout based on your ALIVE stake.
mintfinch,0.01974998,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01919004,PGM,Daily payout based on your ALIVE stake.
gank,0.01843793,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01783621,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.01763262,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01729166,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.01682481,PGM,Daily payout based on your ALIVE stake.
griega,0.01637876,PGM,Daily payout based on your ALIVE stake.
toekins,0.0156942,PGM,Daily payout based on your ALIVE stake.
manuvert,0.01470739,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.01469971,PGM,Daily payout based on your ALIVE stake.
guurry123,0.01457521,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.01438078,PGM,Daily payout based on your ALIVE stake.
hoosie,0.01396618,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.01372921,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.01338915,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01269469,PGM,Daily payout based on your ALIVE stake.
ilovewintergem,0.01264333,PGM,Daily payout based on your ALIVE stake.
merthin,0.01260413,PGM,Daily payout based on your ALIVE stake.
valentin86,0.01249482,PGM,Daily payout based on your ALIVE stake.
mlrequena78,0.01176595,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01160062,PGM,Daily payout based on your ALIVE stake.
myupvote2u,0.01104163,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.01100795,PGM,Daily payout based on your ALIVE stake.
chireerocks.live,0.01055191,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.01001157,PGM,Daily payout based on your ALIVE stake.
wdougwatson,0.00997969,PGM,Daily payout based on your ALIVE stake.
vickoly,0.00981978,PGM,Daily payout based on your ALIVE stake.
mk992039,0.00967544,PGM,Daily payout based on your ALIVE stake.
johnsdowie,0.00967394,PGM,Daily payout based on your ALIVE stake.
tdctunes,0.00937957,PGM,Daily payout based on your ALIVE stake.
elizabetamt,0.0091121,PGM,Daily payout based on your ALIVE stake.
jacoalberts,0.00877997,PGM,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00835859,PGM,Daily payout based on your ALIVE stake.
epic-fail,0.00802139,PGM,Daily payout based on your ALIVE stake.
mervinthepogi,0.00789795,PGM,Daily payout based on your ALIVE stake.
rickardoh,0.00780184,PGM,Daily payout based on your ALIVE stake.
hive.phyowinkoko,0.00768752,PGM,Daily payout based on your ALIVE stake.
hivetrending,0.00764765,PGM,Daily payout based on your ALIVE stake.
alzee,0.00763338,PGM,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00749875,PGM,Daily payout based on your ALIVE stake.
samsmith1971,0.00727876,PGM,Daily payout based on your ALIVE stake.
johnandgrace,0.00704039,PGM,Daily payout based on your ALIVE stake.
rarej,0.00695266,PGM,Daily payout based on your ALIVE stake.
lightcaptured,0.00682425,PGM,Daily payout based on your ALIVE stake.
dreamingirwin,0.00680173,PGM,Daily payout based on your ALIVE stake.
andy-plays,0.0067854,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.00673765,PGM,Daily payout based on your ALIVE stake.
tunnelmotions,0.00667973,PGM,Daily payout based on your ALIVE stake.
icon-bassey,0.00664842,PGM,Daily payout based on your ALIVE stake.
forykw,0.00658159,PGM,Daily payout based on your ALIVE stake.
pinkhub,0.00641169,PGM,Daily payout based on your ALIVE stake.
russellstockley,0.0063824,PGM,Daily payout based on your ALIVE stake.
stdd,0.00637595,PGM,Daily payout based on your ALIVE stake.
