account,amount,symbol,memo
x9ed1732b,"0,03897222",AWESOME,Rewards on delegation.
lv99-rd-chocobo,"0,0007217",AWESOME,Rewards on delegation.
assassyn,"0,00247442",AWESOME,Rewards on delegation.
alokkumar121,"3,47722",CCC,Rewards on delegation.
flaxz,"5,00543",CCC,Rewards on delegation.
fiberfrau,"1,25882",CCC,Rewards on delegation.
certain,"2,09969",CCC,Rewards on delegation.
reeta0119,"2,40818",CCC,Rewards on delegation.
paulcaraway,"2,23901",CCC,Rewards on delegation.
elianaicgomes,"1,54243",CCC,Rewards on delegation.
pixiepost,"3,05714",CCC,Rewards on delegation.
guurry123,"0,79111",CCC,Rewards on delegation.
mariannewest,"0,52741",CCC,Rewards on delegation.
ph1102,"5,22791",CCC,Rewards on delegation.
invest4free,"0,2637",CCC,Rewards on delegation.
imfarhad,"0,76624",CCC,Rewards on delegation.
torrey.blog,"1,43723",CCC,Rewards on delegation.
tristancarax,"2,61218",CCC,Rewards on delegation.
arena10,"0,0796",CCC,Rewards on delegation.
quinnertronics,"0,06965",CCC,Rewards on delegation.
iamraincrystal,"1,3036",CCC,Rewards on delegation.
athomewithcraig,"1,01999",CCC,Rewards on delegation.
justclickindiva,"1,28156",CCC,Rewards on delegation.
cliffagreen,"1,26379",CCC,Rewards on delegation.
jacoalberts,"0,10448",CCC,Rewards on delegation.
thatcryptodave,"4,55123",CCC,Rewards on delegation.
regenerette,"0,15424",CCC,Rewards on delegation.
johnsdowie,"0,5075",CCC,Rewards on delegation.
kingneptune,"0,75628",CCC,Rewards on delegation.
alente,"0,02487",CCC,Rewards on delegation.
flaxz.alive,"0,0398",CCC,Rewards on delegation.
iamalivechalleng,"1,00506",CCC,Rewards on delegation.
alive.chat,"0,14429",CCC,Rewards on delegation.
aliveprojects,"0,04975",CCC,Rewards on delegation.
flaxz.ctp,"0,02985",CCC,Rewards on delegation.
wearealive,"0,16419",CCC,Rewards on delegation.
alovely,"0,10448",CCC,Rewards on delegation.
myjob,"2,54394",CCC,Rewards on delegation.
benthomaswwd,"0,14926",CCC,Rewards on delegation.
elizacheng,"2,27881",CCC,Rewards on delegation.
sydney.potts,"1,75638",CCC,Rewards on delegation.
ana-maria,"0,04975",CCC,Rewards on delegation.
blue.rabbit,"2,52262",CCC,Rewards on delegation.
davidthompson57,"2,01013",CCC,Rewards on delegation.
heartbeatonhive,"0,02487",CCC,Rewards on delegation.
ironshield,"0,50253",CCC,Rewards on delegation.
fragozar01,"0,19902",CCC,Rewards on delegation.
littlebee4,"0,01492",CCC,Rewards on delegation.
mypathtofire,"0,49755",CCC,Rewards on delegation.
pablodare,"0,24877",CCC,Rewards on delegation.
notaboutme,"0,07463",CCC,Rewards on delegation.
adysscheryl,"0,04051",CCC,Rewards on delegation.
x9ed1732b,"1,3434",CCC,Rewards on delegation.
lv99-rd-chocobo,"0,02487",CCC,Rewards on delegation.
assassyn,"0,08529",CCC,Rewards on delegation.
alokkumar121,"206,711",SPORTS,Rewards on delegation.
flaxz,"297,56",SPORTS,Rewards on delegation.
fiberfrau,"74,833",SPORTS,Rewards on delegation.
certain,"124,821",SPORTS,Rewards on delegation.
