account,amount,symbol,memo
alokkumar121,"15,907",CTP,Rewards on delegation.
flaxz,"22,91",CTP,Rewards on delegation.
fiberfrau,"5,767",CTP,Rewards on delegation.
certain,"9,612",CTP,Rewards on delegation.
reeta0119,"11,009",CTP,Rewards on delegation.
paulcaraway,"10,253",CTP,Rewards on delegation.
elianaicgomes,"7,049",CTP,Rewards on delegation.
pixiepost,"13,991",CTP,Rewards on delegation.
guurry123,"3,616",CTP,Rewards on delegation.
mariannewest,"2,426",CTP,Rewards on delegation.
ph1102,"23,924",CTP,Rewards on delegation.
invest4free,"1,19",CTP,Rewards on delegation.
imfarhad,"3,524",CTP,Rewards on delegation.
torrey.blog,"23,025",CTP,Rewards on delegation.
gadrian-sp,"22,891",CTP,Rewards on delegation.
tristancarax,"11,97",CTP,Rewards on delegation.
arena10,"0,366",CTP,Rewards on delegation.
quinnertronics,"0,32",CTP,Rewards on delegation.
iamraincrystal,"5,95",CTP,Rewards on delegation.
athomewithcraig,"4,669",CTP,Rewards on delegation.
justclickindiva,"5,859",CTP,Rewards on delegation.
cliffagreen,"5,79",CTP,Rewards on delegation.
jacoalberts,"0,48",CTP,Rewards on delegation.
thatcryptodave,"18,719",CTP,Rewards on delegation.
regenerette,"0,709",CTP,Rewards on delegation.
johnsdowie,"2,311",CTP,Rewards on delegation.
kingneptune,"3,478",CTP,Rewards on delegation.
alente,"0,114",CTP,Rewards on delegation.
flaxz.alive,"0,183",CTP,Rewards on delegation.
iamalivechalleng,"4,6",CTP,Rewards on delegation.
alive.chat,"0,663",CTP,Rewards on delegation.
aliveprojects,"0,228",CTP,Rewards on delegation.
flaxz.ctp,"0,137",CTP,Rewards on delegation.
wearealive,"0,732",CTP,Rewards on delegation.
alovely,"0,48",CTP,Rewards on delegation.
myjob,"11,649",CTP,Rewards on delegation.
benthomaswwd,"0,343",CTP,Rewards on delegation.
elizacheng,"10,436",CTP,Rewards on delegation.
sydney.potts,"8,033",CTP,Rewards on delegation.
ana-maria,"0,228",CTP,Rewards on delegation.
blue.rabbit,"11,535",CTP,Rewards on delegation.
davidthompson57,"9,2",CTP,Rewards on delegation.
heartbeatonhive,"0,114",CTP,Rewards on delegation.
ironshield,"2,288",CTP,Rewards on delegation.
fragozar01,"0,915",CTP,Rewards on delegation.
littlebee4,"0,068",CTP,Rewards on delegation.
mypathtofire,"0,032",CTP,Rewards on delegation.
alokkumar121,"11,897",ALIVE,Rewards on delegation.
flaxz,"17,136",ALIVE,Rewards on delegation.
fiberfrau,"4,314",ALIVE,Rewards on delegation.
certain,"7,19",ALIVE,Rewards on delegation.
reeta0119,"8,234",ALIVE,Rewards on delegation.
paulcaraway,"7,669",ALIVE,Rewards on delegation.
elianaicgomes,"5,272",ALIVE,Rewards on delegation.
pixiepost,"10,464",ALIVE,Rewards on delegation.
guurry123,"2,704",ALIVE,Rewards on delegation.
mariannewest,"1,814",ALIVE,Rewards on delegation.
ph1102,"17,894",ALIVE,Rewards on delegation.
invest4free,"0,89",ALIVE,Rewards on delegation.
imfarhad,"2,636",ALIVE,Rewards on delegation.
torrey.blog,"17,221",ALIVE,Rewards on delegation.
gadrian-sp,"17,121",ALIVE,Rewards on delegation.
tristancarax,"8,953",ALIVE,Rewards on delegation.
arena10,"0,273",ALIVE,Rewards on delegation.
quinnertronics,"0,239",ALIVE,Rewards on delegation.
iamraincrystal,"4,451",ALIVE,Rewards on delegation.
athomewithcraig,"3,492",ALIVE,Rewards on delegation.
justclickindiva,"4,382",ALIVE,Rewards on delegation.
cliffagreen,"4,331",ALIVE,Rewards on delegation.
jacoalberts,"0,359",ALIVE,Rewards on delegation.
thatcryptodave,"14,001",ALIVE,Rewards on delegation.
regenerette,"0,53",ALIVE,Rewards on delegation.
johnsdowie,"1,729",ALIVE,Rewards on delegation.
kingneptune,"2,602",ALIVE,Rewards on delegation.
alente,"0,085",ALIVE,Rewards on delegation.
flaxz.alive,"0,136",ALIVE,Rewards on delegation.
iamalivechalleng,"3,44",ALIVE,Rewards on delegation.
alive.chat,"0,496",ALIVE,Rewards on delegation.
aliveprojects,"0,171",ALIVE,Rewards on delegation.
flaxz.ctp,"0,102",ALIVE,Rewards on delegation.
wearealive,"0,547",ALIVE,Rewards on delegation.
alovely,"0,359",ALIVE,Rewards on delegation.
myjob,"8,713",ALIVE,Rewards on delegation.
benthomaswwd,"0,256",ALIVE,Rewards on delegation.
elizacheng,"7,806",ALIVE,Rewards on delegation.
sydney.potts,"6,008",ALIVE,Rewards on delegation.
ana-maria,"0,171",ALIVE,Rewards on delegation.
blue.rabbit,"8,628",ALIVE,Rewards on delegation.
davidthompson57,"6,881",ALIVE,Rewards on delegation.
heartbeatonhive,"0,085",ALIVE,Rewards on delegation.
ironshield,"1,711",ALIVE,Rewards on delegation.
fragozar01,"0,684",ALIVE,Rewards on delegation.
littlebee4,"0,051",ALIVE,Rewards on delegation.
mypathtofire,"0,024",ALIVE,Rewards on delegation.
alokkumar121,"0,02251504",AWESOME,Rewards on delegation.
