account,amount,symbol,memo
alokkumar121,"19,793",CTP,Rewards on delegation.
flaxz,"28,586",CTP,Rewards on delegation.
fiberfrau,"7,168",CTP,Rewards on delegation.
certain,"11,946",CTP,Rewards on delegation.
reeta0119,"13,709",CTP,Rewards on delegation.
paulcaraway,"12,746",CTP,Rewards on delegation.
elianaicgomes,"8,788",CTP,Rewards on delegation.
pixiepost,"17,422",CTP,Rewards on delegation.
guurry123,"4,512",CTP,Rewards on delegation.
mariannewest,"2,998",CTP,Rewards on delegation.
ph1102,"29,777",CTP,Rewards on delegation.
invest4free,"1,485",CTP,Rewards on delegation.
imfarhad,"4,369",CTP,Rewards on delegation.
torrey.blog,"28,647",CTP,Rewards on delegation.
gadrian-sp,"28,647",CTP,Rewards on delegation.
tristancarax,"14,88",CTP,Rewards on delegation.
arena10,"0,456",CTP,Rewards on delegation.
quinnertronics,"0,399",CTP,Rewards on delegation.
iamraincrystal,"7,426",CTP,Rewards on delegation.
athomewithcraig,"5,798",CTP,Rewards on delegation.
justclickindiva,"7,303",CTP,Rewards on delegation.
cliffagreen,"7,197",CTP,Rewards on delegation.
jacoalberts,"0,599",CTP,Rewards on delegation.
thatcryptodave,"21,421",CTP,Rewards on delegation.
regenerette,"0,885",CTP,Rewards on delegation.
cccf,"12,538",CTP,Rewards on delegation.
johnsdowie,"2,884",CTP,Rewards on delegation.
kingneptune,"4,312",CTP,Rewards on delegation.
alente,"0,142",CTP,Rewards on delegation.
flaxz.alive,"0,228",CTP,Rewards on delegation.
iamalivechalleng,"5,74",CTP,Rewards on delegation.
alive.chat,"0,828",CTP,Rewards on delegation.
aliveprojects,"0,285",CTP,Rewards on delegation.
flaxz.ctp,"0,171",CTP,Rewards on delegation.
wearealive,"0,913",CTP,Rewards on delegation.
alovely,"0,599",CTP,Rewards on delegation.
myjob,"14,493",CTP,Rewards on delegation.
benthomaswwd,"0,428",CTP,Rewards on delegation.
elizacheng,"12,995",CTP,Rewards on delegation.
sydney.potts,"9,196",CTP,Rewards on delegation.
ana-maria,"0,285",CTP,Rewards on delegation.
blue.rabbit,"14,366",CTP,Rewards on delegation.
davidthompson57,"11,453",CTP,Rewards on delegation.
