account,amount,symbol,memo
alokkumar121,"20,265",CTP,Rewards on delegation.
flaxz,"55,865",CTP,Rewards on delegation.
fiberfrau,"7,353",CTP,Rewards on delegation.
certain,"12,245",CTP,Rewards on delegation.
reeta0119,"14,04",CTP,Rewards on delegation.
paulcaraway,"13,056",CTP,Rewards on delegation.
elianaicgomes,"9,003",CTP,Rewards on delegation.
pixiepost,"17,833",CTP,Rewards on delegation.
guurry123,"4,632",CTP,Rewards on delegation.
mariannewest,"3,068",CTP,Rewards on delegation.
ph1102,"30,484",CTP,Rewards on delegation.
invest4free,"1,534",CTP,Rewards on delegation.
imfarhad,"4,487",CTP,Rewards on delegation.
tristancarax,"15,236",CTP,Rewards on delegation.
arena10,"0,463",CTP,Rewards on delegation.
quinnertronics,"0,405",CTP,Rewards on delegation.
iamraincrystal,"7,584",CTP,Rewards on delegation.
athomewithcraig,"5,934",CTP,Rewards on delegation.
justclickindiva,"4,855",CTP,Rewards on delegation.
cliffagreen,"7,382",CTP,Rewards on delegation.
jacoalberts,"0,607",CTP,Rewards on delegation.
thatcryptodave,"27,631",CTP,Rewards on delegation.
regenerette,"0,897",CTP,Rewards on delegation.
johnsdowie,"2,952",CTP,Rewards on delegation.
kingneptune,"4,429",CTP,Rewards on delegation.
alente,"0,144",CTP,Rewards on delegation.
flaxz.alive,"0,231",CTP,Rewards on delegation.
iamalivechalleng,"5,876",CTP,Rewards on delegation.
alive.chat,"0,868",CTP,Rewards on delegation.
aliveprojects,"0,289",CTP,Rewards on delegation.
flaxz.ctp,"0,173",CTP,Rewards on delegation.
wearealive,"0,955",CTP,Rewards on delegation.
alovely,"0,607",CTP,Rewards on delegation.
myjob,"18,619",CTP,Rewards on delegation.
benthomaswwd,"1,447",CTP,Rewards on delegation.
elizacheng,"13,288",CTP,Rewards on delegation.
sydney.potts,"10,231",CTP,Rewards on delegation.
ana-maria,"0,289",CTP,Rewards on delegation.
blue.rabbit,"14,706",CTP,Rewards on delegation.
davidthompson57,"11,724",CTP,Rewards on delegation.
heartbeatonhive,"0,144",CTP,Rewards on delegation.
ironshield,"2,895",CTP,Rewards on delegation.
fragozar01,"1,158",CTP,Rewards on delegation.
littlebee4,"0,086",CTP,Rewards on delegation.
mypathtofire,"2,895",CTP,Rewards on delegation.
notaboutme,"0,434",CTP,Rewards on delegation.
adysscheryl,"0,26",CTP,Rewards on delegation.
x9ed1732b,"18,615",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,144",CTP,Rewards on delegation.
assassyn,"0,868",CTP,Rewards on delegation.
dontcare89,"2,895",CTP,Rewards on delegation.
darmst5339,"0,248",CTP,Rewards on delegation.
chaosmagic23,"0,248",CTP,Rewards on delegation.
manuvert,"0,413",CTP,Rewards on delegation.
alokkumar121,"14,8241",ALIVE,Rewards on delegation.
flaxz,"40,8661",ALIVE,Rewards on delegation.
fiberfrau,"5,379",ALIVE,Rewards on delegation.
certain,"8,958",ALIVE,Rewards on delegation.
reeta0119,"10,271",ALIVE,Rewards on delegation.
paulcaraway,"9,5509",ALIVE,Rewards on delegation.
elianaicgomes,"6,5861",ALIVE,Rewards on delegation.
pixiepost,"13,0452",ALIVE,Rewards on delegation.
guurry123,"3,3883",ALIVE,Rewards on delegation.
mariannewest,"2,2447",ALIVE,Rewards on delegation.
ph1102,"22,2997",ALIVE,Rewards on delegation.
invest4free,"1,1223",ALIVE,Rewards on delegation.
imfarhad,"3,2824",ALIVE,Rewards on delegation.
tristancarax,"11,1453",ALIVE,Rewards on delegation.
arena10,"0,3388",ALIVE,Rewards on delegation.
quinnertronics,"0,2964",ALIVE,Rewards on delegation.
iamraincrystal,"5,5484",ALIVE,Rewards on delegation.
athomewithcraig,"4,3413",ALIVE,Rewards on delegation.
justclickindiva,"3,5517",ALIVE,Rewards on delegation.
cliffagreen,"5,4002",ALIVE,Rewards on delegation.
jacoalberts,"0,4447",ALIVE,Rewards on delegation.
thatcryptodave,"20,2122",ALIVE,Rewards on delegation.
regenerette,"0,6564",ALIVE,Rewards on delegation.
johnsdowie,"2,16",ALIVE,Rewards on delegation.
kingneptune,"3,2401",ALIVE,Rewards on delegation.
alente,"0,1058",ALIVE,Rewards on delegation.
flaxz.alive,"0,1694",ALIVE,Rewards on delegation.
iamalivechalleng,"4,2989",ALIVE,Rewards on delegation.
alive.chat,"0,6353",ALIVE,Rewards on delegation.
aliveprojects,"0,2117",ALIVE,Rewards on delegation.
flaxz.ctp,"0,127",ALIVE,Rewards on delegation.
wearealive,"0,6988",ALIVE,Rewards on delegation.
alovely,"0,4447",ALIVE,Rewards on delegation.
myjob,"13,62",ALIVE,Rewards on delegation.
benthomaswwd,"1,0588",ALIVE,Rewards on delegation.
elizacheng,"9,7203",ALIVE,Rewards on delegation.
sydney.potts,"7,4846",ALIVE,Rewards on delegation.
ana-maria,"0,2117",ALIVE,Rewards on delegation.
blue.rabbit,"10,758",ALIVE,Rewards on delegation.
davidthompson57,"8,5768",ALIVE,Rewards on delegation.
heartbeatonhive,"0,1058",ALIVE,Rewards on delegation.
ironshield,"2,1177",ALIVE,Rewards on delegation.
fragozar01,"0,847",ALIVE,Rewards on delegation.
littlebee4,"0,0635",ALIVE,Rewards on delegation.
mypathtofire,"2,1177",ALIVE,Rewards on delegation.
notaboutme,"0,3176",ALIVE,Rewards on delegation.
adysscheryl,"0,1905",ALIVE,Rewards on delegation.
x9ed1732b,"13,617",ALIVE,Rewards on delegation.
lv99-rd-chocobo,"0,1058",ALIVE,Rewards on delegation.
assassyn,"0,6353",ALIVE,Rewards on delegation.
dontcare89,"2,1177",ALIVE,Rewards on delegation.
darmst5339,"0,1815",ALIVE,Rewards on delegation.
chaosmagic23,"0,1815",ALIVE,Rewards on delegation.
manuvert,"0,3025",ALIVE,Rewards on delegation.
alokkumar121,"0,12876436",AWESOME,Rewards on delegation.
flaxz,"0,35496917",AWESOME,Rewards on delegation.
fiberfrau,"0,04672306",AWESOME,Rewards on delegation.
certain,"0,07781046",AWESOME,Rewards on delegation.
reeta0119,"0,0892153",AWESOME,Rewards on delegation.
paulcaraway,"0,08296103",AWESOME,Rewards on delegation.
elianaicgomes,"0,05720816",AWESOME,Rewards on delegation.
pixiepost,"0,11331263",AWESOME,Rewards on delegation.
guurry123,"0,02943185",AWESOME,Rewards on delegation.
mariannewest,"0,0194986",AWESOME,Rewards on delegation.
ph1102,"0,19369838",AWESOME,Rewards on delegation.
invest4free,"0,0097493",AWESOME,Rewards on delegation.
imfarhad,"0,0285121",AWESOME,Rewards on delegation.
tristancarax,"0,09680977",AWESOME,Rewards on delegation.
arena10,"0,00294318",AWESOME,Rewards on delegation.
quinnertronics,"0,00257528",AWESOME,Rewards on delegation.
iamraincrystal,"0,04819466",AWESOME,Rewards on delegation.
athomewithcraig,"0,03770956",AWESOME,Rewards on delegation.
justclickindiva,"0,03085088",AWESOME,Rewards on delegation.
cliffagreen,"0,04690701",AWESOME,Rewards on delegation.
jacoalberts,"0,00386293",AWESOME,Rewards on delegation.
thatcryptodave,"0,17556626",AWESOME,Rewards on delegation.
regenerette,"0,00570242",AWESOME,Rewards on delegation.
johnsdowie,"0,0187628",AWESOME,Rewards on delegation.
kingneptune,"0,02814421",AWESOME,Rewards on delegation.
alente,"0,00091974",AWESOME,Rewards on delegation.
flaxz.alive,"0,00147159",AWESOME,Rewards on delegation.
iamalivechalleng,"0,03734166",AWESOME,Rewards on delegation.
alive.chat,"0,00551847",AWESOME,Rewards on delegation.
aliveprojects,"0,00183949",AWESOME,Rewards on delegation.
flaxz.ctp,"0,00110369",AWESOME,Rewards on delegation.
wearealive,"0,00607031",AWESOME,Rewards on delegation.
alovely,"0,00386293",AWESOME,Rewards on delegation.
myjob,"0,11830554",AWESOME,Rewards on delegation.
benthomaswwd,"0,00919745",AWESOME,Rewards on delegation.
elizacheng,"0,08443263",AWESOME,Rewards on delegation.
sydney.potts,"0,06501286",AWESOME,Rewards on delegation.
ana-maria,"0,00183949",AWESOME,Rewards on delegation.
