account,amount,symbol,memo
alokkumar121,"18,367",CTP,Rewards on delegation.
flaxz,"39,396",CTP,Rewards on delegation.
fiberfrau,"6,664",CTP,Rewards on delegation.
certain,"11,076",CTP,Rewards on delegation.
reeta0119,"12,714",CTP,Rewards on delegation.
paulcaraway,"11,834",CTP,Rewards on delegation.
elianaicgomes,"8,138",CTP,Rewards on delegation.
pixiepost,"16,152",CTP,Rewards on delegation.
guurry123,"4,187",CTP,Rewards on delegation.
mariannewest,"2,781",CTP,Rewards on delegation.
ph1102,"27,611",CTP,Rewards on delegation.
invest4free,"1,39",CTP,Rewards on delegation.
imfarhad,"4,067",CTP,Rewards on delegation.
tristancarax,"13,802",CTP,Rewards on delegation.
arena10,"0,419",CTP,Rewards on delegation.
quinnertronics,"0,367",CTP,Rewards on delegation.
iamraincrystal,"6,874",CTP,Rewards on delegation.
athomewithcraig,"5,379",CTP,Rewards on delegation.
justclickindiva,"6,769",CTP,Rewards on delegation.
cliffagreen,"6,687",CTP,Rewards on delegation.
jacoalberts,"0,551",CTP,Rewards on delegation.
thatcryptodave,"24,946",CTP,Rewards on delegation.
regenerette,"0,813",CTP,Rewards on delegation.
johnsdowie,"2,676",CTP,Rewards on delegation.
kingneptune,"4,014",CTP,Rewards on delegation.
alente,"0,131",CTP,Rewards on delegation.
flaxz.alive,"0,209",CTP,Rewards on delegation.
iamalivechalleng,"5,311",CTP,Rewards on delegation.
alive.chat,"0,787",CTP,Rewards on delegation.
aliveprojects,"0,262",CTP,Rewards on delegation.
flaxz.ctp,"0,157",CTP,Rewards on delegation.
wearealive,"0,865",CTP,Rewards on delegation.
alovely,"0,551",CTP,Rewards on delegation.
myjob,"39,389",CTP,Rewards on delegation.
benthomaswwd,"0,862",CTP,Rewards on delegation.
elizacheng,"12,043",CTP,Rewards on delegation.
sydney.potts,"9,262",CTP,Rewards on delegation.
ana-maria,"0,262",CTP,Rewards on delegation.
blue.rabbit,"13,318",CTP,Rewards on delegation.
davidthompson57,"10,627",CTP,Rewards on delegation.
heartbeatonhive,"0,131",CTP,Rewards on delegation.
ironshield,"2,646",CTP,Rewards on delegation.
fragozar01,"1,049",CTP,Rewards on delegation.
littlebee4,"0,078",CTP,Rewards on delegation.
mypathtofire,"2,623",CTP,Rewards on delegation.
pablodare,"0,749",CTP,Rewards on delegation.
notaboutme,"0,393",CTP,Rewards on delegation.
adysscheryl,"0,236",CTP,Rewards on delegation.
x9ed1732b,"13,134",CTP,Rewards on delegation.
lv99-rd-chocobo,"0,131",CTP,Rewards on delegation.
assassyn,"0,749",CTP,Rewards on delegation.
dontcare89,"2,623",CTP,Rewards on delegation.
alokkumar121,"14,2919",ALIVE,Rewards on delegation.
flaxz,"30,6548",ALIVE,Rewards on delegation.
fiberfrau,"5,1859",ALIVE,Rewards on delegation.
certain,"8,6189",ALIVE,Rewards on delegation.
reeta0119,"9,8935",ALIVE,Rewards on delegation.
paulcaraway,"9,2081",ALIVE,Rewards on delegation.
elianaicgomes,"6,3322",ALIVE,Rewards on delegation.
pixiepost,"12,5681",ALIVE,Rewards on delegation.
guurry123,"3,2579",ALIVE,Rewards on delegation.
mariannewest,"2,1642",ALIVE,Rewards on delegation.
ph1102,"21,4846",ALIVE,Rewards on delegation.
invest4free,"1,0821",ALIVE,Rewards on delegation.
imfarhad,"3,1646",ALIVE,Rewards on delegation.
tristancarax,"10,7394",ALIVE,Rewards on delegation.
arena10,"0,3266",ALIVE,Rewards on delegation.
quinnertronics,"0,2858",ALIVE,Rewards on delegation.
iamraincrystal,"5,3492",ALIVE,Rewards on delegation.
athomewithcraig,"4,1855",ALIVE,Rewards on delegation.
justclickindiva,"5,2676",ALIVE,Rewards on delegation.
cliffagreen,"5,2034",ALIVE,Rewards on delegation.
jacoalberts,"0,4287",ALIVE,Rewards on delegation.
thatcryptodave,"19,4108",ALIVE,Rewards on delegation.
regenerette,"0,6329",ALIVE,Rewards on delegation.
johnsdowie,"2,0825",ALIVE,Rewards on delegation.
kingneptune,"3,1238",ALIVE,Rewards on delegation.
alente,"0,102",ALIVE,Rewards on delegation.
flaxz.alive,"0,1633",ALIVE,Rewards on delegation.
iamalivechalleng,"4,133",ALIVE,Rewards on delegation.
alive.chat,"0,6125",ALIVE,Rewards on delegation.
aliveprojects,"0,2041",ALIVE,Rewards on delegation.
flaxz.ctp,"0,1225",ALIVE,Rewards on delegation.
wearealive,"0,6737",ALIVE,Rewards on delegation.
alovely,"0,4287",ALIVE,Rewards on delegation.
myjob,"30,649",ALIVE,Rewards on delegation.
benthomaswwd,"0,6708",ALIVE,Rewards on delegation.
elizacheng,"9,3714",ALIVE,Rewards on delegation.
sydney.potts,"7,2072",ALIVE,Rewards on delegation.
ana-maria,"0,2041",ALIVE,Rewards on delegation.
blue.rabbit,"10,3631",ALIVE,Rewards on delegation.
davidthompson57,"8,2689",ALIVE,Rewards on delegation.
heartbeatonhive,"0,102",ALIVE,Rewards on delegation.
ironshield,"2,0592",ALIVE,Rewards on delegation.
fragozar01,"0,8166",ALIVE,Rewards on delegation.
littlebee4,"0,0612",ALIVE,Rewards on delegation.
mypathtofire,"2,0417",ALIVE,Rewards on delegation.
pablodare,"0,5833",ALIVE,Rewards on delegation.
notaboutme,"0,3062",ALIVE,Rewards on delegation.
adysscheryl,"0,1837",ALIVE,Rewards on delegation.
x9ed1732b,"10,2202",ALIVE,Rewards on delegation.
lv99-rd-chocobo,"0,102",ALIVE,Rewards on delegation.
assassyn,"0,5833",ALIVE,Rewards on delegation.
dontcare89,"2,0417",ALIVE,Rewards on delegation.
alokkumar121,"0,05872421",AWESOME,Rewards on delegation.
flaxz,"0,12595745",AWESOME,Rewards on delegation.
fiberfrau,"0,0213085",AWESOME,Rewards on delegation.
certain,"0,03541429",AWESOME,Rewards on delegation.
reeta0119,"0,04065154",AWESOME,Rewards on delegation.
paulcaraway,"0,03783517",AWESOME,Rewards on delegation.
elianaicgomes,"0,02601842",AWESOME,Rewards on delegation.
pixiepost,"0,05164135",AWESOME,Rewards on delegation.
guurry123,"0,01338672",AWESOME,Rewards on delegation.
mariannewest,"0,00889252",AWESOME,Rewards on delegation.
ph1102,"0,08827808",AWESOME,Rewards on delegation.
invest4free,"0,00444626",AWESOME,Rewards on delegation.
imfarhad,"0,01300321",AWESOME,Rewards on delegation.
tristancarax,"0,04412705",AWESOME,Rewards on delegation.
arena10,"0,00134226",AWESOME,Rewards on delegation.
quinnertronics,"0,00117448",AWESOME,Rewards on delegation.
iamraincrystal,"0,02197963",AWESOME,Rewards on delegation.
athomewithcraig,"0,0171978",AWESOME,Rewards on delegation.
justclickindiva,"0,02164406",AWESOME,Rewards on delegation.
cliffagreen,"0,0213804",AWESOME,Rewards on delegation.
jacoalberts,"0,00176172",AWESOME,Rewards on delegation.
thatcryptodave,"0,07975707",AWESOME,Rewards on delegation.
regenerette,"0,00260064",AWESOME,Rewards on delegation.
johnsdowie,"0,00855695",AWESOME,Rewards on delegation.
kingneptune,"0,01283543",AWESOME,Rewards on delegation.
alente,"0,00041945",AWESOME,Rewards on delegation.
flaxz.alive,"0,00067113",AWESOME,Rewards on delegation.
iamalivechalleng,"0,01698208",AWESOME,Rewards on delegation.
alive.chat,"0,00251675",AWESOME,Rewards on delegation.
aliveprojects,"0,00083891",AWESOME,Rewards on delegation.
flaxz.ctp,"0,00050335",AWESOME,Rewards on delegation.
wearealive,"0,00276842",AWESOME,Rewards on delegation.
alovely,"0,00176172",AWESOME,Rewards on delegation.
myjob,"0,12593348",AWESOME,Rewards on delegation.
benthomaswwd,"0,00275644",AWESOME,Rewards on delegation.
elizacheng,"0,0385063",AWESOME,Rewards on delegation.
sydney.potts,"0,02961378",AWESOME,Rewards on delegation.
ana-maria,"0,00083891",AWESOME,Rewards on delegation.
blue.rabbit,"0,04258105",AWESOME,Rewards on delegation.
davidthompson57,"0,03397615",AWESOME,Rewards on delegation.
heartbeatonhive,"0,00041945",AWESOME,Rewards on delegation.
ironshield,"0,00846108",AWESOME,Rewards on delegation.
fragozar01,"0,00335566",AWESOME,Rewards on delegation.
littlebee4,"0,00025167",AWESOME,Rewards on delegation.
mypathtofire,"0,00838917",AWESOME,Rewards on delegation.
pablodare,"0,0023969",AWESOME,Rewards on delegation.
notaboutme,"0,00125837",AWESOME,Rewards on delegation.
adysscheryl,"0,00075502",AWESOME,Rewards on delegation.
x9ed1732b,"0,0419938",AWESOME,Rewards on delegation.
lv99-rd-chocobo,"0,00041945",AWESOME,Rewards on delegation.
assassyn,"0,0023969",AWESOME,Rewards on delegation.
dontcare89,"0,00838917",AWESOME,Rewards on delegation.
alokkumar121,"3,00416",CCC,Rewards on delegation.
flaxz,"6,44362",CCC,Rewards on delegation.
fiberfrau,"1,09008",CCC,Rewards on delegation.
certain,"1,81169",CCC,Rewards on delegation.
reeta0119,"2,07961",CCC,Rewards on delegation.
paulcaraway,"1,93554",CCC,Rewards on delegation.
elianaicgomes,"1,33102",CCC,Rewards on delegation.
pixiepost,"2,64182",CCC,Rewards on delegation.
guurry123,"0,68482",CCC,Rewards on delegation.
mariannewest,"0,45491",CCC,Rewards on delegation.
ph1102,"4,51605",CCC,Rewards on delegation.
invest4free,"0,22745",CCC,Rewards on delegation.
imfarhad,"0,6652",CCC,Rewards on delegation.
tristancarax,"2,25741",CCC,Rewards on delegation.
arena10,"0,06866",CCC,Rewards on delegation.
quinnertronics,"0,06008",CCC,Rewards on delegation.
iamraincrystal,"1,12441",CCC,Rewards on delegation.
athomewithcraig,"0,87979",CCC,Rewards on delegation.
justclickindiva,"1,10724",CCC,Rewards on delegation.
cliffagreen,"1,09376",CCC,Rewards on delegation.
jacoalberts,"0,09012",CCC,Rewards on delegation.
thatcryptodave,"4,08014",CCC,Rewards on delegation.
regenerette,"0,13304",CCC,Rewards on delegation.
johnsdowie,"0,43774",CCC,Rewards on delegation.
kingneptune,"0,65662",CCC,Rewards on delegation.
alente,"0,02145",CCC,Rewards on delegation.
flaxz.alive,"0,03433",CCC,Rewards on delegation.
iamalivechalleng,"0,86875",CCC,Rewards on delegation.
alive.chat,"0,12874",CCC,Rewards on delegation.
aliveprojects,"0,04291",CCC,Rewards on delegation.
flaxz.ctp,"0,02574",CCC,Rewards on delegation.
wearealive,"0,14162",CCC,Rewards on delegation.
alovely,"0,09012",CCC,Rewards on delegation.
myjob,"6,4424",CCC,Rewards on delegation.
benthomaswwd,"0,14101",CCC,Rewards on delegation.
elizacheng,"1,96987",CCC,Rewards on delegation.
sydney.potts,"1,51495",CCC,Rewards on delegation.
ana-maria,"0,04291",CCC,Rewards on delegation.
blue.rabbit,"2,17832",CCC,Rewards on delegation.
davidthompson57,"1,73812",CCC,Rewards on delegation.
heartbeatonhive,"0,02145",CCC,Rewards on delegation.
ironshield,"0,43284",CCC,Rewards on delegation.
