account,amount,symbol,memo
alokkumar121,"14,588",CTP,Rewards on delegation.
flaxz,"21,05",CTP,Rewards on delegation.
fiberfrau,"5,294",CTP,Rewards on delegation.
certain,"8,803",CTP,Rewards on delegation.
reeta0119,"10,106",CTP,Rewards on delegation.
paulcaraway,"9,392",CTP,Rewards on delegation.
elianaicgomes,"6,471",CTP,Rewards on delegation.
pixiepost,"12,838",CTP,Rewards on delegation.
guurry123,"3,319",CTP,Rewards on delegation.
mariannewest,"2,212",CTP,Rewards on delegation.
ph1102,"21,936",CTP,Rewards on delegation.
invest4free,"1,092",CTP,Rewards on delegation.
imfarhad,"3,214",CTP,Rewards on delegation.
torrey.blog,"21,116",CTP,Rewards on delegation.
gadrian-sp,"21,116",CTP,Rewards on delegation.
tristancarax,"10,968",CTP,Rewards on delegation.
arena10,"0,336",CTP,Rewards on delegation.
quinnertronics,"0,294",CTP,Rewards on delegation.
iamraincrystal,"5,463",CTP,Rewards on delegation.
athomewithcraig,"4,286",CTP,Rewards on delegation.
justclickindiva,"5,379",CTP,Rewards on delegation.
cliffagreen,"5,316",CTP,Rewards on delegation.
jacoalberts,"0,441",CTP,Rewards on delegation.
thatcryptodave,"16,734",CTP,Rewards on delegation.
regenerette,"0,651",CTP,Rewards on delegation.
cccf,"5,282",CTP,Rewards on delegation.
johnsdowie,"2,122",CTP,Rewards on delegation.
kingneptune,"3,193",CTP,Rewards on delegation.
alente,"0,105",CTP,Rewards on delegation.
flaxz.alive,"0,168",CTP,Rewards on delegation.
iamalivechalleng,"4,223",CTP,Rewards on delegation.
alive.chat,"0,609",CTP,Rewards on delegation.
aliveprojects,"0,21",CTP,Rewards on delegation.
flaxz.ctp,"0,126",CTP,Rewards on delegation.
wearealive,"0,672",CTP,Rewards on delegation.
alovely,"0,441",CTP,Rewards on delegation.
myjob,"10,674",CTP,Rewards on delegation.
benthomaswwd,"0,315",CTP,Rewards on delegation.
elizacheng,"9,56",CTP,Rewards on delegation.
sydney.potts,"7,372",CTP,Rewards on delegation.
ana-maria,"0,21",CTP,Rewards on delegation.
blue.rabbit,"10,586",CTP,Rewards on delegation.
davidthompson57,"8,446",CTP,Rewards on delegation.
heartbeatonhive,"0,105",CTP,Rewards on delegation.
ironshield,"2,101",CTP,Rewards on delegation.
fragozar01,"0,84",CTP,Rewards on delegation.
alokkumar121,"12,865",ALIVE,Rewards on delegation.
flaxz,"18,565",ALIVE,Rewards on delegation.
fiberfrau,"4,669",ALIVE,Rewards on delegation.
certain,"7,764",ALIVE,Rewards on delegation.
reeta0119,"8,913",ALIVE,Rewards on delegation.
paulcaraway,"8,283",ALIVE,Rewards on delegation.
elianaicgomes,"5,707",ALIVE,Rewards on delegation.
pixiepost,"11,322",ALIVE,Rewards on delegation.
guurry123,"2,927",ALIVE,Rewards on delegation.
mariannewest,"1,951",ALIVE,Rewards on delegation.
ph1102,"19,346",ALIVE,Rewards on delegation.
invest4free,"0,963",ALIVE,Rewards on delegation.
imfarhad,"2,835",ALIVE,Rewards on delegation.
torrey.blog,"18,623",ALIVE,Rewards on delegation.
gadrian-sp,"18,623",ALIVE,Rewards on delegation.
tristancarax,"9,673",ALIVE,Rewards on delegation.
arena10,"0,296",ALIVE,Rewards on delegation.
quinnertronics,"0,259",ALIVE,Rewards on delegation.
iamraincrystal,"4,818",ALIVE,Rewards on delegation.
athomewithcraig,"3,78",ALIVE,Rewards on delegation.
justclickindiva,"4,743",ALIVE,Rewards on delegation.
cliffagreen,"4,688",ALIVE,Rewards on delegation.
jacoalberts,"0,389",ALIVE,Rewards on delegation.
thatcryptodave,"14,758",ALIVE,Rewards on delegation.
regenerette,"0,574",ALIVE,Rewards on delegation.
cccf,"4,659",ALIVE,Rewards on delegation.
johnsdowie,"1,871",ALIVE,Rewards on delegation.
kingneptune,"2,816",ALIVE,Rewards on delegation.
alente,"0,092",ALIVE,Rewards on delegation.
flaxz.alive,"0,148",ALIVE,Rewards on delegation.
iamalivechalleng,"3,724",ALIVE,Rewards on delegation.
alive.chat,"0,537",ALIVE,Rewards on delegation.
aliveprojects,"0,185",ALIVE,Rewards on delegation.
flaxz.ctp,"0,111",ALIVE,Rewards on delegation.
wearealive,"0,592",ALIVE,Rewards on delegation.
alovely,"0,389",ALIVE,Rewards on delegation.
myjob,"9,413",ALIVE,Rewards on delegation.
benthomaswwd,"0,277",ALIVE,Rewards on delegation.
elizacheng,"8,431",ALIVE,Rewards on delegation.
sydney.potts,"6,501",ALIVE,Rewards on delegation.
ana-maria,"0,185",ALIVE,Rewards on delegation.
blue.rabbit,"9,337",ALIVE,Rewards on delegation.
davidthompson57,"7,449",ALIVE,Rewards on delegation.
heartbeatonhive,"0,092",ALIVE,Rewards on delegation.
ironshield,"1,853",ALIVE,Rewards on delegation.
fragozar01,"0,741",ALIVE,Rewards on delegation.
alokkumar121,"0,02001561",AWESOME,Rewards on delegation.
flaxz,"0,02888261",AWESOME,Rewards on delegation.
fiberfrau,"0,00726492",AWESOME,Rewards on delegation.
certain,"0,01207938",AWESOME,Rewards on delegation.
reeta0119,"0,01386678",AWESOME,Rewards on delegation.
paulcaraway,"0,01288659",AWESOME,Rewards on delegation.
elianaicgomes,"0,00887935",AWESOME,Rewards on delegation.
pixiepost,"0,01761456",AWESOME,Rewards on delegation.
guurry123,"0,00455499",AWESOME,Rewards on delegation.
mariannewest,"0,00303528",AWESOME,Rewards on delegation.
ph1102,"0,03009755",AWESOME,Rewards on delegation.
invest4free,"0,00149911",AWESOME,Rewards on delegation.
imfarhad,"0,00441084",AWESOME,Rewards on delegation.
torrey.blog,"0,02897322",AWESOME,Rewards on delegation.
gadrian-sp,"0,02897322",AWESOME,Rewards on delegation.
tristancarax,"0,01504877",AWESOME,Rewards on delegation.
arena10,"0,00046126",AWESOME,Rewards on delegation.
quinnertronics,"0,0004036",AWESOME,Rewards on delegation.
iamraincrystal,"0,00749555",AWESOME,Rewards on delegation.
athomewithcraig,"0,00588113",AWESOME,Rewards on delegation.
justclickindiva,"0,00738024",AWESOME,Rewards on delegation.
cliffagreen,"0,00729375",AWESOME,Rewards on delegation.
jacoalberts,"0,00060541",AWESOME,Rewards on delegation.
thatcryptodave,"0,02296029",AWESOME,Rewards on delegation.
regenerette,"0,0008937",AWESOME,Rewards on delegation.
cccf,"0,00724845",AWESOME,Rewards on delegation.
johnsdowie,"0,00291173",AWESOME,Rewards on delegation.
kingneptune,"0,00438201",AWESOME,Rewards on delegation.
alente,"0,00014414",AWESOME,Rewards on delegation.
flaxz.alive,"0,00023063",AWESOME,Rewards on delegation.
iamalivechalleng,"0,00579464",AWESOME,Rewards on delegation.
alive.chat,"0,00083604",AWESOME,Rewards on delegation.
aliveprojects,"0,00028829",AWESOME,Rewards on delegation.
flaxz.ctp,"0,00017297",AWESOME,Rewards on delegation.
wearealive,"0,00092253",AWESOME,Rewards on delegation.
alovely,"0,00060541",AWESOME,Rewards on delegation.
myjob,"0,01464517",AWESOME,Rewards on delegation.
benthomaswwd,"0,00043243",AWESOME,Rewards on delegation.
