account,amount,symbol,memo
alokkumar121,"18,335",CTP,Rewards on delegation.
flaxz,"26,385",CTP,Rewards on delegation.
fiberfrau,"6,655",CTP,Rewards on delegation.
certain,"11,063",CTP,Rewards on delegation.
reeta0119,"12,679",CTP,Rewards on delegation.
paulcaraway,"11,811",CTP,Rewards on delegation.
elianaicgomes,"8,128",CTP,Rewards on delegation.
pixiepost,"16,126",CTP,Rewards on delegation.
guurry123,"4,182",CTP,Rewards on delegation.
mariannewest,"2,788",CTP,Rewards on delegation.
ph1102,"27,558",CTP,Rewards on delegation.
invest4free,"1,367",CTP,Rewards on delegation.
imfarhad,"4,051",CTP,Rewards on delegation.
torrey.blog,"26,517",CTP,Rewards on delegation.
gadrian-sp,"26,363",CTP,Rewards on delegation.
tristancarax,"13,784",CTP,Rewards on delegation.
arena10,"0,42",CTP,Rewards on delegation.
quinnertronics,"0,368",CTP,Rewards on delegation.
iamraincrystal,"6,866",CTP,Rewards on delegation.
athomewithcraig,"5,366",CTP,Rewards on delegation.
justclickindiva,"6,76",CTP,Rewards on delegation.
cliffagreen,"6,655",CTP,Rewards on delegation.
jacoalberts,"0,552",CTP,Rewards on delegation.
thatcryptodave,"22,657",CTP,Rewards on delegation.
regenerette,"0,815",CTP,Rewards on delegation.
johnsdowie,"2,657",CTP,Rewards on delegation.
kingneptune,"3,998",CTP,Rewards on delegation.
alente,"0,131",CTP,Rewards on delegation.
flaxz.alive,"0,21",CTP,Rewards on delegation.
iamalivechalleng,"5,314",CTP,Rewards on delegation.
alive.chat,"0,762",CTP,Rewards on delegation.
aliveprojects,"0,263",CTP,Rewards on delegation.
flaxz.ctp,"0,157",CTP,Rewards on delegation.
wearealive,"0,841",CTP,Rewards on delegation.
alovely,"0,552",CTP,Rewards on delegation.
myjob,"13,416",CTP,Rewards on delegation.
benthomaswwd,"0,394",CTP,Rewards on delegation.
elizacheng,"12,022",CTP,Rewards on delegation.
sydney.potts,"9,26",CTP,Rewards on delegation.
ana-maria,"0,263",CTP,Rewards on delegation.
blue.rabbit,"13,285",CTP,Rewards on delegation.
davidthompson57,"10,601",CTP,Rewards on delegation.
heartbeatonhive,"0,131",CTP,Rewards on delegation.
ironshield,"2,63",CTP,Rewards on delegation.
fragozar01,"1,052",CTP,Rewards on delegation.
littlebee4,"0,078",CTP,Rewards on delegation.
mypathtofire,"0,413",CTP,Rewards on delegation.
alokkumar121,"8,953",ALIVE,Rewards on delegation.
flaxz,"12,883",ALIVE,Rewards on delegation.
fiberfrau,"3,249",ALIVE,Rewards on delegation.
certain,"5,402",ALIVE,Rewards on delegation.
reeta0119,"6,191",ALIVE,Rewards on delegation.
paulcaraway,"5,767",ALIVE,Rewards on delegation.
elianaicgomes,"3,969",ALIVE,Rewards on delegation.
pixiepost,"7,874",ALIVE,Rewards on delegation.
guurry123,"2,042",ALIVE,Rewards on delegation.
mariannewest,"1,361",ALIVE,Rewards on delegation.
ph1102,"13,456",ALIVE,Rewards on delegation.
invest4free,"0,667",ALIVE,Rewards on delegation.
imfarhad,"1,978",ALIVE,Rewards on delegation.
torrey.blog,"12,947",ALIVE,Rewards on delegation.
gadrian-sp,"12,872",ALIVE,Rewards on delegation.
tristancarax,"6,73",ALIVE,Rewards on delegation.
arena10,"0,205",ALIVE,Rewards on delegation.
quinnertronics,"0,179",ALIVE,Rewards on delegation.
iamraincrystal,"3,352",ALIVE,Rewards on delegation.
athomewithcraig,"2,62",ALIVE,Rewards on delegation.
justclickindiva,"3,301",ALIVE,Rewards on delegation.
cliffagreen,"3,249",ALIVE,Rewards on delegation.
jacoalberts,"0,269",ALIVE,Rewards on delegation.
thatcryptodave,"11,063",ALIVE,Rewards on delegation.
regenerette,"0,398",ALIVE,Rewards on delegation.
johnsdowie,"1,297",ALIVE,Rewards on delegation.
kingneptune,"1,952",ALIVE,Rewards on delegation.
alente,"0,064",ALIVE,Rewards on delegation.
flaxz.alive,"0,102",ALIVE,Rewards on delegation.
iamalivechalleng,"2,594",ALIVE,Rewards on delegation.
alive.chat,"0,372",ALIVE,Rewards on delegation.
aliveprojects,"0,128",ALIVE,Rewards on delegation.
flaxz.ctp,"0,077",ALIVE,Rewards on delegation.
wearealive,"0,411",ALIVE,Rewards on delegation.
alovely,"0,269",ALIVE,Rewards on delegation.
myjob,"6,55",ALIVE,Rewards on delegation.
benthomaswwd,"0,192",ALIVE,Rewards on delegation.
elizacheng,"5,87",ALIVE,Rewards on delegation.
sydney.potts,"4,521",ALIVE,Rewards on delegation.
ana-maria,"0,128",ALIVE,Rewards on delegation.
blue.rabbit,"6,486",ALIVE,Rewards on delegation.
davidthompson57,"5,176",ALIVE,Rewards on delegation.
heartbeatonhive,"0,064",ALIVE,Rewards on delegation.
ironshield,"1,284",ALIVE,Rewards on delegation.
fragozar01,"0,513",ALIVE,Rewards on delegation.
littlebee4,"0,038",ALIVE,Rewards on delegation.
mypathtofire,"0,201",ALIVE,Rewards on delegation.
alokkumar121,"0,03607977",AWESOME,Rewards on delegation.
flaxz,"0,05191967",AWESOME,Rewards on delegation.
fiberfrau,"0,01309638",AWESOME,Rewards on delegation.
certain,"0,02177061",AWESOME,Rewards on delegation.
reeta0119,"0,02495042",AWESOME,Rewards on delegation.
paulcaraway,"0,0232422",AWESOME,Rewards on delegation.
elianaicgomes,"0,01599519",AWESOME,Rewards on delegation.
pixiepost,"0,03173156",AWESOME,Rewards on delegation.
guurry123,"0,00823053",AWESOME,Rewards on delegation.
mariannewest,"0,00548702",AWESOME,Rewards on delegation.
ph1102,"0,05422688",AWESOME,Rewards on delegation.
invest4free,"0,00269174",AWESOME,Rewards on delegation.
imfarhad,"0,00797171",AWESOME,Rewards on delegation.
torrey.blog,"0,05217849",AWESOME,Rewards on delegation.
gadrian-sp,"0,0518753",AWESOME,Rewards on delegation.
tristancarax,"0,02712453",AWESOME,Rewards on delegation.
arena10,"0,00082823",AWESOME,Rewards on delegation.
quinnertronics,"0,0007247",AWESOME,Rewards on delegation.
iamraincrystal,"0,0135105",AWESOME,Rewards on delegation.
athomewithcraig,"0,01055993",AWESOME,Rewards on delegation.
justclickindiva,"0,01330344",AWESOME,Rewards on delegation.
cliffagreen,"0,01309638",AWESOME,Rewards on delegation.
jacoalberts,"0,00108705",AWESOME,Rewards on delegation.
thatcryptodave,"0,04458391",AWESOME,Rewards on delegation.
regenerette,"0,00160469",AWESOME,Rewards on delegation.
johnsdowie,"0,0052282",AWESOME,Rewards on delegation.
kingneptune,"0,00786818",AWESOME,Rewards on delegation.
alente,"0,00025882",AWESOME,Rewards on delegation.
flaxz.alive,"0,00041411",AWESOME,Rewards on delegation.
iamalivechalleng,"0,0104564",AWESOME,Rewards on delegation.
alive.chat,"0,00150116",AWESOME,Rewards on delegation.
aliveprojects,"0,00051764",AWESOME,Rewards on delegation.
flaxz.ctp,"0,00031058",AWESOME,Rewards on delegation.
wearealive,"0,00165646",AWESOME,Rewards on delegation.
alovely,"0,00108705",AWESOME,Rewards on delegation.
myjob,"0,02639983",AWESOME,Rewards on delegation.
benthomaswwd,"0,00077646",AWESOME,Rewards on delegation.
elizacheng,"0,02365632",AWESOME,Rewards on delegation.
sydney.potts,"0,01822106",AWESOME,Rewards on delegation.
ana-maria,"0,00051764",AWESOME,Rewards on delegation.
blue.rabbit,"0,02614101",AWESOME,Rewards on delegation.
davidthompson57,"0,02086104",AWESOME,Rewards on delegation.
heartbeatonhive,"0,00025882",AWESOME,Rewards on delegation.
ironshield,"0,00517643",AWESOME,Rewards on delegation.
fragozar01,"0,00207057",AWESOME,Rewards on delegation.
littlebee4,"0,00015529",AWESOME,Rewards on delegation.
mypathtofire,"0,00081344",AWESOME,Rewards on delegation.
alokkumar121,"26,56463",CCC,Rewards on delegation.
flaxz,"38,22716",CCC,Rewards on delegation.
fiberfrau,"9,64254",CCC,Rewards on delegation.
certain,"16,02916",CCC,Rewards on delegation.
reeta0119,"18,37038",CCC,Rewards on delegation.
paulcaraway,"17,11265",CCC,Rewards on delegation.
elianaicgomes,"11,77686",CCC,Rewards on delegation.
pixiepost,"23,36316",CCC,Rewards on delegation.
guurry123,"6,05993",CCC,Rewards on delegation.
mariannewest,"4,03995",CCC,Rewards on delegation.
ph1102,"39,9259",CCC,Rewards on delegation.
invest4free,"1,98186",CCC,Rewards on delegation.
imfarhad,"5,86937",CCC,Rewards on delegation.
torrey.blog,"38,41772",CCC,Rewards on delegation.
gadrian-sp,"38,19449",CCC,Rewards on delegation.
tristancarax,"19,97111",CCC,Rewards on delegation.
arena10,"0,6098",CCC,Rewards on delegation.
quinnertronics,"0,53357",CCC,Rewards on delegation.
iamraincrystal,"9,94744",CCC,Rewards on delegation.
athomewithcraig,"7,77501",CCC,Rewards on delegation.
justclickindiva,"9,79499",CCC,Rewards on delegation.
cliffagreen,"9,64254",CCC,Rewards on delegation.
jacoalberts,"0,80036",CCC,Rewards on delegation.
thatcryptodave,"32,82602",CCC,Rewards on delegation.
regenerette,"1,18149",CCC,Rewards on delegation.
johnsdowie,"3,84939",CCC,Rewards on delegation.
kingneptune,"5,79314",CCC,Rewards on delegation.
alente,"0,19056",CCC,Rewards on delegation.
flaxz.alive,"0,3049",CCC,Rewards on delegation.
iamalivechalleng,"7,69879",CCC,Rewards on delegation.
alive.chat,"1,10527",CCC,Rewards on delegation.
aliveprojects,"0,38112",CCC,Rewards on delegation.
flaxz.ctp,"0,22867",CCC,Rewards on delegation.
wearealive,"1,21961",CCC,Rewards on delegation.
alovely,"0,80036",CCC,Rewards on delegation.
myjob,"19,43753",CCC,Rewards on delegation.
benthomaswwd,"0,57169",CCC,Rewards on delegation.
elizacheng,"17,41755",CCC,Rewards on delegation.
sydney.potts,"13,41571",CCC,Rewards on delegation.
ana-maria,"0,38112",CCC,Rewards on delegation.
blue.rabbit,"19,24697",CCC,Rewards on delegation.
davidthompson57,"15,35946",CCC,Rewards on delegation.
heartbeatonhive,"0,19056",CCC,Rewards on delegation.
ironshield,"3,81128",CCC,Rewards on delegation.
fragozar01,"1,52451",CCC,Rewards on delegation.
littlebee4,"0,11433",CCC,Rewards on delegation.
mypathtofire,"0,59891",CCC,Rewards on delegation.
alokkumar121,"1932,541",SPORTS,Rewards on delegation.
flaxz,"2780,974",SPORTS,Rewards on delegation.
fiberfrau,"701,482",SPORTS,Rewards on delegation.
certain,"1166,1",SPORTS,Rewards on delegation.
reeta0119,"1336,42",SPORTS,Rewards on delegation.
