account,ownedStake
flaxz.alive,"115063,3417"
hafiz34,"77765,4478"
jlufer,"76322,04"
iamraincrystal,"57343,2326"
aliveprojects,"56561,508"
threesteps,"56345,6396"
iamalivechalleng,"53609,0356"
pwbanker,"45088,3"
gurseerat,"40780,681"
bradleyarrow,"36714,4644"
lukeisalive,"36400,546"
kingneptune,"28387,1785"
benthomaswwd,"27627,7765"
ironshield,"27462,1018"
edgerik,"23099,8033"
imfarhad,"20883,3405"
maddogmike,"20062,4013"
zombiepatrol,"20000,0"
darmst5339,"19559,2886"
mypathtofire,"17266,1474"
aliveandthriving,"16232,4311"
davidthompson57,"14946,3371"
harpreetjanda,"14439,7942"
jimmy.adames,"14258,7291"
hive-112281,"12315,0775"
ana-maria,"12050,0"
vocup,"11910,0"
noctury,"11755,4953"
davidxxl,"11299,2752"
gestion.alive,"11204,9227"
thisisawesome,"10912,268"
alive.chat,"10230,6202"
manuvert,"9928,1074"
chapelle,"9697,9677"
heartbeatonhive,"9452,2681"
lolz.alive,"9071,8238"
yeckingo1,"8894,3563"
tydynrain,"8712,5324"
master-lamps,"7688,874"
awah,"7492,2196"
stdd,"7407,207"
hivecurious,"7246,0"
chaosmagic23,"7166,2913"
saboin.alive,"7038,4391"
jmis101,"7037,5708"
lisamgentile1961,"6794,0747"
d00k13,"6558,913"
captain.alive,"6197,4038"
dibblers.dabs,"6136,6713"
steem-holder,"5891,0"
rcaine,"5808,8684"
hive.pizza,"5778,674"
magicalive,"5606,8084"
flaxz,"5530,0"
beststart,"5154,3488"
ddn688,"5136,9327"
alokkumar121,"5071,0193"
tokenpimp,"5055,2591"
elianaicgomes,"5031,001"
flaxz.ctp,"5004,4"
alive.voter,"4997,0373"
heruvim1978,"4916,3725"
hankanon,"4800,9168"
toekins,"4739,6857"
newigennity,"4659,7852"
ben.haase,"4634,1028"
pedrobrito2004,"4458,0844"
merthin,"4290,2413"
justclickindiva,"4255,264"
lightcaptured,"4188,1363"
adysscheryl,"4063,1"
raishmi,"3934,666"
synergized,"3931,4"
holovision.cash,"3872,7762"
hoosie,"3858,8706"
alzee,"3706,0701"
hirohurl,"3585,1024"
oasiskp2,"3534,4461"
myjob,"3344,0561"
gank,"3333,8955"
sammyhive,"3239,5097"
alex2alex,"3069,2538"
kam5iz,"3053,6439"
cursephantom,"2924,8"
caelum1infernum,"2874,0862"
tengolotodo,"2847,4614"
ctpsb.leo,"2802,4787"
elizabetamt,"2765,2561"
jacoalberts,"2748,3095"
ijelady,"2656,6468"
melinda010100,"2638,7123"
littlebee4,"2636,0551"
griega,"2627,808"
certain,"2624,7459"
wrestlingdesires,"2577,2038"
bambukah,"2501,9516"
new.things,"2471,9462"
guurry123,"2399,912"
captaincryptic,"2317,561"
liotes.alive,"2278,172"
rbhayes,"2261,5406"
sumatranate,"2256,0162"
epic-fail,"2255,527"
ilovewintergem,"2205,8476"
mirroredspork,"2202,1183"
b4phom3t,"2201,457"
vaynard86,"2183,2052"
points-fr,"2131,1834"
madame-cyntaia,"2113,5179"
karizma,"2091,4065"
myupvote2u,"2079,9058"
bearmol,"2079,169"
dragokazo,"2062,1626"
thoth442,"2049,2459"
stickupboys,"2000,2"
coininstant,"1907,162"
mlrequena78,"1886,751"
chmoen,"1880,5172"
eolianpariah2,"1859,0958"
macfit,"1855,7245"
palomap3,"1847,9345"
engilhramn,"1835,8389"
johnsdowie,"1833,3908"
kryptodenno,"1833,2006"
dailyspam,"1824,9"
mervinthepogi,"1751,3807"
tuisada,"1733,2812"
robertonis,"1708,0352"
moretea,"1705,3462"
vickoly,"1691,0252"
olujose6,"1664,172"
bechibenner,"1659,9665"
herculeand,"1603,1744"
metzli,"1601,3602"
mk992039,"1570,141"
kaseldz,"1560,6875"
sagarkothari88,"1554,2051"
clavdio75,"1552,5989"
tdctunes,"1504,7"
assassyn,"1491,0069"
mario89,"1465,0774"
cryptopsycho21,"1443,9054"
samsmith1971,"1421,598"
bajadera,"1410,0"
treefrognada,"1387,7922"
stevermac1966,"1351,6775"
hhayweaver,"1347,3083"
ekushya,"1341,1035"
consciouscat,"1329,5296"
wandrnrose7,"1308,3693"
alovely088,"1274,1497"
rickardoh,"1251,013"
hivetrending,"1226,489"
old-man-chu58,"1220,1529"
dragon-ti,"1193,9144"
faunobrujo,"1179,9625"
rarej,"1166,9508"
johnandgrace,"1162,3008"
duvinca,"1158,2899"
koussbar,"1141,33"
tunnelmotions,"1118,2384"
esteva1820,"1117,9017"
memess,"1106,3152"
celf.support,"1105,7578"
chuiiiiiiii,"1102,376"
jpiekiel,"1100,7"
libertycrypto27,"1098,2166"
beeber,"1097,9113"
dreamingirwin,"1090,646"
andy-plays,"1088,028"
allonyx.ngs,"1085,9553"
cwow2,"1073,5389"
tokutaro22,"1064,132"
forykw,"1058,948"
fantagira,"1056,5461"
lotto-de,"1044,0657"
badpupper,"1040,7209"
voltz-blag,"1026,8003"
savvyplayer,"1026,3294"
russellstockley,"1026,108"
vokus,"1025,3646"
onthemountain,"1022,9759"
howyf2,"1020,408"
kojiri,"1018,8705"
pixiepost,"1017,247"
dimascastillo90,"1017,2422"
dk1trade,"1011,746"
madushanka,"1011,5"
stewie.wieno,"1010,9531"
slothbuzz,"1009,1413"
iviaxpow3r,"1007,5456"
barski,"1005,3617"
gadrian,"1004,0079"
ahmadmanga,"1003,7"
roninrelax,"1003,6003"
kryptof,"1002,6"
yintercept,"1000,5032"
oscarps,"1000,4"
voltagrou,"1000,1"
pept,"1000,0"
neoxvoter,"1000,0"
hivecats,"1000,0"
imagenius.dac,"1000,0"
elyelma,"952,0486"
tagmout,"946,7598"
duke77,"941,9841"
blue.rabbit,"937,7623"
jfang003,"934,3978"
slothlydoesit,"916,8892"
gondek,"903,8137"
chocolatescorpi,"881,006"
yousafharoonkhan,"875,435"
luckyali,"875,135"
oredebby,"874,835"
aunik,"874,735"
steemer-sayu907,"874,635"
ennydee,"874,635"
captain-sam,"874,635"
hykss,"852,085"
investinthefutur,"845,6786"
osomar357,"833,0829"
moonthumb,"831,0"
keechadkikali,"830,8751"
nkemakonam89,"789,7704"
servelle,"780,9646"
sabihaislam,"733,758"
cryptounicorn420,"732,3368"
jeanlucsr,"727,419"
successchar,"727,1974"
iamjabez,"722,2908"
onewolfe,"721,4327"
zealous4ever,"716,3271"
nomaddreamer,"705,9173"
archon-mining,"704,6596"
azkabananas,"703,0069"
penyaircyber,"691,7601"
thatcryptodave,"687,8"
firealiean,"683,4198"
fruityfruitz,"675,7308"
albator85,"675,633"
sylmarill,"672,8371"
imno,"659,2237"
alente,"653,2544"
dkid14,"647,5216"
hannes-stoffel,"641,132"
firealien,"636,8723"
technicalside,"623,3498"
dailygiveaways,"617,3773"
sharkthelion,"615,191"
zekepickleman,"608,2645"
emaxisonline,"601,6841"
maurojd,"601,4989"
coquicoin,"585,3869"
efmm,"575,6838"
marshmellowman,"574,5576"
poolweb,"567,6771"
invest4free,"567,2862"
amberkashif,"566,22"
ifarmgirl,"565,5264"
supriya.gupta1,"564,554"
cooperclub,"552,125"
yhuddee111,"535,41"
k-banti,"534,144"
mr-chuks,"531,1363"
sandraa1,"530,0514"
r1s2g3,"521,8996"
germangenius,"514,848"
pob.curator,"511,8205"
archon-gov,"508,915"
miketr,"507,7245"
meanbees,"504,2019"
flemingfarm,"503,9082"
nahueldare3627,"503,1906"
ubani,"500,0"
myqlos,"500,0"
cmmndrbawang,"477,6773"
k5905200786,"465,7091"
generra-abraham,"461,5283"
brando28,"455,0792"
bigtakosensei,"455,0694"
cookaiss,"453,2524"
eddwood,"450,4004"
reeta0119,"449,9782"
wearealive,"446,9799"
bonnie30,"446,317"
ericburgoyne,"440,7955"
queercoin,"432,3957"
fantagira7,"431,2967"
martusamak,"427,8772"
felixgarciap,"425,9068"
ewkaw,"425,0381"
fiberfrau,"418,2759"
valerianis,"415,1374"
l337m45732,"414,111"
arpuch,"406,0313"
contagio,"404,6578"
syllem,"403,8624"
amakauz,"394,2238"
houhou,"388,1295"
nuthman,"383,569"
cptsilva,"382,3843"
psimpson67,"381,002"
kryptofire,"377,9178"
denmarkguy,"376,6527"
pof.alive,"375,4545"
temmylade,"364,0638"
helios.voter,"361,9868"
emjeak,"356,0921"
hivecoffee,"350,823"
daddydog,"350,0587"
sergey44,"346,2354"
uyobong,"340,9"
trentonlundy1,"339,7182"
ekushya.ctp,"339,658"
matthew1,"336,3434"
aslehansen,"335,8"
cryptosimplify,"327,8052"
makerhacks,"319,941"
robert0z,"317,5057"
fikif,"308,1346"
karla129,"302,8674"
aprilgillian,"301,6154"
definethedollar,"301,0771"
actifraenk,"300,3869"
misshugo,"300,0815"
elon.curator,"300,0"
drax,"299,9932"
nathanmars,"297,191"
berthold,"294,2077"
scottrohn,"293,514"
borniet,"293,2721"
starstrings01,"293,145"
mamasez,"291,545"
bonnierroberts,"291,545"
isiksenpalvoja,"286,2497"
ph1102,"283,34"
gidien,"278,148"
juanmiguelsalas,"277,639"
honeysaver.fund,"276,9085"
magicbeans,"275,7013"
thgaming,"273,2524"
cryptospa,"272,134"
forsakensushi,"265,4641"
eyewaa,"263,6065"
beeminer,"262,9298"
whitneyalexx,"258,7"
discohedge,"251,1309"
helios.trader,"250,0"
sydney.potts,"250,0"
florenceboens,"247,1446"
rosmadirazali,"242,2385"
zottone444,"242,0252"
jishan5,"241,3158"
lifeskills-tv,"238,9424"
biglove,"236,852"
adeife2,"235,0442"
