account,ownedStake
flaxz.alive,"115042,7417"
hafiz34,"82910,9403"
jlufer,"76319,74"
aliveprojects,"56553,808"
iamraincrystal,"56061,3326"
threesteps,"55278,8932"
iamalivechalleng,"53603,9356"
gurseerat,"37390,0541"
lukeisalive,"35628,946"
bradleyarrow,"35476,9904"
kingneptune,"26332,1925"
benthomaswwd,"25363,5651"
urri2020,"24763,952"
ironshield,"24068,7907"
edgerik,"20988,7033"
zombiepatrol,"20000,0"
maddogmike,"19530,2422"
imfarhad,"19355,7367"
darmst5339,"18305,7951"
masoom,"16694,1415"
mypathtofire,"14793,3027"
harpreetjanda,"14436,5942"
aliveandthriving,"14238,0083"
jimmy.adames,"12829,3317"
davidthompson57,"12616,0371"
ana-maria,"11650,0"
hive-112281,"11330,5875"
gestion.alive,"10739,9952"
vocup,"10498,1122"
noctury,"10423,1799"
thisisawesome,"10416,6681"
alive.chat,"10130,2202"
davidxxl,"9544,3131"
manuvert,"8725,977"
chapelle,"8326,7164"
yeckingo1,"8281,3538"
lolz.alive,"7955,6352"
heartbeatonhive,"7377,2681"
awah,"6858,5631"
tydynrain,"6724,3335"
saboin.alive,"6653,6428"
d00k13,"6558,913"
stdd,"6400,3115"
captain.alive,"6191,3442"
dibblers.dabs,"6054,6154"
lisamgentile1961,"6002,7051"
rcaine,"5808,8684"
hive.pizza,"5778,674"
steem-holder,"5774,6"
magicalive,"5587,6272"
flaxz,"5437,2"
chaosmagic23,"5175,4636"
ddn688,"5136,1327"
alokkumar121,"5070,2193"
elianaicgomes,"5030,401"
flaxz.ctp,"5002,5"
hankanon,"4800,9168"
toekins,"4706,3635"
master-lamps,"4681,75"
jmis101,"4670,9708"
adysscheryl,"4652,7825"
newigennity,"4652,772"
ben.haase,"4450,0094"
alive.voter,"4325,6961"
justclickindiva,"4253,964"
beststart,"4148,6488"
merthin,"4055,9045"
pedrobrito2004,"4048,1207"
raishmi,"3934,666"
holovision.cash,"3872,7762"
hoosie,"3707,7392"
alzee,"3705,9701"
stickupboys,"3551,385"
synergized,"3371,1"
gank,"3333,8955"
lightcaptured,"3305,8893"
hirohurl,"3199,2429"
oasiskp2,"2912,6122"
alex2alex,"2867,4448"
neoxvoter,"2838,2"
myjob,"2832,4561"
kam5iz,"2817,7975"
sammyhive,"2762,0788"
griega,"2627,508"
certain,"2624,4459"
hivecurious,"2608,0"
jacoalberts,"2551,6095"
elizabetamt,"2538,5906"
wrestlingdesires,"2501,194"
bambukah,"2500,0"
ijelady,"2414,9481"
guurry123,"2385,312"
misterc,"2355,5871"
melinda010100,"2353,9085"
caelum1infernum,"2342,172"
littlebee4,"2321,4464"
captaincryptic,"2317,061"
sumatranate,"2252,2178"
b4phom3t,"2201,457"
tengolotodo,"2172,9949"
ilovewintergem,"2163,3056"
mirroredspork,"2159,9241"
tokenpimp,"2153,2853"
points-fr,"2131,1834"
new.things,"2093,1989"
myupvote2u,"2079,9058"
epic-fail,"2075,0882"
rbhayes,"2031,5229"
dragokazo,"1970,9804"
bearmol,"1967,4235"
liotes.alive,"1926,7469"
thoth442,"1922,2459"
karizma,"1917,1303"
coininstant,"1905,6588"
mlrequena78,"1886,751"
vaynard86,"1867,1604"
macfit,"1854,5245"
johnsdowie,"1833,3908"
visual.alive,"1810,924"
laruche,"1794,5903"
moretea,"1705,2462"
vickoly,"1690,5252"
engilhramn,"1659,7589"
madame-cyntaia,"1653,9355"
chmoen,"1634,3057"
myqlos,"1628,1557"
olujose6,"1626,472"
bechibenner,"1611,1366"
metzli,"1601,3602"
mervinthepogi,"1590,21"
kryptodenno,"1582,7176"
mk992039,"1570,141"
tdctunes,"1504,7"
kaseldz,"1457,5312"
